Homo sapiens (query)
Danio rerio (query)
Gallus gallus (query)
Xenopus laevis
Microcaecilia unicolor
Chrysemys picta
Anolis carolinensis
Anas platyrhynchos
Calypte anna
Aquila chrysaetos
Strigops habroptila
Parus major
Taeniopygia guttata
Ornithorhynchus anatinus
Rhinolophus ferrumequinum
Monodelphis domestica
Sarcophilus harrisii
Macaca mulatta
Mus musculus
Oryctolagus cuniculus
Canis lupus
Felis catus
Suricata suricatta
Equus caballus
Bos taurus
Sus scrofa
Physeter catodon
Amblyraja radiata
Erpetoichthys calabaricus
Oryzias latipes
Oreochromis niloticus
Sparus aurata
Cynoglossus semilaevis
Gouania willdenowi
Mastacembelus armatus
Takifugu rubripes
Sphaeramia orbicularis
Clupea harengus
Lepisosteus oculatus
Astyanax mexicanus
Chanos chanos
Ictalurus punctatus
Scleropages formosus
Gadus morhua
Esox lucius
Salmo salar
Astatotilapia calliptera
