Class;Order;Species;0A;0B;1A;1B;2A;2B;3A;3B;4A;4B;5A;5B;6A;6B;7A;7B;8A;8B;9A;9B;10A;10B;11A;11B;12A;12B;13A;13B;14A;14B;15A;15B;16A;16B;17A;17B;18A;18B;19A;19B;20A;20B;21A;21B;22A;22B;23A;23B;24A;24B;25A;25B;26A;26B;27A;27B;28A;28B;29A;29B;30A;30B;31A;31B;32A;32B;33A;33B;34A;34B;35A;35B;36A;36B;37A;37B;38A;38B;39A;39B;40A;40B;41A;41B;42A;42B;43A;43B;44A;44B;45A;45B;46A;46B;47A;47B;48A;48B;49A;49B;50A;50B;51A;51B;52A;52B;53A;53B;54A;54B;55A;55B;58A;58B;59A;59B;60A;60B;61A;61B;62A;62B;63A;63B;64A;64B;65A;65B;66A;66B;67A;67B;68A;68B;69A;69B;70A;70B;71A;71B;72A;72B;73A;73B;74A;74B;75A;75B;76A;76B;77A;77B;78A;78B;79A;79B;80A;80B;81A;81B;82A;82B;83A;83B;84A;84B;85A;85B;86A;86B;87A;87B;88A;88B;89A;89B;90A;90B;92A;92B;93A;93B;94A;94B;95A;95B;96A;96B;97A;97B;98A;98B;100A;100B;101A;101B;102A;102B;103A;103B;104A;104B;105A;105B;106A;106B;107A;107B;108A;108B;110A;110B;111A;111B;112A;112B;113A;113B;114A;114B;115A;115B;116A;116B;117A;117B;118A;118B;119A;119B;120A;120B;121A;121B;122A;122B;123A;123B;124A;124B;125A;125B;126A;126B;128A;128B;130A;130B;131A;131B;132A;132B;133A;133B;134A;134B;135A;135B;137A;137B;138A;138B;139A;139B;140A;140B;141A;141B;142A;142B;143A;143B;144A;144B;146A;146B;148A;148B;149A;149B;150A;150B;151A;151B;152A;152B;153A;153B;154A;154B;155A;155B;156A;156B
Actinopteri;Anabantiformes;Anabas_testudineus;ENSATEG00000001845;;;;ENSATEG00000002349;;;ENSATEG00000023703;ENSATEG00000023765;;;;;;;ENSATEG00000019854;ENSATEG00000001357;;;ENSATEG00000011981;;;ENSATEG00000010867;;ENSATEG00000013976;ENSATEG00000009480;;;;ENSATEG00000014671;ENSATEG00000011096;ENSATEG00000009919;ENSATEG00000011153;;;ENSATEG00000015809;;ENSATEG00000012575;;;ENSATEG00000000585;ENSATEG00000018083;;;;;;;;ENSATEG00000022300;ENSATEG00000017563;;;;ENSATEG00000023344;;;ENSATEG00000015060;;ENSATEG00000010967;;;ENSATEG00000006212;;;;;;;;ENSATEG00000001759;;;;;;;;;;;;ENSATEG00000010565;;;;;;ENSATEG00000009993;;;;;;;;;;;ENSATEG00000017779;;;;;;ENSATEG00000005220;ENSATEG00000019751;;;;ENSATEG00000020132;ENSATEG00000016323;;;ENSATEG00000017086;ENSATEG00000011109;;;;;;;;ENSATEG00000002694;;;;;;;;;;;;ENSATEG00000017510;;;ENSATEG00000001871;;ENSATEG00000017774;ENSATEG00000013929;ENSATEG00000020820;;;;;;;;;;;;ENSATEG00000003753;;;;;ENSATEG00000024852;ENSATEG00000022137;;;ENSATEG00000014432;;;;ENSATEG00000001290;;;;;;ENSATEG00000004555;;ENSATEG00000000025;;;;ENSATEG00000001070;;;;ENSATEG00000015929;;;;ENSATEG00000015493;ENSATEG00000018829;;;ENSATEG00000001675;;;;;ENSATEG00000007842;;;;ENSATEG00000015474;;;;;;;;;ENSATEG00000001890;;;;ENSATEG00000001322;;ENSATEG00000002121;ENSATEG00000009353;;ENSATEG00000014347;;;ENSATEG00000013798;;;ENSATEG00000008115;ENSATEG00000011806;ENSATEG00000008377;;ENSATEG00000017667;ENSATEG00000015969;;ENSATEG00000014421;;;;;;ENSATEG00000022764;ENSATEG00000005286;;;;;;;;;ENSATEG00000019724;;;;;ENSATEG00000005190;ENSATEG00000005269;ENSATEG00000017989;;ENSATEG00000023088;;;ENSATEG00000017531;ENSATEG00000011910;ENSATEG00000011831;;ENSATEG00000023329;ENSATEG00000011687;ENSATEG00000011655;ENSATEG00000016693;ENSATEG00000016746;;ENSATEG00000020591;;ENSATEG00000002045;;;ENSATEG00000004956;ENSATEG00000004948;;;ENSATEG00000019139;ENSATEG00000019129;;ENSATEG00000016169;;ENSATEG00000018353;;;ENSATEG00000011485;;;;ENSATEG00000017982;ENSATEG00000018102;ENSATEG00000014490;ENSATEG00000014596
Actinopteri;Anabantiformes;Betta_splendens;ENSBSLG00000002033;;;;ENSBSLG00000015040;;;ENSBSLG00000014945;;ENSBSLG00000016908;;;;;;ENSBSLG00000020662;ENSBSLG00000010962;;;ENSBSLG00000011875;;;ENSBSLG00000024556;;ENSBSLG00000012752;;;;;ENSBSLG00000002877;;ENSBSLG00000000767;;;;ENSBSLG00000018884;;ENSBSLG00000015518;;;ENSBSLG00000019005;ENSBSLG00000009725;;;;;;;;;ENSBSLG00000009808;ENSBSLG00000009711;;;ENSBSLG00000004462;;;;;ENSBSLG00000014441;;;ENSBSLG00000023898;;;;;;;;ENSBSLG00000007057;;;;;;;;;;;;ENSBSLG00000020089;;;;;;;ENSBSLG00000011271;;;;;;;;;ENSBSLG00000018970;;;;;;;ENSBSLG00000001963;ENSBSLG00000025647;;;;ENSBSLG00000008024;ENSBSLG00000009237;;;ENSBSLG00000018347;ENSBSLG00000000693;;;;;;;ENSBSLG00000005322;;;;;;;;;;;;;ENSBSLG00000001722;;;ENSBSLG00000007162;ENSBSLG00000020266;ENSBSLG00000015126;ENSBSLG00000002449;ENSBSLG00000019688;;;ENSBSLG00000020650;;;;;;;;;ENSBSLG00000003090;;;;;ENSBSLG00000004365;ENSBSLG00000020382;;;ENSBSLG00000020318;;;;ENSBSLG00000023559;;;;;;ENSBSLG00000012883;;ENSBSLG00000011336;;;;ENSBSLG00000012102;;;ENSBSLG00000001635;ENSBSLG00000001644;ENSBSLG00000010181;;;ENSBSLG00000001247;ENSBSLG00000018478;;;ENSBSLG00000026151;;;;;ENSBSLG00000004421;;;;ENSBSLG00000003640;;;;;;;;;ENSBSLG00000005070;;;;ENSBSLG00000010945;;ENSBSLG00000014847;;ENSBSLG00000021038;ENSBSLG00000012443;;;ENSBSLG00000008409;;;ENSBSLG00000001062;;;;ENSBSLG00000025470;ENSBSLG00000025528;;;;;;;;ENSBSLG00000017073;ENSBSLG00000020761;;;;;;;;;ENSBSLG00000004429;;;;;ENSBSLG00000011162;ENSBSLG00000010771;;;ENSBSLG00000005966;ENSBSLG00000005209;;ENSBSLG00000025786;ENSBSLG00000011091;ENSBSLG00000010511;;ENSBSLG00000010858;ENSBSLG00000018908;ENSBSLG00000018896;ENSBSLG00000003758;ENSBSLG00000003696;;;;ENSBSLG00000026430;;;ENSBSLG00000017392;ENSBSLG00000017292;;;ENSBSLG00000004311;ENSBSLG00000004305;;ENSBSLG00000004094;;ENSBSLG00000003689;;;ENSBSLG00000017063;;;;ENSBSLG00000009994;ENSBSLG00000008848;ENSBSLG00000021513;
Actinopteri;Beloniformes;Oryzias_latipes;;;;;;;;ENSORLG00000000531;;ENSORLG00000009724;;;;;ENSORLG00000007351;;ENSORLG00000012383;;;ENSORLG00000016268;;;;ENSORLG00000018075;ENSORLG00000004097;;;;;ENSORLG00000000187;;;ENSORLG00000017043;;;ENSORLG00000004655;;ENSORLG00000002237;;;ENSORLG00000004391;ENSORLG00000010215;;;;;;;;ENSORLG00000026143;ENSORLG00000028338;;;;ENSORLG00000024778;;;;;ENSORLG00000003403;;;;ENSORLG00000008568;;;;;;;ENSORLG00000028680;;;;;;;;;;;;ENSORLG00000006353;;;;;;ENSORLG00000025590;;;;;;;;;;;ENSORLG00000006984;;;;;;ENSORLG00000024467;ENSORLG00000003950;;;;ENSORLG00000006684;ENSORLG00000001514;;;ENSORLG00000009297;ENSORLG00000006117;;;;;;;;;;;;;;;;;;;;ENSORLG00000022162;;;ENSORLG00000000795;ENSORLG00000019850;ENSORLG00000009712;ENSORLG00000008549;ENSORLG00000025666;;;;;;;;;;;;ENSORLG00000009508;;;;;ENSORLG00000002691;;ENSORLG00000025813;;ENSORLG00000002462;;;;ENSORLG00000022087;;;;;;ENSORLG00000023258;;ENSORLG00000004242;;;;ENSORLG00000012121;;;ENSORLG00000026441;;ENSORLG00000004126;;;ENSORLG00000000066;ENSORLG00000013721;;;ENSORLG00000015535;;;;;ENSORLG00000009872;;;;ENSORLG00000028123;ENSORLG00000027446;;;ENSORLG00000002492;;;;;ENSORLG00000029043;;;;ENSORLG00000012358;ENSORLG00000009804;ENSORLG00000009829;ENSORLG00000028809;;ENSORLG00000030349;;;ENSORLG00000005284;;;ENSORLG00000019560;ENSORLG00000019618;ENSORLG00000026220;;ENSORLG00000008689;ENSORLG00000008649;;;;;;;;ENSORLG00000028359;ENSORLG00000004343;;;;;;;;;ENSORLG00000008931;;;;;ENSORLG00000004192;ENSORLG00000014843;ENSORLG00000028964;;ENSORLG00000001664;ENSORLG00000005051;;ENSORLG00000014005;ENSORLG00000029985;ENSORLG00000025084;;ENSORLG00000017319;ENSORLG00000009967;ENSORLG00000009961;ENSORLG00000020871;ENSORLG00000020873;;ENSORLG00000012662;;ENSORLG00000010628;;;ENSORLG00000006161;ENSORLG00000006169;;;ENSORLG00000013459;ENSORLG00000023772;ENSORLG00000028144;;;ENSORLG00000005658;;;ENSORLG00000026701;;;;ENSORLG00000022296;ENSORLG00000029626;;ENSORLG00000024388
Actinopteri;Blenniiformes;Gouania_willdenowi;;ENSGWIG00000005019;;;;;;ENSGWIG00000014664;;ENSGWIG00000014756;;;;;ENSGWIG00000017496;;ENSGWIG00000007725;;;ENSGWIG00000008332;;;;;ENSGWIG00000014786;;;;;ENSGWIG00000020096;ENSGWIG00000013587;ENSGWIG00000008218;;;;ENSGWIG00000012337;ENSGWIG00000011785;ENSGWIG00000005149;;;ENSGWIG00000004792;ENSGWIG00000025653;;ENSGWIG00000006942;;;;;;ENSGWIG00000011818;ENSGWIG00000021569;;;;ENSGWIG00000015672;ENSGWIG00000025287;;;;;;;ENSGWIG00000000891;;;;;;;;ENSGWIG00000023945;;;;;;;;;;;;ENSGWIG00000020013;;;;;;ENSGWIG00000006180;;;;;;;;;;;ENSGWIG00000001714;;;;;;ENSGWIG00000005593;ENSGWIG00000018817;;;;ENSGWIG00000013988;ENSGWIG00000014924;;;ENSGWIG00000020201;ENSGWIG00000019678;;;;;;;ENSGWIG00000022839;;;;;;;;;;;;;ENSGWIG00000009143;;;ENSGWIG00000011168;;ENSGWIG00000018648;ENSGWIG00000017795;ENSGWIG00000026167;;;;;;;;;;;;ENSGWIG00000007090;;;;;ENSGWIG00000015572;;ENSGWIG00000004267;ENSGWIG00000002326;;;;;;;;;;;ENSGWIG00000007223;;ENSGWIG00000021707;ENSGWIG00000008601;;;ENSGWIG00000009518;;;ENSGWIG00000006081;;ENSGWIG00000018243;;;ENSGWIG00000007026;ENSGWIG00000023925;;;ENSGWIG00000007222;;;;;ENSGWIG00000025784;;;;ENSGWIG00000011288;;;;;;;;;ENSGWIG00000023913;;;;ENSGWIG00000007728;ENSGWIG00000020351;ENSGWIG00000020370;;;ENSGWIG00000011046;;;ENSGWIG00000014879;;;ENSGWIG00000006131;;ENSGWIG00000005579;;ENSGWIG00000002224;ENSGWIG00000002236;;ENSGWIG00000017759;;ENSGWIG00000014231;;;;;ENSGWIG00000021758;;;;;;;;;ENSGWIG00000004875;;;;;ENSGWIG00000013620;ENSGWIG00000019161;ENSGWIG00000005815;;ENSGWIG00000020224;ENSGWIG00000012755;;;;ENSGWIG00000017627;;ENSGWIG00000000159;ENSGWIG00000002563;ENSGWIG00000002507;ENSGWIG00000012155;ENSGWIG00000012160;;ENSGWIG00000012756;;ENSGWIG00000002360;ENSGWIG00000014063;;;ENSGWIG00000004938;;;ENSGWIG00000010856;ENSGWIG00000010850;ENSGWIG00000023902;;;;;;;;;;ENSGWIG00000026079;ENSGWIG00000025971;ENSGWIG00000024074;
Actinopteri;Blenniiformes;Salarias_fasciatus;;;;;ENSSFAG00005013031;;;;;ENSSFAG00005001320;;;;;;ENSSFAG00005003276;ENSSFAG00005001785;;;ENSSFAG00005022824;;;ENSSFAG00005005227;;ENSSFAG00005002508;ENSSFAG00005002476;;;;ENSSFAG00005020755;ENSSFAG00005014898;ENSSFAG00005019952;;;;ENSSFAG00005019558;ENSSFAG00005013993;ENSSFAG00005016441;;;ENSSFAG00005004088;ENSSFAG00005016621;;ENSSFAG00005000603;;;;;;ENSSFAG00005015691;ENSSFAG00005016160;;;;ENSSFAG00005016226;ENSSFAG00005006022;;;;ENSSFAG00005013244;;;;ENSSFAG00005001723;;;;;;;ENSSFAG00005013232;;;;;;;;;;;;ENSSFAG00005009641;ENSSFAG00005009646;;;;;ENSSFAG00005022480;;;;;;;;;;;;;;;;;ENSSFAG00005008461;ENSSFAG00005022488;;;;ENSSFAG00005018119;ENSSFAG00005015616;;;ENSSFAG00005025812;ENSSFAG00005010393;;;;;;;ENSSFAG00005019163;;;;;;;;;;;;;ENSSFAG00005025018;;;ENSSFAG00005016462;;ENSSFAG00005025500;ENSSFAG00005023079;ENSSFAG00005026225;;;;;;;;;;;;ENSSFAG00005021454;;;;ENSSFAG00005012424;;;ENSSFAG00005025695;ENSSFAG00005004092;;;;ENSSFAG00005013321;;;;;;;;ENSSFAG00005000593;;;;;ENSSFAG00005003115;;;ENSSFAG00005007714;;;;;ENSSFAG00005010907;ENSSFAG00005019802;;;ENSSFAG00005006144;;;;;ENSSFAG00005015187;ENSSFAG00005015183;;;;;;;;;;;;ENSSFAG00005013457;;;;ENSSFAG00005001779;;ENSSFAG00005013028;;;ENSSFAG00005002091;;;ENSSFAG00005021784;;;ENSSFAG00005020515;ENSSFAG00005020557;;;ENSSFAG00005024779;ENSSFAG00005024789;;;;;;;;;ENSSFAG00005006237;;;;;;;;;ENSSFAG00005023435;;;;;ENSSFAG00005008663;ENSSFAG00005026236;;;ENSSFAG00005013741;ENSSFAG00005022651;;ENSSFAG00005022899;;ENSSFAG00005024431;;ENSSFAG00005000953;ENSSFAG00005019967;ENSSFAG00005019968;ENSSFAG00005025475;ENSSFAG00005025517;;ENSSFAG00005007337;;;;;;ENSSFAG00005001731;;;ENSSFAG00005002546;ENSSFAG00005002554;ENSSFAG00005008005;ENSSFAG00005008213;;ENSSFAG00005008481;;;;;;;ENSSFAG00005018914;ENSSFAG00005018417;;ENSSFAG00005004228
Actinopteri;Carangiformes;Echeneis_naucrates;;;;;;;;ENSENLG00000014626;ENSENLG00000014359;;;;;;;ENSENLG00000011869;ENSENLG00000000698;;;ENSENLG00000009579;;;;ENSENLG00000012840;ENSENLG00000016227;;;;;ENSENLG00000002970;;;;;;ENSENLG00000008653;;ENSENLG00000002891;;;ENSENLG00000006600;ENSENLG00000014587;;;;;;;;ENSENLG00000012079;ENSENLG00000013626;;;;ENSENLG00000021916;;;;;ENSENLG00000016962;;;ENSENLG00000020661;;;;;;;;ENSENLG00000015823;;;;;;;;;;;;ENSENLG00000007561;;;;;;ENSENLG00000016365;;;;;;;;;;ENSENLG00000018885;;;;;;;ENSENLG00000000980;ENSENLG00000022150;;;;ENSENLG00000012392;ENSENLG00000004681;;;ENSENLG00000010344;ENSENLG00000008592;;;;;;;ENSENLG00000004737;;;;;;;;;;;;;ENSENLG00000004703;;;ENSENLG00000011366;;ENSENLG00000011730;ENSENLG00000011676;ENSENLG00000020327;;;;;;;;;;;;;ENSENLG00000013850;;;ENSENLG00000003819;;ENSENLG00000022471;;;ENSENLG00000022779;;;ENSENLG00000003868;;;;;;;ENSENLG00000002015;ENSENLG00000020939;;;;;ENSENLG00000007770;;;;ENSENLG00000012002;ENSENLG00000016811;;;ENSENLG00000000831;ENSENLG00000005819;;;ENSENLG00000007279;;;;;ENSENLG00000007988;;;;ENSENLG00000020110;;ENSENLG00000005248;;ENSENLG00000002166;ENSENLG00000017537;;;;ENSENLG00000016240;;;;ENSENLG00000000708;ENSENLG00000011205;ENSENLG00000011337;;;ENSENLG00000007457;;;ENSENLG00000017305;;;ENSENLG00000003809;;;;ENSENLG00000015051;ENSENLG00000015067;;;;;;;;;ENSENLG00000007068;;;;;;;;;ENSENLG00000002604;;;;;ENSENLG00000019350;ENSENLG00000019309;ENSENLG00000019464;;ENSENLG00000015873;ENSENLG00000013827;;ENSENLG00000011203;ENSENLG00000004646;ENSENLG00000004680;ENSENLG00000007787;;ENSENLG00000013868;ENSENLG00000013875;ENSENLG00000003261;ENSENLG00000003243;;ENSENLG00000012308;;ENSENLG00000000579;;ENSENLG00000022333;;ENSENLG00000005308;;;ENSENLG00000017998;ENSENLG00000018003;ENSENLG00000002065;;;ENSENLG00000001994;;;ENSENLG00000017372;;;;ENSENLG00000004411;ENSENLG00000007344;ENSENLG00000006795;
Actinopteri;Carangiformes;Seriola_dumerili;;;;;ENSSDUG00000006517;;;;;ENSSDUG00000005903;;;;;ENSSDUG00000021529;;;;;ENSSDUG00000009349;;;;ENSSDUG00000009370;ENSSDUG00000010757;ENSSDUG00000015309;;;;ENSSDUG00000023024;ENSSDUG00000004183;ENSSDUG00000018143;;;;ENSSDUG00000022011;;ENSSDUG00000020030;;;ENSSDUG00000011112;ENSSDUG00000007699;;;;;;;;ENSSDUG00000004098;ENSSDUG00000022160;;;;ENSSDUG00000004026;;;;ENSSDUG00000007910;;;;;ENSSDUG00000014700;;;;;;;;;;;;;;;;;;;ENSSDUG00000013849;;;;;;ENSSDUG00000009555;;;;;;;;;;;ENSSDUG00000023470;;;;;;ENSSDUG00000014001;ENSSDUG00000008589;;;;ENSSDUG00000020904;ENSSDUG00000023083;;;ENSSDUG00000019856;ENSSDUG00000019630;;;;;;;;;;;;;;;;;;;;ENSSDUG00000002499;;;ENSSDUG00000000691;ENSSDUG00000018083;ENSSDUG00000016608;ENSSDUG00000013433;ENSSDUG00000009512;;;;;;;;;;;;ENSSDUG00000008814;;;;ENSSDUG00000006675;;;ENSSDUG00000016101;;ENSSDUG00000017311;;;;ENSSDUG00000023225;;;;;;ENSSDUG00000006258;ENSSDUG00000004361;;;;;ENSSDUG00000017255;;;ENSSDUG00000015492;ENSSDUG00000016479;ENSSDUG00000010323;;;ENSSDUG00000011462;ENSSDUG00000013383;;;ENSSDUG00000013263;;;;;ENSSDUG00000017234;;;;ENSSDUG00000006906;ENSSDUG00000007890;ENSSDUG00000006842;;;;;;ENSSDUG00000005183;ENSSDUG00000005227;;;ENSSDUG00000021499;ENSSDUG00000021486;;ENSSDUG00000006589;ENSSDUG00000000403;;ENSSDUG00000023720;;;ENSSDUG00000021205;;;;ENSSDUG00000015882;;;ENSSDUG00000017994;ENSSDUG00000000245;;;;;;;;;;ENSSDUG00000010840;;;;;;;ENSSDUG00000022657;ENSSDUG00000003331;;;;;ENSSDUG00000002268;ENSSDUG00000002214;ENSSDUG00000004246;;ENSSDUG00000013949;ENSSDUG00000022233;;ENSSDUG00000013706;ENSSDUG00000007485;ENSSDUG00000007526;;ENSSDUG00000014207;ENSSDUG00000001673;ENSSDUG00000001634;ENSSDUG00000021137;ENSSDUG00000021117;;ENSSDUG00000000267;;ENSSDUG00000007208;ENSSDUG00000017993;;ENSSDUG00000006631;ENSSDUG00000006671;;;ENSSDUG00000000819;ENSSDUG00000000833;ENSSDUG00000023664;;;ENSSDUG00000023668;;;ENSSDUG00000014769;;;;ENSSDUG00000007437;ENSSDUG00000007665;;ENSSDUG00000014370
Actinopteri;Characiformes;Astyanax_mexicanus;ENSAMXG00000032942;;;;;;;ENSAMXG00000039293;;ENSAMXG00000009806;ENSAMXG00000037989;;;;ENSAMXG00000015492;ENSAMXG00000029766;;;;ENSAMXG00000002151;;;;ENSAMXG00000043241;ENSAMXG00000011947;;;;;ENSAMXG00000040066;ENSAMXG00000018060;ENSAMXG00000021816;ENSAMXG00000012453;;;ENSAMXG00000030057;;ENSAMXG00000004496;;ENSAMXG00000042346;ENSAMXG00000042224;ENSAMXG00000037318;;;;;ENSAMXG00000003502;;;ENSAMXG00000017883;ENSAMXG00000021063;ENSAMXG00000021080;;;ENSAMXG00000030721;;;;ENSAMXG00000014304;;;;ENSAMXG00000030151;;;ENSAMXG00000014017;;;;;;;;;;;;;;;;;ENSAMXG00000015974;;;;;;ENSAMXG00000010797;;;;;;;;;;ENSAMXG00000007941;;;;;;;ENSAMXG00000043752;ENSAMXG00000011998;;;;ENSAMXG00000013028;ENSAMXG00000019744;;;ENSAMXG00000018520;ENSAMXG00000019051;;;;;;ENSAMXG00000019289;ENSAMXG00000042774;ENSAMXG00000030065;;;;;;;;;;;;ENSAMXG00000043043;;;ENSAMXG00000020178;;ENSAMXG00000017336;ENSAMXG00000016480;ENSAMXG00000002029;;;;;;;;;;;;;ENSAMXG00000035170;;;;ENSAMXG00000008599;;ENSAMXG00000002068;ENSAMXG00000042571;;;;;ENSAMXG00000012845;;;;;;ENSAMXG00000037753;ENSAMXG00000038777;;;;ENSAMXG00000043653;ENSAMXG00000004068;;;ENSAMXG00000040702;;ENSAMXG00000009981;;;ENSAMXG00000007988;ENSAMXG00000034369;;;ENSAMXG00000039854;;;;;ENSAMXG00000002238;;;;ENSAMXG00000037261;;;;;;;;ENSAMXG00000012668;ENSAMXG00000012744;;;ENSAMXG00000035622;ENSAMXG00000011564;ENSAMXG00000030571;ENSAMXG00000031122;ENSAMXG00000004458;;ENSAMXG00000026484;;;ENSAMXG00000031014;;;ENSAMXG00000035565;;;;ENSAMXG00000020614;ENSAMXG00000005746;;;;;;;;;ENSAMXG00000015980;;;;;;;;;ENSAMXG00000029080;;;;;ENSAMXG00000009027;ENSAMXG00000009003;ENSAMXG00000010329;;;;;ENSAMXG00000036023;ENSAMXG00000007652;ENSAMXG00000036841;ENSAMXG00000029695;;ENSAMXG00000001436;ENSAMXG00000043407;ENSAMXG00000004345;ENSAMXG00000004329;;ENSAMXG00000005194;ENSAMXG00000009870;;;ENSAMXG00000036039;ENSAMXG00000038564;ENSAMXG00000013879;;;ENSAMXG00000035350;ENSAMXG00000029906;ENSAMXG00000032258;;ENSAMXG00000020059;;;ENSAMXG00000001113;;;;ENSAMXG00000006621;ENSAMXG00000013254;ENSAMXG00000037045;;
Actinopteri;Characiformes;Pygocentrus_nattereri;;ENSPNAG00000005413;;;;;;ENSPNAG00000005101;;ENSPNAG00000011319;;ENSPNAG00000019796;;;ENSPNAG00000010681;ENSPNAG00000017137;;;;ENSPNAG00000014950;;;;ENSPNAG00000007588;ENSPNAG00000016285;ENSPNAG00000016376;;;;ENSPNAG00000010069;ENSPNAG00000002237;ENSPNAG00000007195;ENSPNAG00000009338;;;ENSPNAG00000013469;;ENSPNAG00000009132;;ENSPNAG00000018224;ENSPNAG00000019487;ENSPNAG00000005031;;;;;ENSPNAG00000014636;;;ENSPNAG00000011865;ENSPNAG00000007105;;;;ENSPNAG00000022807;;;;ENSPNAG00000016241;;;;ENSPNAG00000021612;;;ENSPNAG00000021068;;;;;;;;;;;;;;;;;ENSPNAG00000029800;;;;;;ENSPNAG00000003778;;;;;;;;;;;ENSPNAG00000002982;;;;;;ENSPNAG00000013518;ENSPNAG00000014966;;;;ENSPNAG00000025938;ENSPNAG00000019865;;;ENSPNAG00000009541;ENSPNAG00000023968;;;;;;ENSPNAG00000002979;ENSPNAG00000028744;;;;;;;;;;;;ENSPNAG00000000590;ENSPNAG00000010167;;;ENSPNAG00000010418;ENSPNAG00000020461;ENSPNAG00000022454;ENSPNAG00000009659;ENSPNAG00000015724;;;;;;;;;;;;ENSPNAG00000029976;;;;;ENSPNAG00000024626;;ENSPNAG00000006846;ENSPNAG00000001562;;;;;ENSPNAG00000005055;;;;;;ENSPNAG00000008615;;ENSPNAG00000022803;ENSPNAG00000016525;;ENSPNAG00000028280;ENSPNAG00000028260;ENSPNAG00000029686;;ENSPNAG00000020359;ENSPNAG00000018311;ENSPNAG00000021931;;;ENSPNAG00000017876;ENSPNAG00000003726;;;ENSPNAG00000026585;;;;;ENSPNAG00000019510;;;;ENSPNAG00000029698;;;;;;;;ENSPNAG00000010134;ENSPNAG00000003458;;;ENSPNAG00000001699;ENSPNAG00000001715;ENSPNAG00000011146;ENSPNAG00000001563;ENSPNAG00000002711;;ENSPNAG00000009447;;;ENSPNAG00000017037;;;;ENSPNAG00000002015;ENSPNAG00000001807;;ENSPNAG00000020051;ENSPNAG00000019118;ENSPNAG00000011010;;;;;;;;;ENSPNAG00000010050;;;;;;;;ENSPNAG00000025279;;;;;ENSPNAG00000015586;ENSPNAG00000004954;ENSPNAG00000021495;;;;;ENSPNAG00000025159;ENSPNAG00000003416;ENSPNAG00000016436;ENSPNAG00000009294;;ENSPNAG00000019235;ENSPNAG00000019277;ENSPNAG00000019254;ENSPNAG00000019238;;ENSPNAG00000001937;ENSPNAG00000012976;;ENSPNAG00000027813;;ENSPNAG00000019592;ENSPNAG00000019554;;;ENSPNAG00000020317;ENSPNAG00000020279;;ENSPNAG00000017016;;ENSPNAG00000017386;;ENSPNAG00000012253;;;;ENSPNAG00000023246;ENSPNAG00000022119;ENSPNAG00000022044;ENSPNAG00000029315;
Actinopteri;Cichliformes;Amphilophus_citrinellus;;;;;ENSACIG00000011240;;;ENSACIG00000010195;;ENSACIG00000010560;ENSACIG00000008387;;;;ENSACIG00000018128;;ENSACIG00000010311;;;ENSACIG00000013884;;;;ENSACIG00000004379;ENSACIG00000020200;;;;;ENSACIG00000023525;;;;;;ENSACIG00000018421;;ENSACIG00000011825;;;ENSACIG00000019003;ENSACIG00000005556;;;;;;;;ENSACIG00000001723;ENSACIG00000022043;;;;ENSACIG00000008935;ENSACIG00000001403;;;;ENSACIG00000003085;;;ENSACIG00000015094;;;;;;;;ENSACIG00000005322;;;;;;;;;;;;ENSACIG00000005033;;;;;;;ENSACIG00000022918;;;;;;;;;ENSACIG00000019825;;;;;;;ENSACIG00000003207;ENSACIG00000020634;ENSACIG00000004498;;;ENSACIG00000016763;ENSACIG00000004453;;;ENSACIG00000000851;ENSACIG00000006694;;;;;;;;;;;;;;;;;;;ENSACIG00000004442;ENSACIG00000004197;;;ENSACIG00000018012;ENSACIG00000007689;ENSACIG00000019239;ENSACIG00000022128;ENSACIG00000008580;;;;;;;;;;;;ENSACIG00000001744;;;;;ENSACIG00000004685;;ENSACIG00000004865;ENSACIG00000022505;;;;;ENSACIG00000009247;;;;;;ENSACIG00000008005;ENSACIG00000001751;;;;;ENSACIG00000024457;;;;ENSACIG00000021383;ENSACIG00000020247;;;ENSACIG00000024109;ENSACIG00000024003;;;ENSACIG00000001167;;;;;ENSACIG00000019358;;;;ENSACIG00000021549;;;;ENSACIG00000014366;ENSACIG00000022591;;;;ENSACIG00000005361;;;;ENSACIG00000010297;;ENSACIG00000011272;;;ENSACIG00000015191;;;ENSACIG00000015663;;;ENSACIG00000006992;;;;ENSACIG00000000630;ENSACIG00000000578;;;;;;ENSACIG00000022103;;;ENSACIG00000012193;;;;;;;;;ENSACIG00000018089;;;;;ENSACIG00000009323;ENSACIG00000009440;ENSACIG00000007394;;ENSACIG00000005577;;;ENSACIG00000019416;ENSACIG00000019289;ENSACIG00000019277;;ENSACIG00000011166;ENSACIG00000000186;ENSACIG00000020185;ENSACIG00000002936;ENSACIG00000017253;;ENSACIG00000007065;;ENSACIG00000020680;;;ENSACIG00000006968;ENSACIG00000006997;;;ENSACIG00000014125;ENSACIG00000014223;ENSACIG00000007368;;;ENSACIG00000011375;;;ENSACIG00000010740;;;;ENSACIG00000003787;ENSACIG00000003859;;ENSACIG00000004611
