Chromosome	Gene	Strand	CDS	Start	Stop	Product
NC_000067.6	Xkr4	-	XP_006495613.1	3671346	3216024	XK-related protein 4 isoform X1
NC_000067.6	Rp1	-	XP_011236714.1	4243236	4115937	oxygen-regulated protein 1 isoform X1
NC_000067.6	Sox17	-	NP_001276396.1	4492589	4491718	transcription factor SOX-17 isoform c
NC_000067.6	Mrpl15	-	NP_079576.1	4785675	4774454	39S ribosomal protein L15, mitochondrial isoform 2 precursor
NC_000067.6	Lypla1	+	NP_032892.1	4807914	4845016	acyl-protein thioesterase 1 isoform 1
NC_000067.6	Tcea1	+	NP_035671.1	4857914	4896364	transcription elongation factor A protein 1 isoform 2
NC_000067.6	Rgs20	-	XP_011236702.1	4923963	4910476	regulator of G-protein signaling 20 isoform X1
NC_000067.6	Atp6v1h	+	XP_030111084.1	5093473	5162165	V-type proton ATPase subunit H isoform X3
NC_000067.6	Oprk1	+	XP_006495533.1	5598600	5602784	kappa-type opioid receptor isoform X1
NC_000067.6	Npbwr1	-	NP_034472.1	5917291	5916306	neuropeptides B/W receptor type 1
NC_000067.6	Rb1cc1	+	XP_011236643.1	6230003	6274275	RB1-inducible coiled-coil protein 1 isoform X2
NC_000067.6	Alkal1	+	NP_001182661.1	6359331	6391104	ALK and LTK ligand 1 precursor
NC_000067.6	St18	+	XP_030109818.1	6790249	6858600	suppression of tumorigenicity 18 protein isoform X1
NC_000067.6	Pcmtd1	+	XP_006495598.1	7161010	7169882	protein-L-isoaspartate O-methyltransferase domain-containing protein 1 isoform X1
NC_000067.6	Sntg1	-	XP_006495636.1	8803941	8363477	gamma-1-syntrophin isoform X4
NC_000067.6	Rrs1	+	NP_067486.2	9545524	9546621	ribosome biogenesis regulatory protein homolog
NC_000067.6	Adhfe1	+	NP_001344306.1	9552923	9576274	hydroxyacid-oxoacid transhydrogenase, mitochondrial isoform 2
NC_000067.6	Vxn	+	NP_848486.1	9601584	9624896	vexin
NC_000067.6	Mybl1	-	XP_006495524.1	9699952	9669886	myb-related protein A isoform X1
NC_000067.6	Vcpip1	-	NP_775619.2	9748154	9724484	deubiquitinating protein VCIP135
NC_000067.6	Sgk3	+	NP_573483.1	9865253	9898890	serine/threonine-protein kinase Sgk3
NC_000067.6	Mcmdc2	+	XP_017175975.1	9911719	9920840	minichromosome maintenance domain-containing protein 2 isoform X2
NC_000067.6	Tcf24	-	NP_001272354.1	9967483	9963410	transcription factor 24
NC_000067.6	Ppp1r42	-	NP_663730.1	10003361	9968822	protein phosphatase 1 regulatory subunit 42
NC_000067.6	Cops5	-	NP_001264030.1	10038008	10024981	COP9 signalosome complex subunit 5 isoform 2
NC_000067.6	Cspp1	+	XP_006495542.3	10038139	10136145	centrosome and spindle pole associated protein 1 isoform X1
NC_000067.6	Arfgef1	-	NP_001095900.1	10232492	10138834	brefeldin A-inhibited guanine nucleotide-exchange protein 1
NC_000067.6	Cpa6	-	XP_011236694.1	10719725	10296259	carboxypeptidase A6 isoform X1
NC_000067.6	Prex2	+	XP_006495504.1	10993793	11297753	phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein isoform X1
NC_000067.6	A830018L16Rik	+	XP_030110837.1	11588444	11974966	uncharacterized protein C8orf34 homolog isoform X6
NC_000067.6	Sulf1	+	XP_006495573.1	12786527	12859629	extracellular sulfatase Sulf-1 isoform X1
NC_000067.6	Slco5a1	-	XP_011236682.1	12990493	12871870	solute carrier organic anion transporter family member 5A1 isoform X1
NC_000067.6	Prdm14	-	NP_001074678.2	13125833	13114262	PR domain zinc finger protein 14
NC_000067.6	Ncoa2	-	NP_032704.2	13224692	13142763	nuclear receptor coactivator 2 isoform a
NC_000067.6	Tram1	-	NP_082449.1	13589720	13566325	translocating chain-associated membrane protein 1
NC_000067.6	Lactb2	-	XP_006495553.1	13660448	13626805	endoribonuclease LACTB2 isoform X1
NC_000067.6	Xkr9	+	XP_006495611.1	13684123	13701383	XK-related protein 9 isoform X2
NC_000067.6	Eya1	-	XP_006495515.1	14304447	14170868	eyes absent homolog 1 isoform X5
NC_000067.6	Msc	-	XP_006495521.1	14755746	14754241	musculin isoform X1
NC_000067.6	Trpa1	-	NP_001335217.1	14918833	14873508	transient receptor potential cation channel subfamily A member 1 isoform 2
NC_000067.6	Kcnb2	+	NP_001091998.1	15312452	15711629	potassium voltage-gated channel subfamily B member 2
NC_000067.6	LOC115485680	+	XP_030099788.1	15421590	15422909	uncharacterized protein LOC115485680
NC_000067.6	Terf1	+	XP_030108826.1	15805594	15822007	telomeric repeat-binding factor 1 isoform X1
NC_000067.6	Sbspon	-	NP_001028460.1	15892650	15855747	somatomedin-B and thrombospondin type-1 domain-containing protein precursor
NC_000067.6	4930444P10Rik	-	XP_030099211.1	16080954	16066128	putative uncharacterized protein C8orf89 homolog isoform X2
NC_000067.6	Rpl7	-	NP_035421.2	16104376	16101730	60S ribosomal protein L7
NC_000067.6	Rdh10	+	NP_598593.1	16106018	16131417	retinol dehydrogenase 10
NC_000067.6	Stau2	-	XP_006495595.1	16509357	16229775	double-stranded RNA-binding protein Staufen homolog 2 isoform X3
NC_000067.6	Ube2w	-	NP_001257945.2	16619249	16541774	ubiquitin-conjugating enzyme E2 W isoform 2
NC_000067.6	Eloc	-	XP_006495624.1	16647956	16643290	elongin-C isoform X2
NC_000067.6	Tmem70	+	NP_080668.1	16665308	16677425	transmembrane protein 70, mitochondrial isoform 2
NC_000067.6	Ly96	+	NP_058619.1	16688508	16709537	lymphocyte antigen 96 isoform A precursor
NC_000067.6	Jph1	-	XP_011236701.1	17097602	16997481	junctophilin-1 isoform X1
NC_000067.6	Gdap1	+	NP_034397.1	17145472	17161509	ganglioside-induced differentiation-associated protein 1
NC_000067.6	Pi15	+	NP_444421.2	17602579	17624970	peptidase inhibitor 15 precursor
NC_000067.6	Crispld1	+	XP_006495655.1	17728657	17764114	cysteine-rich secretory protein LCCL domain-containing 1 isoform X1
NC_000067.6	Crisp4	-	XP_006495654.1	18137829	18115631	cysteine-rich secretory protein 1 isoform X2
NC_000067.6	Defb18	-	NP_001034212.1	18237441	18236475	beta-defensin 18 precursor
NC_000067.6	Defb41	-	NP_898947.1	18265078	18251202	beta-defensin 41 isoform 1 precursor
NC_000067.6	Tfap2d	+	NP_694794.1	19103256	19166178	transcription factor AP-2-delta
NC_000067.6	Tfap2b	+	XP_030108695.1	19209168	19235425	transcription factor AP-2-beta isoform X3
NC_000067.6	Pkhd1	-	NP_694819.2	20615321	20058300	fibrocystin precursor
NC_000067.6	Il17a	+	NP_034682.1	20730962	20733859	interleukin-17A precursor
NC_000067.6	Il17f	-	NP_665855.2	20784197	20777769	interleukin-17F precursor
NC_000067.6	Mcm3	-	XP_030107786.1	20820181	20803458	DNA replication licensing factor MCM3 isoform X1
NC_000067.6	Paqr8	+	NP_083105.3	20934624	20935688	membrane progestin receptor beta
NC_000067.6	Efhc1	+	NP_082250.1	20951734	20990688	EF-hand domain-containing protein 1
NC_000067.6	Tram2	-	NP_803128.1	21079111	21001564	translocating chain-associated membrane protein 2
NC_000067.6	Tmem14a	+	XP_006495642.1	21166547	21229585	transmembrane protein 14A isoform X1
NC_000067.6	Gsta3	+	XP_030104649.1	21258859	21264962	glutathione S-transferase A3 isoform X1
NC_000067.6	Khdc1a	+	NP_899145.2	21350020	21351093	KH homology domain-containing protein 1A
NC_000067.6	Khdc1c	+	NP_001029076.1	21368658	21369727	KH homology domain-containing protein 1C
NC_000067.6	Khdc1b	+	NP_001106658.1	21383937	21384899	KH homology domain-containing protein 1B
NC_000067.6	Kcnq5	-	NP_001297406.1	21961579	21402165	potassium voltage-gated channel subfamily KQT member 5 isoform 3
NC_000067.6	Rims1	-	NP_001012643.1	22805722	22288424	regulating synaptic membrane exocytosis protein 1 isoform 5
NC_000067.6	4933415F23Rik	-	NP_080022.2	23102229	23101772	protein phosphatase 1, regulatory (inhibitor) subunit 14B-like
NC_000067.6	Ogfrl1	-	NP_001074548.1	23383049	23369751	opioid growth factor receptor-like protein 1
NC_000067.6	B3gat2	+	NP_742122.2	23762635	23845187	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 precursor
NC_000067.6	Smap1	-	NP_082810.1	23922153	23846431	stromal membrane-associated protein 1 isoform 1
NC_000067.6	Sdhaf4	-	NP_080779.2	24005598	23996253	succinate dehydrogenase assembly factor 4, mitochondrial precursor
NC_000067.6	Fam135a	-	NP_080880.4	24085485	24012294	protein FAM135A
NC_000067.6	Col9a1	+	XP_006495712.1	24177855	24210520	collagen alpha-1(IX) chain isoform X1
NC_000067.6	Col19a1	-	XP_006495708.1	24575421	24264692	collagen alpha-1(XIX) chain isoform X4
NC_000067.6	Lmbrd1	+	XP_017177781.1	24678757	24762736	probable lysosomal cobalamin transporter isoform X1
NC_000067.6	Gm20172	-	NP_001191842.1	25276944	25276574	uncharacterized protein LOC100504323
NC_000067.6	Adgrb3	-	NP_783573.4	25826758	25068170	adhesion G protein-coupled receptor B3 precursor
NC_000067.6	4931408C20Rik	-	NP_001028936.2	26687424	26681954	uncharacterized protein LOC210940
NC_000067.6	Gm597	-	NP_001013772.1	28780196	28776261	uncharacterized protein LOC210962
NC_000067.6	Phf3	-	XP_011236773.1	30837244	30803801	PHD finger protein 3 isoform X4
NC_000067.6	Ptp4a1	-	XP_006495861.1	30946140	30943208	protein tyrosine phosphatase type IVA 1 isoform X1
NC_000067.6	LOC115487084	+	XP_030099881.1	30949742	30950095	uncharacterized protein LOC115487084
NC_000067.6	Lgsn	+	XP_030110320.1	31190501	31204530	lengsin isoform X1
NC_000067.6	Pih1d3	+	NP_083338.1	31222939	31223595	protein PIH1D3
NC_000067.6	Khdrbs2	+	NP_573498.1	32172918	32657541	KH domain-containing, RNA-binding, signal transduction-associated protein 2
NC_000067.6	Gm9839	-	NP_001186885.1	32520997	32519565	sentrin 15
NC_000067.6	Gm5415	-	NP_001157758.1	32546825	32545393	sentrin 14
NC_000067.6	Prim2	-	NP_032948.1	33669009	33454088	DNA primase large subunit
NC_000067.6	Rab23	+	NP_033025.2	33723851	33739392	ras-related protein Rab-23
NC_000067.6	Bag2	-	NP_663367.1	33757689	33746609	BAG family molecular chaperone regulator 2
NC_000067.6	Zfp451	-	NP_001277628.1	33783130	33762165	E3 SUMO-protein ligase ZNF451 isoform 2
NC_000067.6	Gm15455	-	NP_001155288.1	33838678	33836124	RNA binding motif protein 10-like
NC_000067.6	Bend6	-	NP_001297413.1	33878369	33853356	BEN domain-containing protein 6 isoform 2
NC_000067.6	Dst	+	XP_006495729.1	33908272	34307592	dystonin isoform X3
NC_000067.6	Ccdc115	-	NP_081435.1	34439336	34437500	coiled-coil domain-containing protein 115
NC_000067.6	Imp4	+	NP_848716.2	34439925	34444470	U3 small nucleolar ribonucleoprotein protein IMP4
NC_000067.6	Ptpn18	+	XP_006495863.1	34459824	34473646	tyrosine-protein phosphatase non-receptor type 18 isoform X2
NC_000067.6	Prss39	+	NP_001347784.1	34500092	34502947	inactive serine protease 39 isoform 2
NC_000067.6	Cfc1	+	NP_031711.1	34535903	34544137	cryptic protein precursor
NC_000067.6	Prss40	-	XP_006495920.1	34560902	34536531	serine protease 40 isoform X2
NC_000067.6	Amer3	+	XP_006495883.1	34586682	34589024	APC membrane recruitment protein 3 isoform X1
NC_000067.6	Arhgef4	+	XP_030109463.1	34678224	34811127	rho guanine nucleotide exchange factor 4 isoform X2
NC_000067.6	Fam168b	-	NP_778162.1	34836800	34818016	myelin-associated neurite-outgrowth inhibitor isoform 3
NC_000067.6	Plekhb2	+	NP_663491.1	34861881	34877047	pleckstrin homology domain-containing family B member 2 isoform 1
NC_000067.6	Hs6st1	+	NP_056633.2	36068658	36104221	heparan-sulfate 6-O-sulfotransferase 1
NC_000067.6	Uggt1	-	XP_006496125.1	36244125	36144228	UDP-glucose:glycoprotein glucosyltransferase 1 isoform X1
NC_000067.6	Neurl3	-	XP_006495911.1	36273363	36266362	E3 ubiquitin-protein ligase NEURL3 isoform X2
NC_000067.6	Arid5a	+	NP_001277655.1	36311878	36320203	AT-rich interactive domain-containing protein 5A isoform 5
NC_000067.6	Kansl3	-	NP_766240.1	36367981	36337633	KAT8 regulatory NSL complex subunit 3 isoform 2
NC_000067.6	Fer1l5	+	XP_030108982.1	36372291	36419772	fer-1-like protein 5 isoform X1
NC_000067.6	Lman2l	-	XP_006495917.1	36439616	36424363	VIP36-like protein isoform X1
NC_000067.6	Cnnm4	+	NP_291048.2	36471693	36506606	metal transporter CNNM4 precursor
NC_000067.6	Cnnm3	+	NP_001034640.1	36511911	36524083	metal transporter CNNM3 isoform 2 precursor
NC_000067.6	Ankrd23	-	NP_001297450.1	36532665	36531548	ankyrin repeat domain-containing protein 23 isoform 2
NC_000067.6	Ankrd39	-	NP_080517.1	36547183	36539393	ankyrin repeat domain-containing protein 39 isoform 1
NC_000067.6	Sema4c	-	NP_001119519.1	36556038	36549541	semaphorin-4C precursor
NC_000067.6	Fam178b	-	NP_001119518.1	36660945	36562990	protein FAM178B isoform A
NC_000067.6	Cox5b	+	NP_034072.2	36691587	36693309	cytochrome c oxidase subunit 5B, mitochondrial
NC_000067.6	Actr1b	-	XP_011236787.1	36706924	36700078	beta-centractin isoform X2
NC_000067.6	Zap70	+	NP_033565.2	36770811	36782584	tyrosine-protein kinase ZAP-70 isoform a
NC_000067.6	Tmem131	-	NP_061360.2	36939343	36792923	transmembrane protein 131
NC_000067.6	Vwa3b	+	XP_006496442.1	37035754	37166569	von Willebrand factor A domain-containing protein 3B isoform X1
NC_000067.6	Cnga3	+	XP_017169237.1	37232245	37262096	cyclic nucleotide-gated cation channel alpha-3 isoform X2
NC_000067.6	Inpp4a	+	XP_006496072.1	37357919	37403629	type I inositol 3,4-bisphosphate 4-phosphatase isoform X3
NC_000067.6	Coa5	-	NP_932123.3	37429965	37420588	cytochrome c oxidase assembly factor 5
NC_000067.6	Unc50	+	NP_080399.1	37431297	37438818	protein unc-50 homolog
NC_000067.6	Mgat4a	-	XP_017176453.1	37462928	37444661	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A isoform X5
NC_000067.6	2010300C02Rik	-	NP_082372.1	37644628	37612259	uncharacterized protein KIAA1211-like homolog
NC_000067.6	Tsga10	-	XP_006495885.1	37864795	37755499	testis-specific gene 10 protein isoform X2
NC_000067.6	Lipt1	+	XP_006496238.1	37874865	37875986	lipoyltransferase 1, mitochondrial isoform X1
NC_000067.6	Mitd1	-	NP_001343191.1	37890308	37879270	MIT domain-containing protein 1
NC_000067.6	Mrpl30	+	NP_081374.1	37893965	37898264	39S ribosomal protein L30, mitochondrial precursor
NC_000067.6	Lyg2	-	NP_001028599.1	37915760	37907559	lysozyme g-like protein 2 precursor
NC_000067.6	Lyg1	-	NP_081387.1	37952780	37946887	lysozyme g-like protein 1 precursor
NC_000067.6	Txndc9	-	NP_742051.1	37995819	37987664	thioredoxin domain-containing protein 9
NC_000067.6	Eif5b	+	NP_938045.2	37998290	38051713	eukaryotic translation initiation factor 5B
NC_000067.6	Rev1	-	XP_006496218.1	38129913	38053089	DNA repair protein REV1 isoform X3
NC_000067.6	Aff3	-	XP_030107416.1	38627759	38179451	AF4/FMR2 family member 3 isoform X6
NC_000067.6	Lonrf2	-	NP_001025049.2	38836426	38798031	LON peptidase N-terminal domain and RING finger protein 2
NC_000067.6	Chst10	-	XP_006496427.1	38895956	38865500	carbohydrate sulfotransferase 10 isoform X1
NC_000067.6	LOC115486944	+	XP_030099769.1	38896610	38898350	uncharacterized protein LOC115486944
NC_000067.6	Nms	+	NP_001011684.3	38939286	38948667	neuromedin-S isoform 1 preproprotein
NC_000067.6	Pdcl3	+	NP_081126.2	38987844	38996283	phosducin-like protein 3
NC_000067.6	Npas2	+	XP_011236754.1	39263344	39362007	neuronal PAS domain-containing protein 2 isoform X1
NC_000067.6	Rpl31	+	NP_001239147.1	39368149	39371333	60S ribosomal protein L31
NC_000067.6	Tbc1d8	-	NP_001344450.1	39478564	39372351	TBC1 domain family member 8 isoform 2
NC_000067.6	Cnot11	+	NP_082319.1	39535839	39545266	CCR4-NOT transcription complex subunit 11
NC_000067.6	Rnf149	-	XP_006496289.1	39565307	39552474	E3 ubiquitin-protein ligase RNF149 isoform X1
NC_000067.6	Creg2	-	NP_733485.1	39650938	39623098	protein CREG2 precursor
NC_000067.6	Rfx8	-	XP_011236866.1	39690166	39665465	DNA-binding protein RFX8 isoform X1
NC_000067.6	Gm3646	-	NP_001170819.1	39805175	39804185	uncharacterized protein LOC100042065
NC_000067.6	Map4k4	+	XP_006496104.1	39901230	40024712	mitogen-activated protein kinase kinase kinase kinase 4 isoform X1
NC_000067.6	Il1r2	+	XP_017173211.1	40086429	40125207	interleukin-1 receptor type 2 isoform X1
NC_000067.6	Il1r1	+	XP_006495776.1	40225304	40313393	interleukin-1 receptor type 1 isoform X1
NC_000067.6	Il1rl2	+	NP_573456.1	40326495	40365445	interleukin-1 receptor-like 2 precursor
NC_000067.6	Il1rl1	+	XP_006495807.1	40440750	40462169	interleukin-1 receptor-like 1 isoform X1
NC_000067.6	Il18r1	+	NP_001155314.1	40471757	40491233	interleukin-18 receptor 1 isoform b precursor
NC_000067.6	Il18rap	+	NP_034683.1	40524313	40549088	interleukin-18 receptor accessory protein precursor
NC_000067.6	Slc9a4	+	XP_006495688.1	40580516	40629592	sodium/hydrogen exchanger 4 isoform X1
NC_000067.6	Slc9a2	+	NP_001028461.2	40681874	40767999	sodium/hydrogen exchanger 2 precursor
