Classes;Orders;Species;0A;0B;1A;1B;2A;2B;3A;3B;4A;4B;5A;5B;6A;6B;7A;7B;8A;8B;9A;9B;10A;10B;11A;11B;12A;12B;13A;13B;14A;14B;15A;15B;16A;16B;17A;17B;18A;18B;19A;19B;20A;20B;21A;21B;22A;22B;23A;23B;24A;24B;25A;25B;26A;26B;27A;27B;28A;28B;29A;29B;30A;30B;31A;31B;32A;32B;33A;33B;34A;34B;35A;35B;36A;36B;37A;37B;38A;38B;39A;39B;40A;40B;41A;41B;42A;42B;43A;43B;44A;44B;45A;45B;46A;46B;47A;47B;48A;48B;49A;49B;50A;50B;51A;51B;52A;52B;53A;53B;54A;54B;55A;55B;56A;56B;57A;57B;58A;58B;59A;59B;60A;60B;61A;61B;62A;62B;63A;63B;64A;64B;65A;65B;66A;66B;67A;67B;68A;68B;69A;69B;70A;70B;71A;71B;72A;72B;73A;73B;74A;74B;75A;75B;76A;76B;77A;77B;78A;78B;79A;79B;80A;80B;81A;81B;82A;82B;83A;83B;84A;84B;85A;85B;86A;86B;87A;87B;88A;88B;89A;89B;90A;90B
Actinopteri;Anabantiformes;Anabas_testudineus;;ENSATEP00000002576;;;ENSATEP00000003479;;;ENSATEP00000034505;;;;;;ENSATEP00000003798;ENSATEP00000001886;;;;;ENSATEP00000015640;ENSATEP00000013465;ENSATEP00000013567;;ENSATEP00000021116;;;;;;;ENSATEP00000000777;ENSATEP00000026077;;;;;;ENSATEP00000032394;ENSATEP00000033955;;;;ENSATEP00000015764;;;;ENSATEP00000008858;;;;ENSATEP00000002614;;;;;;;;ENSATEP00000015259;;;;;;ENSATEP00000014304;;;;;;;;;;;ENSATEP00000007446;ENSATEP00000028689;;;;ENSATEP00000029174;ENSATEP00000023536;;;;;;;;;ENSATEP00000021655;;;;;ENSATEP00000025565;;;;ENSATEP00000001785;;;;;;ENSATEP00000023164;;;ENSATEP00000027259;;ENSATEP00000011323;;;;ENSATEP00000022283;;;;;;;;;;;ENSATEP00000001879;;ENSATEP00000003299;ENSATEP00000013424;;;ENSATEP00000019796;;;ENSATEP00000011674;ENSATEP00000016979;;;ENSATEP00000025581;ENSATEP00000023134;;;;;;;;ENSATEP00000033044;ENSATEP00000004368;;;ENSATEP00000028579;;;ENSATEP00000007452;ENSATEP00000007555;ENSATEP00000025929;;;ENSATEP00000025264;ENSATEP00000017155;ENSATEP00000017034;;ENSATEP00000033927;ENSATEP00000024081;ENSATEP00000024213;;ENSATEP00000029815;;ENSATEP00000002894;;;ENSATEP00000007065;ENSATEP00000007017;;ENSATEP00000026534;ENSATEP00000016487;;;;;
Actinopteri;Anabantiformes;Betta_splendens;;ENSBSLP00000003838;;;ENSBSLP00000030644;;;ENSBSLP00000030197;;;;;;ENSBSLP00000028332;ENSBSLP00000021211;;;;ENSBSLP00000051865;;ENSBSLP00000055274;;;ENSBSLP00000005199;;;;;;;ENSBSLP00000039080;ENSBSLP00000018705;;;;;;;ENSBSLP00000009039;;;;;ENSBSLP00000029007;;;ENSBSLP00000050290;ENSBSLP00000002055;;;ENSBSLP00000017206;;;;;;;;ENSBSLP00000041923;;;;;;;ENSBSLP00000022082;;;;;;;;;;ENSBSLP00000003602;ENSBSLP00000055204;;;;ENSBSLP00000015267;ENSBSLP00000017517;;;;;;;;;ENSBSLP00000025953;;;;;ENSBSLP00000003054;;ENSBSLP00000043336;;ENSBSLP00000049498;;;;;ENSBSLP00000002891;ENSBSLP00000002906;ENSBSLP00000025192;;ENSBSLP00000038414;;ENSBSLP00000008945;;;;ENSBSLP00000007433;;;;;;;;;;;ENSBSLP00000021185;;ENSBSLP00000030239;ENSBSLP00000044243;;;ENSBSLP00000015915;;;ENSBSLP00000001968;;;;ENSBSLP00000054227;ENSBSLP00000054553;;;;;;;;ENSBSLP00000034966;ENSBSLP00000024907;;;ENSBSLP00000008970;;;ENSBSLP00000022539;ENSBSLP00000021397;;;;ENSBSLP00000054973;ENSBSLP00000023523;ENSBSLP00000021002;;ENSBSLP00000021705;ENSBSLP00000007607;ENSBSLP00000007516;;;;ENSBSLP00000056717;;;ENSBSLP00000035562;ENSBSLP00000035369;;ENSBSLP00000007525;ENSBSLP00000034988;;;;;
Actinopteri;Beloniformes;Oryzias_latipes;;;;;ENSORLP00000012304;;;ENSORLP00000000654;;;;;;ENSORLP00000036550;;;;;ENSORLP00000022640;;ENSORLP00000029325;;;ENSORLP00000000225;;;;;;;ENSORLP00000005502;ENSORLP00000012810;;;;;;ENSORLP00000036430;ENSORLP00000040470;ENSORLP00000027675;;;;ENSORLP00000004231;;;;ENSORLP00000010762;;;ENSORLP00000043704;;;;;;;;ENSORLP00000007982;;;;;;ENSORLP00000040121;;;;;;;;;;;ENSORLP00000028828;ENSORLP00000041269;;;;ENSORLP00000008388;ENSORLP00000001875;;;;;;;;;ENSORLP00000026567;;;;;ENSORLP00000043817;;;;ENSORLP00000037796;;;;;ENSORLP00000038685;;ENSORLP00000035551;;ENSORLP00000017213;;ENSORLP00000012386;;;;ENSORLP00000028491;;;;;;;;;;ENSORLP00000015503;ENSORLP00000015473;;ENSORLP00000025943;ENSORLP00000043068;;;ENSORLP00000039308;;;ENSORLP00000042262;;;;ENSORLP00000030222;ENSORLP00000045380;;;;;;;;ENSORLP00000043696;ENSORLP00000028237;;;ENSORLP00000011201;;;ENSORLP00000005246;ENSORLP00000018612;ENSORLP00000027176;;;ENSORLP00000017581;ENSORLP00000012958;ENSORLP00000027279;;ENSORLP00000035989;ENSORLP00000025846;ENSORLP00000026630;;ENSORLP00000029818;;ENSORLP00000013330;;;ENSORLP00000007750;ENSORLP00000007759;;ENSORLP00000007114;ENSORLP00000028674;;;;;
Actinopteri;Blenniiformes;Gouania_willdenowi;;ENSGWIP00000008461;;;;;;ENSGWIP00000028020;;;;;ENSGWIP00000028626;ENSGWIP00000021214;ENSGWIP00000013611;;;;;;ENSGWIP00000051326;ENSGWIP00000035276;;ENSGWIP00000039594;;;;;;;ENSGWIP00000008143;ENSGWIP00000053338;;;;;;ENSGWIP00000022050;ENSGWIP00000030092;;ENSGWIP00000039927;;;ENSGWIP00000027176;;;ENSGWIP00000001534;;;;ENSGWIP00000048997;;;;;;;;ENSGWIP00000039409;;;;;;ENSGWIP00000010533;;;;;;;;;;;ENSGWIP00000009363;ENSGWIP00000038583;;;;ENSGWIP00000026665;ENSGWIP00000049796;;;;;;;;;ENSGWIP00000028041;;;;;ENSGWIP00000016281;;;;;;;;;ENSGWIP00000010357;;;;ENSGWIP00000051829;;ENSGWIP00000053697;;;;ENSGWIP00000011821;;;;;;;;;;;ENSGWIP00000013623;ENSGWIP00000040261;ENSGWIP00000040461;;;;ENSGWIP00000028550;;;ENSGWIP00000015070;;;;ENSGWIP00000004160;ENSGWIP00000004179;;ENSGWIP00000034340;;;;;;;ENSGWIP00000049700;;;ENSGWIP00000008256;;;ENSGWIP00000037196;ENSGWIP00000037635;ENSGWIP00000009806;;;;;ENSGWIP00000034166;;ENSGWIP00000000252;ENSGWIP00000022719;ENSGWIP00000022726;;ENSGWIP00000023972;;ENSGWIP00000004386;;;;ENSGWIP00000008354;;;;;;;;
Actinopteri;Blenniiformes;Salarias_fasciatus;;;;;ENSSFAP00005025324;ENSSFAP00005025321;;;;;;;;ENSSFAP00005048535;ENSSFAP00005002493;;;;ENSSFAP00005009034;;ENSSFAP00005040076;ENSSFAP00005003648;;ENSSFAP00005041829;;;;;;;ENSSFAP00005006782;ENSSFAP00005032799;;ENSSFAP00005000884;;;;ENSSFAP00005030908;ENSSFAP00005031993;;;;;ENSSFAP00005025748;;;ENSSFAP00005002413;;;;ENSSFAP00005026172;;;;;;;;ENSSFAP00005018259;;;;;;ENSSFAP00005046010;;;;;;;;;;;ENSSFAP00005015881;ENSSFAP00005046031;;;;ENSSFAP00005035773;ENSSFAP00005030754;;;;;;;;;ENSSFAP00005050867;;;;;ENSSFAP00005052186;;;;ENSSFAP00005025882;;;;;ENSSFAP00005014326;;;;ENSSFAP00005039737;;ENSSFAP00005029891;ENSSFAP00005029888;;;;;;;;;;;;;;ENSSFAP00005002482;;;;;;ENSSFAP00005044229;;;ENSSFAP00005041256;;;;ENSSFAP00005051606;ENSSFAP00005051613;;;;;;;;;ENSSFAP00005012178;;;ENSSFAP00005048218;;;ENSSFAP00005016464;ENSSFAP00005055362;;;;ENSSFAP00005047045;;ENSSFAP00005051376;;ENSSFAP00005001500;ENSSFAP00005053361;ENSSFAP00005053403;;ENSSFAP00005013496;;;;;;ENSSFAP00005002429;;ENSSFAP00005015935;;;;;;
Actinopteri;Carangiformes;Echeneis_naucrates;;;;;;;;ENSENLP00000033193;;;;;ENSENLP00000007632;;ENSENLP00000001064;;;;;ENSENLP00000028750;ENSENLP00000052994;ENSENLP00000043142;;ENSENLP00000006199;;;;;;;ENSENLP00000014001;ENSENLP00000033052;;;;;;ENSENLP00000026848;ENSENLP00000052423;;;;;ENSENLP00000039321;;;ENSENLP00000049037;;;;ENSENLP00000037357;;;;;;;;ENSENLP00000016687;;;;;;ENSENLP00000037818;;;;;;;;;;;ENSENLP00000001749;ENSENLP00000053121;;;;ENSENLP00000027625;ENSENLP00000009716;;;;;;;;;ENSENLP00000034557;;;;;ENSENLP00000009748;;;;ENSENLP00000007948;;;;;;ENSENLP00000026648;;;ENSENLP00000016141;;ENSENLP00000017490;;;;ENSENLP00000047579;;;;;;;;;;;ENSENLP00000001082;ENSENLP00000024983;ENSENLP00000025316;;;;ENSENLP00000040250;;;ENSENLP00000012416;;;;ENSENLP00000003524;ENSENLP00000034417;;;;;;;;;ENSENLP00000050764;;;ENSENLP00000005313;;;ENSENLP00000045582;ENSENLP00000045433;ENSENLP00000045815;;;ENSENLP00000024785;ENSENLP00000009684;ENSENLP00000009733;ENSENLP00000016906;;ENSENLP00000006888;ENSENLP00000006815;;ENSENLP00000027383;;ENSENLP00000000855;;ENSENLP00000053513;;ENSENLP00000010988;;ENSENLP00000004031;ENSENLP00000040454;;;;;
Actinopteri;Carangiformes;Seriola_dumerili;;;;;ENSSDUP00000008918;;;;;;;;;ENSSDUP00000009845;;;;;;ENSSDUP00000012886;ENSSDUP00000021087;ENSSDUP00000021037;;ENSSDUP00000032058;;;;;;;ENSSDUP00000015208;ENSSDUP00000010508;;;;;;ENSSDUP00000005672;ENSSDUP00000005462;;;;;ENSSDUP00000010829;;;;ENSSDUP00000020228;;;;;;;;;;;ENSSDUP00000025379;;;;;;ENSSDUP00000013146;;;;;;;;;;;ENSSDUP00000019215;ENSSDUP00000011805;;;;ENSSDUP00000028975;ENSSDUP00000032131;;;;;;;;;;ENSSDUP00000013551;;;;ENSSDUP00000003273;;;;ENSSDUP00000032330;;;;;ENSSDUP00000021302;ENSSDUP00000022659;;;ENSSDUP00000018351;;ENSSDUP00000023737;;;;ENSSDUP00000009396;;;;ENSSDUP00000007073;;;;;;ENSSDUP00000029801;ENSSDUP00000029790;;ENSSDUP00000009120;ENSSDUP00000000501;;;ENSSDUP00000029419;;;;ENSSDUP00000021842;;;ENSSDUP00000000702;ENSSDUP00000000289;;;;;;;;;ENSSDUP00000010908;;;ENSSDUP00000004469;;;ENSSDUP00000002968;ENSSDUP00000002899;ENSSDUP00000005757;;;ENSSDUP00000018818;ENSSDUP00000010237;ENSSDUP00000010290;;ENSSDUP00000019514;ENSSDUP00000029327;ENSSDUP00000029312;;ENSSDUP00000000258;;ENSSDUP00000009795;;ENSSDUP00000024778;ENSSDUP00000009037;ENSSDUP00000009070;;ENSSDUP00000032944;ENSSDUP00000020314;;;;;ENSSDUP00000019728
Actinopteri;Characiformes;Astyanax_mexicanus;;ENSAMXP00000033852;;;;;;ENSAMXP00000050134;;ENSAMXP00000003605;;;;;;;;;ENSAMXP00000028650;;;;;ENSAMXP00000046958;;;;;;ENSAMXP00000040031;ENSAMXP00000047425;ENSAMXP00000048237;;;;;;ENSAMXP00000018432;ENSAMXP00000047844;;;;ENSAMXP00000032164;;;;ENSAMXP00000051153;;;;;;;;;;;;ENSAMXP00000016443;;;;;;ENSAMXP00000011084;;;;;;;;;;;ENSAMXP00000048880;ENSAMXP00000048102;;;;ENSAMXP00000013399;ENSAMXP00000020340;;;;;;ENSAMXP00000019862;;;ENSAMXP00000051491;;;;;ENSAMXP00000042945;;;;ENSAMXP00000013216;;;;;ENSAMXP00000034591;;ENSAMXP00000010251;ENSAMXP00000001808;ENSAMXP00000040090;;ENSAMXP00000002382;;;;ENSAMXP00000045363;;;;ENSAMXP00000013063;;;;;;ENSAMXP00000043839;ENSAMXP00000045118;ENSAMXP00000050075;ENSAMXP00000051596;ENSAMXP00000004556;;;ENSAMXP00000051838;;;;ENSAMXP00000046176;;;ENSAMXP00000021241;ENSAMXP00000005883;ENSAMXP00000043434;;;;;;;;ENSAMXP00000028760;;;ENSAMXP00000027768;;;ENSAMXP00000009290;ENSAMXP00000009266;ENSAMXP00000010613;;;ENSAMXP00000055015;ENSAMXP00000007865;ENSAMXP00000038932;ENSAMXP00000041483;;ENSAMXP00000004459;ENSAMXP00000034405;;ENSAMXP00000005327;ENSAMXP00000010143;;ENSAMXP00000043778;;ENSAMXP00000033723;ENSAMXP00000014280;ENSAMXP00000020652;;ENSAMXP00000028496;;;ENSAMXP00000006797;;
Actinopteri;Characiformes;Pygocentrus_nattereri;;ENSPNAP00000014369;;;;;;ENSPNAP00000036546;;ENSPNAP00000011929;;;;;;;;;;ENSPNAP00000000564;ENSPNAP00000019134;;;ENSPNAP00000025153;;;;;;ENSPNAP00000031082;ENSPNAP00000013583;ENSPNAP00000036204;;;;;;ENSPNAP00000005698;ENSPNAP00000016644;;;;ENSPNAP00000029869;;;;ENSPNAP00000033145;ENSPNAP00000025565;;;;;;;;;;;ENSPNAP00000037772;;;;;;ENSPNAP00000034435;;;;;;;;;;;ENSPNAP00000027945;ENSPNAP00000029045;;;;ENSPNAP00000019379;ENSPNAP00000013959;;;;;;ENSPNAP00000008244;;;;ENSPNAP00000010590;;;;ENSPNAP00000003735;;;;ENSPNAP00000021798;;;;;ENSPNAP00000014447;ENSPNAP00000012554;ENSPNAP00000029950;;ENSPNAP00000033765;;ENSPNAP00000031899;;;;ENSPNAP00000022328;;;;ENSPNAP00000025171;;;;;;ENSPNAP00000005050;ENSPNAP00000026121;ENSPNAP00000004758;ENSPNAP00000004741;ENSPNAP00000007526;;;ENSPNAP00000030364;;;ENSPNAP00000026581;ENSPNAP00000005821;;;ENSPNAP00000013398;ENSPNAP00000031659;ENSPNAP00000034856;;;;;;;;ENSPNAP00000027091;;;ENSPNAP00000035380;;;ENSPNAP00000029491;ENSPNAP00000010111;ENSPNAP00000015439;;;ENSPNAP00000035272;ENSPNAP00000010790;ENSPNAP00000010827;;ENSPNAP00000024634;ENSPNAP00000013410;ENSPNAP00000031754;;ENSPNAP00000026509;ENSPNAP00000027447;;ENSPNAP00000020852;;ENSPNAP00000031933;ENSPNAP00000013707;;ENSPNAP00000011679;ENSPNAP00000035906;;;ENSPNAP00000017043;ENSPNAP00000037525;
Actinopteri;Cichliformes;Amphilophus_citrinellus;;;;;ENSACIP00000014475;;;ENSACIP00000013196;;;;;ENSACIP00000018283;;ENSACIP00000013263;;;;ENSACIP00000005560;;ENSACIP00000018074;;;ENSACIP00000030398;;;;;;;ENSACIP00000024464;ENSACIP00000007077;;;;;;ENSACIP00000002132;ENSACIP00000011452;;;;;ENSACIP00000003931;;;ENSACIP00000019391;;;;ENSACIP00000006793;;;;;;;;ENSACIP00000006457;;;;;;;ENSACIP00000029606;;;;;;;;;;ENSACIP00000004085;ENSACIP00000026674;;;;ENSACIP00000021661;ENSACIP00000005644;;;;;;;;;ENSACIP00000000899;;;;;ENSACIP00000005530;;;;ENSACIP00000011862;;;;;;ENSACIP00000028275;ENSACIP00000026035;;ENSACIP00000031049;;ENSACIP00000024988;;;;ENSACIP00000027814;;;;;;;;;;;ENSACIP00000013220;;ENSACIP00000014523;;;;ENSACIP00000020203;;;ENSACIP00000008937;;;;ENSACIP00000000803;ENSACIP00000000672;;ENSACIP00000010719;;;;;;;ENSACIP00000000411;;;ENSACIP00000023271;;;ENSACIP00000012063;ENSACIP00000012129;ENSACIP00000009454;;;ENSACIP00000025160;ENSACIP00000024868;ENSACIP00000024852;;ENSACIP00000014381;ENSACIP00000003716;ENSACIP00000022186;;ENSACIP00000009049;;ENSACIP00000026714;;;ENSACIP00000008924;ENSACIP00000008958;;ENSACIP00000014697;ENSACIP00000013812;;;;;ENSACIP00000005843
