Gene 1	Gene 2	id %	som %	E-value
CLC2DL5 (XP_015128575.1)	CLC2DL4 (XP_025008540.1)	77%	82%	3e-113
LOC101747821 (XP_015128239.1)	CD69L (XP_015156303.2)	88%	92%	9e-127
LOC112532987 (XP_025009230.1)	LOC112529922 (XP_025009234.1)	33%	55%	8e-07
LOC112532883 (XP_025008760.1)	LOC112532881 (XP_025008747.1)	52%	57%	2e-75
LAMB1 (XP_415943.3)	LAMB4 (XP_025002406.1)	41%	59%	0.0
MAPK12 (XP_001233062.2)	MAPK11 (NP_001006227.1)	63%	82%	0.0
SPAM1 (XP_004937577.1)	HYAL6 (NP_001295181.1)	49%	67%	1e-148
CAV1 (NP_001099134.1)	CAV2 (NP_001007087.1)	41%	63%	6e-27
FOXP2 (XP_025007327.1)	LOC107052882 (XP_015139118.1)	40%	61%	3e-18
PTPRB (XP_015138429.1)	PTPRR (XP_001235188.3)	41%	57%	1e-47
LOC107052588 (XP_025007638.1)	PTPRQ (XP_015138820.1)	30%	45%	8e-17
MYF6 (XP_015137402.2)	MYF5 (NP_001025534.1)	52%	62%	2e-47
MGP (NP_990375.1)	OC3 (NP_001188315.1)	29%	48%	1e-12
CBX7 (XP_015144186.1)	CBX6 (XP_015144165.2)	66%	82%	2e-35
CSF2RB (XP_015143698.1)	CRCBL (XP_004937831.3)	97%	97%	0.0
LOC112532681 (XP_025007653.1)	BPIFCB (XP_004937862.1)	47%	65%	4e-68
LOC107049050 (XP_429547.2)	LOC418086 (XP_004937888.2)	91%	94%	7e-149
PAH (NP_001001298.1)	THL (XP_001235001.1)	50%	67%	1e-153
SLC6A12 (XP_015142391.1)	SLC6A13 (XP_003640448.3)	73%	84%	0.0
TUBA8B (NP_990775.1)	TUBA8A (XP_416397.1)	89%	94%	0.0
SLCO1C1 (NP_001034186.1)	SLCO1B3 (NP_001305378.1)	53%	69%	0.0
SLCO1B1 (XP_024997727.1)	SLCO1A2 (XP_015147281.1)	46%	66%	2e-109
PARVB (XP_416459.2)	PARVG (XP_416460.2)	45%	64%	6e-86
TTC38L (XP_024998138.1)	TTC38 (XP_423856.6)	95%	98%	0.0
FGF6 (XP_001232071.1)	FGF23 (XP_425663.1)	38%	58%	2e-16
A2ML1 (XP_025007673.1)	A2ML2 (XP_004938163.2)	38%	56%	0.0
OVST (NP_990557.2)	OVSTL (XP_025007686.1)	49%	66%	0.0
LAG3 (XP_416510.2)	CD4 (NP_989980.1)	21%	41%	3e-15
LOC100859872 (XP_024999073.1)	LOC112530264 (XP_024999090.1)	98%	99%	3e-122
IGSF11 (NP_001305351.1)	LSAMP (XP_024999508.1)	23%	39%	6e-09
CD200R1L (XP_025005031.1)	CD200R1 (XP_015151925.1)	84%	90%	2e-130
TMPRSS7 (XP_001233291.2)	LOC418421 (XP_025000078.1)	31%	49%	8e-106
LOC396098 (NP_990513.1)	CD2 (XP_015153687.1)	24%	38%	4e-15
ADAMTS1 (XP_015154663.1)	ADAMTS5 (XP_425541.6)	45%	60%	0.0
CLDN17 (XP_015155129.1)	CLDN8 (XP_004938436.1)	52%	67%	4e-68
