Chromosome	Gene_id	Strand	Protein_id	Start	Stop	Transcript_id	Gene_name
1	ENSG00000186092	+	ENSP00000334393	69091	70008	ENST00000335137	OR4F5
1	ENSG00000284733	-	ENSP00000409316	451676	450742	ENST00000426406	OR4F29
1	ENSG00000284662	-	ENSP00000329982	686652	685718	ENST00000332831	OR4F16
1	ENSG00000187634	+	ENSP00000342313	925942	944153	ENST00000342066	SAMD11
1	ENSG00000188976	-	ENSP00000317992	959238	944696	ENST00000327044	NOC2L
1	ENSG00000187961	+	ENSP00000343930	960694	965191	ENST00000338591	KLHL17
1	ENSG00000187583	+	ENSP00000368719	966532	974575	ENST00000379409	PLEKHN1
1	ENSG00000187642	-	ENSP00000414022	981027	976174	ENST00000433179	PERM1
1	ENSG00000188290	-	ENSP00000304595	999971	999061	ENST00000304952	HES4
1	ENSG00000187608	+	ENSP00000496832	1013574	1014478	ENST00000649529	ISG15
1	ENSG00000188157	+	ENSP00000368678	1020173	1054981	ENST00000379370	AGRN
1	ENSG00000237330	-	ENSP00000410533	1072564	1071819	ENST00000453464	RNF223
1	ENSG00000131591	-	ENSP00000400736	1091541	1082895	ENST00000421241	C1orf159
1	ENSG00000162571	+	ENSP00000368591	1179216	1197847	ENST00000379289	TTLL10
1	ENSG00000186891	-	ENSP00000368570	1206569	1203846	ENST00000379268	TNFRSF18
1	ENSG00000186827	-	ENSP00000368538	1214125	1211557	ENST00000379236	TNFRSF4
1	ENSG00000078808	-	ENSP00000353094	1228770	1217514	ENST00000360001	SDF4
1	ENSG00000176022	+	ENSP00000368496	1232279	1233268	ENST00000379198	B3GALT6
1	ENSG00000184163	-	ENSP00000329137	1246688	1242550	ENST00000330388	C1QTNF12
1	ENSG00000160087	-	ENSP00000305826	1267990	1255205	ENST00000349431	UBE2J2
1	ENSG00000162572	+	ENSP00000368411	1280662	1291610	ENST00000379116	SCNN1D
1	ENSG00000131584	-	ENSP00000346733	1307813	1293566	ENST00000354700	ACAP3
1	ENSG00000169972	+	ENSP00000368318	1308644	1311379	ENST00000379031	PUSL1
1	ENSG00000127054	-	ENSP00000413493	1324606	1311861	ENST00000435064	INTS11
1	ENSG00000224051	+	ENSP00000343890	1326911	1327763	ENST00000343938	CPTP
1	ENSG00000169962	+	ENSP00000344411	1331346	1334464	ENST00000339381	TAS1R3
1	ENSG00000107404	-	ENSP00000368166	1349063	1336144	ENST00000378888	DVL1
1	ENSG00000162576	-	ENSP00000307887	1358502	1353606	ENST00000309212	MXRA8
1	ENSG00000175756	-	ENSP00000319778	1374754	1373803	ENST00000321751	AURKAIP1
1	ENSG00000221978	-	ENSP00000383611	1399304	1387233	ENST00000400809	CCNL2
1	ENSG00000242485	-	ENSP00000341082	1407215	1402085	ENST00000344843	MRPL20
1	ENSG00000235098	-	ENSP00000482314	1421003	1419102	ENST00000454272	ANKRD65
1	ENSG00000205116	+	ENSP00000455099	1426128	1427787	ENST00000378821	TMEM88B
1	ENSG00000179403	+	ENSP00000417185	1435749	1439787	ENST00000476993	VWA1
1	ENSG00000215915	+	ENSP00000368062	1450684	1468530	ENST00000378785	ATAD3C
1	ENSG00000160072	+	ENSP00000500094	1471885	1495817	ENST00000673477	ATAD3B
1	ENSG00000197785	+	ENSP00000368031	1512269	1534072	ENST00000378756	ATAD3A
1	ENSG00000205090	-	ENSP00000368007	1540344	1535361	ENST00000378733	TMEM240
1	ENSG00000160075	-	ENSP00000291386	1574555	1542068	ENST00000291386	SSU72
1	ENSG00000228594	-	ENSP00000389111	1600013	1599337	ENST00000422725	FNDC10
1	ENSG00000197530	+	ENSP00000426103	1615460	1630530	ENST00000505820	MIB2
1	ENSG00000189409	+	ENSP00000348308	1632219	1634625	ENST00000356026	MMP23B
1	ENSG00000248333	-	ENSP00000463048	1657483	1635766	ENST00000341832	CDK11B
1	ENSG00000189339	-	ENSP00000484635	1676697	1665784	ENST00000611123	SLC35E2B
1	ENSG00000008128	-	ENSP00000384442	1722816	1702909	ENST00000404249	CDK11A
1	ENSG00000215790	-	ENSP00000495949	1739555	1732457	ENST00000643905	SLC35E2A
1	ENSG00000008130	-	ENSP00000341679	1765404	1752906	ENST00000341426	NADK
1	ENSG00000078369	-	ENSP00000367872	1825451	1787333	ENST00000378609	GNB1
1	ENSG00000169885	+	ENSP00000304643	1915281	1917193	ENST00000307786	CALML6
1	ENSG00000178821	-	ENSP00000311122	1919263	1917884	ENST00000310991	TMEM52
