Chromosome	Gene	Strand	CDS	Start	Stop	Product
NC_002333.2	ND1	+	NP_059331.1	3803	4777	NADH dehydrogenase subunit 1
NC_002333.2	ND2	+	NP_059332.1	4993	6039	NADH dehydrogenase subunit 2
NC_002333.2	COX1	+	NP_059333.1	6425	7975	cytochrome c oxidase subunit I
NC_002333.2	COX2	+	NP_059334.1	8130	8820	cytochrome c oxidase subunit II
NC_002333.2	ATP8	+	NP_059335.1	8894	9058	ATP synthase F0 subunit 8
NC_002333.2	ATP6	+	NP_059336.1	9052	9735	ATP synthase F0 subunit 6
NC_002333.2	COX3	+	NP_059337.1	9735	10520	cytochrome c oxidase subunit III
NC_002333.2	ND3	+	NP_059338.1	10590	10940	NADH dehydrogenase subunit 3
NC_002333.2	ND4L	+	NP_059339.1	11009	11305	NADH dehydrogenase subunit 4L
NC_002333.2	ND4	+	NP_059340.1	11299	12679	NADH dehydrogenase subunit 4
NC_002333.2	ND5	+	NP_059341.1	12897	14717	NADH dehydrogenase subunit 5
NC_002333.2	ND6	-	NP_059342.1	15230	14716	NADH dehydrogenase subunit 6
NC_002333.2	CYTB	+	NP_059343.1	15308	16448	cytochrome b
NC_007112.7	rpl24	-	NP_775342.2	11753	6682	60S ribosomal protein L24
NC_007112.7	cep97	+	XP_009303333.2	11932	15963	centrosomal protein of 97 kDa isoform X1
NC_007112.7	nfkbiz	+	XP_021331586.1	18663	23112	NF-kappa-B inhibitor zeta isoform X1
NC_007112.7	eed	+	NP_001017766.2	27842	34247	polycomb protein eed
NC_007112.7	hikeshi	+	NP_001017577.1	36849	39035	protein Hikeshi
NC_007112.7	tmem39a	-	NP_955926.1	43398	39824	transmembrane protein 39A
NC_007112.7	ildr1a	-	NP_956687.1	49690	45514	immunoglobulin-like domain containing receptor 1 precursor
NC_007112.7	LOC100332762	-	XP_021331589.1	64854	53825	immunoglobulin-like domain-containing receptor 2 isoform X1
NC_007112.7	si:zfos-1011f11.1	-	NP_001108577.2	71473	67046	cell surface A33 antigen precursor
NC_007112.7	zgc:163025	+	NP_001083027.2	109844	117618	uncharacterized protein LOC100038778 precursor
NC_007112.7	f7	+	NP_571894.2	119976	124755	coagulation factor VII precursor
NC_007112.7	f7i	+	NP_775335.1	127264	133723	coagulation factor VIIi precursor
NC_007112.7	f10	+	NP_958870.3	136087	141441	coagulation factor X precursor
NC_007112.7	prozb	+	NP_001313449.1	144302	151685	vitamin K-dependent protein Z precursor
NC_007112.7	pcid2	-	XP_005168057.1	156373	152318	PCI domain-containing protein 2 isoform X1
NC_007112.7	cul4a	+	NP_957321.1	158034	167401	cullin-4A
NC_007112.7	zgc:64072	+	NP_955996.1	171904	182258	lysosome-associated membrane glycoprotein 1 precursor
NC_007112.7	grtp1a	-	XP_021325854.1	190153	185332	growth hormone-regulated TBC protein 1-A isoform X1
NC_007112.7	adprhl1	-	XP_021328681.1	206155	197724	protein ADP-ribosylarginine hydrolase-like protein 1 isoform X1
NC_007112.7	dcun1d2b	-	XP_021326502.1	213114	209229	DCN1-like protein 2 isoform X1
NC_007112.7	tmco3	+	XP_021331592.1	218524	225137	LOW QUALITY PROTEIN: transmembrane and coiled-coil domain-containing protein 3
