Chromosome	Gene	Strand	CDS	Start	Stop	Product
NC_000001.11	OR4F5	+	NP_001005484.1	69091	70008	olfactory receptor 4F5
NC_000001.11	LOC112268260	-	XP_024307731.1	399098	358069	uncharacterized protein LOC112268260 isoform X2
NC_000001.11	OR4F29	-	NP_001005221.2	451676	450742	olfactory receptor 4F3/4F16/4F29
NC_000001.11	LOC105378947	-	XP_011540840.1	611295	586841	proline-rich extensin-like protein EPR1
NC_000001.11	OR4F16	-	XP_016857898.1	686652	685718	olfactory receptor 4F3/4F16/4F29 isoform X1
NC_000001.11	LOC107984841	-	XP_016858497.1	744341	733146	uncharacterized protein LOC107984841
NC_000001.11	LOC107985728	-	XP_016858554.1	924935	923458	collagen alpha-1(III) chain-like
NC_000001.11	SAMD11	+	NP_689699.2	925942	944153	sterile alpha motif domain-containing protein 11
NC_000001.11	NOC2L	-	NP_056473.3	959238	944696	nucleolar complex protein 2 homolog
NC_000001.11	KLHL17	+	XP_006710663.1	960694	965191	kelch-like protein 17 isoform X1
NC_000001.11	PLEKHN1	+	XP_011540550.2	966208	974575	pleckstrin homology domain-containing family N member 1 isoform X1
NC_000001.11	PERM1	-	NP_001278295.1	981027	976174	PGC-1 and ERR-induced regulator in muscle protein 1 isoform 1
NC_000001.11	HES4	-	XP_005244828.1	999971	999061	transcription factor HES-4 isoform X1
NC_000001.11	ISG15	+	NP_005092.1	1013574	1014478	ubiquitin-like protein ISG15
NC_000001.11	AGRN	+	XP_005244806.1	1020173	1054981	agrin isoform X1
NC_000001.11	LOC112267874	-	XP_024307738.1	1069943	1065803	uncharacterized protein LOC112267874
NC_000001.11	RNF223	-	NP_001192181.1	1072564	1071819	RING finger protein 223
NC_000001.11	C1orf159	-	NP_060361.4	1091541	1082895	uncharacterized protein C1orf159 isoform 2 precursor
NC_000001.11	TTLL10	+	NP_001358578.1	1179216	1197847	inactive polyglycylase TTLL10 isoform 1
NC_000001.11	TNFRSF18	-	XP_016858211.1	1206569	1203593	tumor necrosis factor receptor superfamily member 18 isoform X1
NC_000001.11	TNFRSF4	-	XP_016857721.1	1214125	1211557	tumor necrosis factor receptor superfamily member 4 isoform X4
NC_000001.11	SDF4	-	NP_057631.1	1228791	1217672	45 kDa calcium-binding protein isoform 1 precursor
NC_000001.11	B3GALT6	+	NP_542172.2	1232279	1233268	beta-1,3-galactosyltransferase 6
NC_000001.11	C1QTNF12	-	XP_011539739.1	1244456	1242492	adipolin isoform X4
NC_000001.11	UBE2J2	-	NP_919439.1	1263359	1255205	ubiquitin-conjugating enzyme E2 J2 isoform 3
NC_000001.11	SCNN1D	+	NP_001123885.2	1280662	1291610	amiloride-sensitive sodium channel subunit delta
NC_000001.11	ACAP3	-	XP_005244772.1	1307813	1293566	arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 isoform X6
NC_000001.11	PUSL1	+	XP_005244777.1	1308644	1310800	tRNA pseudouridine synthase-like 1 isoform X2
NC_000001.11	INTS11	-	NP_001243389.1	1321032	1311861	integrator complex subunit 11 isoform 3
NC_000001.11	CPTP	+	XP_005244859.1	1327308	1327763	ceramide-1-phosphate transfer protein isoform X2
NC_000001.11	TAS1R3	+	NP_689414.2	1331346	1334464	taste receptor type 1 member 3 precursor
NC_000001.11	DVL1	-	NP_004412.2	1349063	1336144	segment polarity protein dishevelled homolog DVL-1 isoform 2
NC_000001.11	MXRA8	-	NP_001269511.1	1358502	1353606	matrix remodeling-associated protein 8 isoform 2 precursor
NC_000001.11	AURKAIP1	-	XP_024303692.1	1374672	1373803	aurora kinase A-interacting protein isoform X2
NC_000001.11	CCNL2	-	NP_112199.2	1399304	1387233	cyclin-L2 isoform A
NC_000001.11	MRPL20	-	NP_060441.2	1407215	1402085	39S ribosomal protein L20, mitochondrial isoform 1
NC_000001.11	ANKRD65	-	XP_016856813.1	1421003	1419102	ankyrin repeat domain-containing protein 65 isoform X1
NC_000001.11	TMEM88B	+	NP_001140157.1	1426128	1427787	transmembrane protein 88B
NC_000001.11	LOC107985729	+	XP_016858555.1	1433233	1435150	uncharacterized protein LOC107985729
NC_000001.11	VWA1	+	NP_073745.2	1435749	1439787	von Willebrand factor A domain-containing protein 1 isoform 1 precursor
NC_000001.11	ATAD3C	+	NP_001034300.2	1450684	1468530	ATPase family AAA domain-containing protein 3C
NC_000001.11	ATAD3B	+	XP_005244863.1	1471885	1509351	ATPase family AAA domain-containing protein 3B isoform X1
NC_000001.11	ATAD3A	+	XP_024303866.1	1512269	1534072	ATPase family AAA domain-containing protein 3A isoform X1
NC_000001.11	TMEM240	-	NP_001108220.1	1540344	1535361	transmembrane protein 240
NC_000001.11	SSU72	-	NP_054907.1	1574555	1542068	RNA polymerase II subunit A C-terminal domain phosphatase SSU72
NC_000001.11	FNDC10	-	NP_001229588.1	1600013	1599337	fibronectin type III domain-containing protein 10 precursor
NC_000001.11	MIB2	+	XP_016855846.1	1615460	1630530	E3 ubiquitin-protein ligase MIB2 isoform X11
NC_000001.11	MMP23B	+	XP_016858104.1	1632219	1634625	matrix metalloproteinase-23 isoform X1
NC_000001.11	CDK11B	-	NP_001278274.1	1657483	1635766	cyclin-dependent kinase 11B isoform 10
NC_000001.11	SLC35E2B	-	XP_024305278.1	1676697	1660014	solute carrier family 35 member E2B isoform X1
NC_000001.11	CDK11A	-	NP_277071.2	1722816	1702909	cyclin-dependent kinase 11A isoform 4
NC_000001.11	SLC35E2A	-	NP_001186716.1	1739555	1725416	solute carrier family 35 member E2A isoform 2
NC_000001.11	NADK	-	XP_006710902.1	1765404	1752906	NAD kinase isoform X5
NC_000001.11	GNB1	-	NP_001269468.1	1825451	1787333	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 isoform 1
NC_000001.11	LOC105378949	+	XP_016858562.1	1891069	1892352	CASP-like protein 4A1 isoform X1
NC_000001.11	CALML6	+	XP_005244786.2	1915281	1917193	calmodulin-like protein 6 isoform X1
NC_000001.11	TMEM52	-	NP_848640.1	1919263	1917884	transmembrane protein 52 precursor
NC_000001.11	CFAP74	-	XP_016858131.1	1990954	1922289	cilia- and flagella-associated protein 74 isoform X2
NC_000001.11	GABRD	+	NP_000806.2	2019424	2030282	gamma-aminobutyric acid receptor subunit delta precursor
NC_000001.11	PRKCZ	+	NP_002735.3	2050631	2185009	protein kinase C zeta type isoform 1
NC_000001.11	LOC112268219	+	XP_024307096.1	2190051	2190593	uncharacterized protein LOC112268219
NC_000001.11	FAAP20	-	XP_016856043.1	2194747	2185473	Fanconi anemia core complex-associated protein 20 isoform X7
NC_000001.11	SKI	+	NP_003027.1	2228767	2306765	ski oncogene
NC_000001.11	MORN1	-	NP_079124.1	2391531	2321385	MORN repeat-containing protein 1 isoform 1
NC_000001.11	RER1	+	NP_008964.3	2395791	2403124	protein RER1
NC_000001.11	PEX10	-	NP_001361356.1	2408617	2405768	peroxisome biogenesis factor 10 isoform 5
NC_000001.11	PLCH2	+	XP_024306830.1	2412501	2503627	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 isoform X7
