Class;Order;Species;0A;0B;1A;1B;2A;2B;3A;3B;4A;4B;5A;5B;6A;6B;7A;7B;8A;8B;9A;9B;10A;10B;11A;11B;12A;12B;13A;13B;14A;14B;15A;15B;16A;16B;17A;17B;18A;18B;19A;19B;20A;20B;21A;21B;22A;22B;23A;23B;24A;24B;25A;25B;26A;26B;27A;27B;28A;28B;29A;29B;30A;30B;31A;31B;32A;32B;33A;33B;34A;34B;35A;35B;36A;36B;37A;37B;38A;38B;39A;39B;40A;40B;41A;41B;42A;42B;43A;43B;44A;44B;45A;45B;46A;46B;47A;47B;48A;48B;49A;49B;50A;50B;51A;51B;52A;52B;53A;53B;54A;54B;55A;55B;58A;58B;59A;59B;60A;60B;61A;61B;62A;62B;63A;63B;64A;64B;65A;65B;66A;66B;67A;67B;68A;68B;69A;69B;70A;70B;71A;71B;72A;72B;73A;73B;74A;74B;75A;75B;76A;76B;77A;77B;78A;78B;79A;79B;80A;80B;81A;81B;82A;82B;83A;83B;84A;84B;85A;85B;86A;86B;87A;87B;88A;88B;89A;89B;90A;90B;92A;92B;93A;93B;94A;94B;95A;95B;96A;96B;97A;97B;98A;98B;100A;100B;101A;101B;102A;102B;103A;103B;104A;104B;105A;105B;106A;106B;107A;107B;108A;108B;110A;110B;111A;111B;112A;112B;113A;113B;114A;114B;115A;115B;116A;116B;117A;117B;118A;118B;119A;119B;120A;120B;121A;121B;122A;122B;123A;123B;124A;124B;125A;125B;126A;126B;128A;128B;130A;130B;131A;131B;132A;132B;133A;133B;134A;134B;135A;135B;137A;137B;138A;138B;139A;139B;140A;140B;141A;141B;142A;142B;143A;143B;144A;144B;146A;146B;148A;148B;149A;149B;150A;150B;151A;151B;152A;152B;153A;153B;154A;154B;155A;155B;156A;156B
Actinopteri;Anabantiformes;Anabas_testudineus;ENSATEP00000002576;;;;ENSATEP00000003479;;;ENSATEP00000034505;ENSATEP00000034589;;;;;;;ENSATEP00000028759;ENSATEP00000001886;;;ENSATEP00000017307;;;ENSATEP00000015640;;ENSATEP00000020075;ENSATEP00000013567;;;;ENSATEP00000021116;ENSATEP00000016148;ENSATEP00000014349;ENSATEP00000016026;;;ENSATEP00000022781;;ENSATEP00000018127;;;ENSATEP00000000777;ENSATEP00000026077;;;;;;;;ENSATEP00000032394;ENSATEP00000025336;;;;ENSATEP00000033955;;;ENSATEP00000021762;;ENSATEP00000015764;;;ENSATEP00000008858;;;;;;;;ENSATEP00000002614;;;;;;;;;;;;ENSATEP00000015259;;;;;;ENSATEP00000014304;;;;;;;;;;;ENSATEP00000025613;;;;;;ENSATEP00000007446;ENSATEP00000028689;;;;ENSATEP00000029174;ENSATEP00000023536;;;ENSATEP00000024603;ENSATEP00000015991;;;;;;;;ENSATEP00000003819;;;;;;;;;;;;ENSATEP00000025565;;;ENSATEP00000002668;;ENSATEP00000026671;ENSATEP00000019965;ENSATEP00000030189;;;;;;;;;;;;ENSATEP00000005286;;;;;ENSATEP00000036154;ENSATEP00000032155;;;ENSATEP00000020702;;;;ENSATEP00000001785;;;;;;ENSATEP00000006463;;ENSATEP00000000120;;;;ENSATEP00000001996;;;;ENSATEP00000023164;;;;ENSATEP00000022425;ENSATEP00000027259;;;ENSATEP00000002379;;;;;ENSATEP00000011323;;;;ENSATEP00000022283;;;;;;;;;ENSATEP00000002775;;;;ENSATEP00000001879;;ENSATEP00000003299;ENSATEP00000013424;;ENSATEP00000020564;;;ENSATEP00000019796;;;ENSATEP00000011674;ENSATEP00000016979;ENSATEP00000012069;;ENSATEP00000025581;ENSATEP00000023134;;ENSATEP00000020696;;;;;;ENSATEP00000033044;ENSATEP00000007498;;;;;;;;;ENSATEP00000028579;;;;;ENSATEP00000007452;ENSATEP00000007555;ENSATEP00000025929;;ENSATEP00000033531;;;ENSATEP00000025264;ENSATEP00000017155;ENSATEP00000017034;;ENSATEP00000033927;ENSATEP00000016808;ENSATEP00000016776;ENSATEP00000024081;ENSATEP00000024213;;ENSATEP00000029815;;ENSATEP00000002894;;;ENSATEP00000007065;ENSATEP00000007017;;;ENSATEP00000027671;ENSATEP00000027654;;ENSATEP00000023339;;ENSATEP00000026534;;;ENSATEP00000016487;;;;ENSATEP00000025936;ENSATEP00000026117;ENSATEP00000020796;ENSATEP00000021160
Actinopteri;Anabantiformes;Betta_splendens;ENSBSLP00000003838;;;;ENSBSLP00000030644;;;ENSBSLP00000030197;;ENSBSLP00000034713;;;;;;ENSBSLP00000043369;ENSBSLP00000021211;;;ENSBSLP00000025489;;;ENSBSLP00000051865;;ENSBSLP00000025414;;;;;ENSBSLP00000005199;;ENSBSLP00000001053;;;;ENSBSLP00000038878;;ENSBSLP00000032083;;;ENSBSLP00000039080;ENSBSLP00000018705;;;;;;;;;ENSBSLP00000018877;ENSBSLP00000018776;;;ENSBSLP00000009039;;;;;ENSBSLP00000029007;;;ENSBSLP00000050290;;;;;;;;ENSBSLP00000017206;;;;;;;;;;;;ENSBSLP00000041923;;;;;;;ENSBSLP00000022082;;;;;;;;;ENSBSLP00000039213;;;;;;;ENSBSLP00000003602;ENSBSLP00000055204;;;;ENSBSLP00000015267;ENSBSLP00000017517;;;ENSBSLP00000038397;ENSBSLP00000000900;;;;;;;ENSBSLP00000010325;;;;;;;;;;;;;ENSBSLP00000003054;;;ENSBSLP00000013614;ENSBSLP00000042155;ENSBSLP00000031218;ENSBSLP00000004584;ENSBSLP00000040689;;;ENSBSLP00000043336;;;;;;;;;ENSBSLP00000005890;;;;;ENSBSLP00000009108;ENSBSLP00000042418;;;ENSBSLP00000042649;;;;ENSBSLP00000049498;;;;;;ENSBSLP00000025822;;ENSBSLP00000022333;;;;ENSBSLP00000025383;;;ENSBSLP00000002891;ENSBSLP00000002906;ENSBSLP00000025192;;;ENSBSLP00000002203;ENSBSLP00000038414;;;ENSBSLP00000056090;;;;;ENSBSLP00000008945;;;;ENSBSLP00000007433;;;;;;;;;ENSBSLP00000010118;;;;ENSBSLP00000021185;;ENSBSLP00000030239;;ENSBSLP00000044243;ENSBSLP00000024484;;;ENSBSLP00000015915;;;ENSBSLP00000001968;;;;ENSBSLP00000054227;ENSBSLP00000054553;;;;;;;;ENSBSLP00000034966;ENSBSLP00000043695;;;;;;;;;ENSBSLP00000008970;;;;;ENSBSLP00000022539;ENSBSLP00000021397;;;ENSBSLP00000012180;ENSBSLP00000011616;;ENSBSLP00000054973;ENSBSLP00000023523;ENSBSLP00000021002;;ENSBSLP00000021705;ENSBSLP00000038927;ENSBSLP00000038894;ENSBSLP00000007607;ENSBSLP00000007516;;;;ENSBSLP00000056717;;;ENSBSLP00000035562;ENSBSLP00000035369;;;ENSBSLP00000008561;ENSBSLP00000008549;;ENSBSLP00000008054;;ENSBSLP00000007525;;;ENSBSLP00000034988;;;;ENSBSLP00000019183;ENSBSLP00000016903;ENSBSLP00000045035;
Actinopteri;Beloniformes;Oryzias_latipes;;;;;;;;ENSORLP00000000654;;ENSORLP00000012201;;;;;ENSORLP00000009219;;ENSORLP00000015503;;;ENSORLP00000020365;;;;ENSORLP00000022640;ENSORLP00000041663;;;;;ENSORLP00000000225;;;ENSORLP00000021324;;;ENSORLP00000005857;;ENSORLP00000034133;;;ENSORLP00000005502;ENSORLP00000012810;;;;;;;;ENSORLP00000036430;ENSORLP00000041519;;;;ENSORLP00000027675;;;;;ENSORLP00000004231;;;;ENSORLP00000010762;;;;;;;ENSORLP00000043704;;;;;;;;;;;;ENSORLP00000007982;;;;;;ENSORLP00000040121;;;;;;;;;;;ENSORLP00000039686;;;;;;ENSORLP00000028828;ENSORLP00000041269;;;;ENSORLP00000008388;ENSORLP00000001875;;;ENSORLP00000040425;ENSORLP00000007691;;;;;;;;;;;;;;;;;;;;ENSORLP00000043817;;;ENSORLP00000000977;ENSORLP00000024666;ENSORLP00000012184;ENSORLP00000010734;ENSORLP00000042483;;;;;;;;;;;;ENSORLP00000011920;;;;;ENSORLP00000031804;;ENSORLP00000045520;;ENSORLP00000003062;;;;ENSORLP00000037796;;;;;;ENSORLP00000028267;;ENSORLP00000039734;;;;ENSORLP00000015168;;;ENSORLP00000038685;;ENSORLP00000035551;;;ENSORLP00000000081;ENSORLP00000017213;;;ENSORLP00000019454;;;;;ENSORLP00000012386;;;;ENSORLP00000028491;ENSORLP00000040657;;;ENSORLP00000003101;;;;;ENSORLP00000035942;;;;ENSORLP00000015473;ENSORLP00000012304;ENSORLP00000025943;ENSORLP00000043068;;ENSORLP00000035648;;;ENSORLP00000039308;;;ENSORLP00000042262;ENSORLP00000024399;ENSORLP00000042448;;ENSORLP00000030222;ENSORLP00000034328;;;;;;;;ENSORLP00000043696;ENSORLP00000005441;;;;;;;;;ENSORLP00000011201;;;;;ENSORLP00000005246;ENSORLP00000018612;ENSORLP00000027176;;ENSORLP00000002066;ENSORLP00000006366;;ENSORLP00000017581;ENSORLP00000012958;ENSORLP00000027279;;ENSORLP00000035989;ENSORLP00000012504;ENSORLP00000012500;ENSORLP00000025846;ENSORLP00000026630;;ENSORLP00000029818;;ENSORLP00000013330;;;ENSORLP00000007750;ENSORLP00000007759;;;ENSORLP00000016880;ENSORLP00000033836;ENSORLP00000041623;;;ENSORLP00000007114;;;ENSORLP00000028674;;;;ENSORLP00000034755;ENSORLP00000045928;;ENSORLP00000034999
Actinopteri;Blenniiformes;Gouania_willdenowi;;ENSGWIP00000008461;;;;;;ENSGWIP00000028020;;ENSGWIP00000028261;;;;;ENSGWIP00000033862;;ENSGWIP00000013611;;;ENSGWIP00000014833;;;;;ENSGWIP00000035073;;;;;ENSGWIP00000039594;ENSGWIP00000026075;ENSGWIP00000014625;;;;ENSGWIP00000023080;ENSGWIP00000023795;ENSGWIP00000008633;;;ENSGWIP00000008143;ENSGWIP00000053338;;ENSGWIP00000011821;;;;;;ENSGWIP00000022050;ENSGWIP00000043136;;;;ENSGWIP00000030092;ENSGWIP00000052403;;;;;;;ENSGWIP00000001534;;;;;;;;ENSGWIP00000048997;;;;;;;;;;;;ENSGWIP00000039409;;;;;;ENSGWIP00000010533;;;;;;;;;;;ENSGWIP00000003062;;;;;;ENSGWIP00000009375;ENSGWIP00000038583;;;;ENSGWIP00000026665;ENSGWIP00000028618;;;ENSGWIP00000040700;ENSGWIP00000038456;;;;;;;ENSGWIP00000046194;;;;;;;;;;;;;ENSGWIP00000016281;;;ENSGWIP00000020643;;ENSGWIP00000036582;ENSGWIP00000034408;ENSGWIP00000054848;;;;;;;;;;;;ENSGWIP00000012166;;;;;ENSGWIP00000030611;;ENSGWIP00000007309;ENSGWIP00000004327;;;;;;;;;;;ENSGWIP00000012419;;ENSGWIP00000043430;ENSGWIP00000015329;;;ENSGWIP00000021674;;;ENSGWIP00000010357;;ENSGWIP00000035276;;;ENSGWIP00000012013;ENSGWIP00000051829;;;ENSGWIP00000012430;;;;;ENSGWIP00000053697;;;;ENSGWIP00000020865;;;;;;;;;ENSGWIP00000048933;;;;ENSGWIP00000013623;ENSGWIP00000040261;ENSGWIP00000040461;;;ENSGWIP00000020397;;;ENSGWIP00000028550;;;ENSGWIP00000015070;;ENSGWIP00000009363;;ENSGWIP00000004160;ENSGWIP00000004179;;ENSGWIP00000034340;;ENSGWIP00000027176;;;;;ENSGWIP00000043849;;;;;;;;;ENSGWIP00000008256;;;;;ENSGWIP00000028925;ENSGWIP00000037635;ENSGWIP00000009806;;ENSGWIP00000039927;ENSGWIP00000024591;;;;ENSGWIP00000034166;;ENSGWIP00000000252;ENSGWIP00000004939;ENSGWIP00000004719;ENSGWIP00000022719;ENSGWIP00000022726;;ENSGWIP00000023972;;ENSGWIP00000004386;ENSGWIP00000026804;;;ENSGWIP00000008354;;;ENSGWIP00000019946;ENSGWIP00000019939;ENSGWIP00000049550;;;;;;;;;;ENSGWIP00000054609;ENSGWIP00000054289;ENSGWIP00000049357;
Actinopteri;Blenniiformes;Salarias_fasciatus;;;;;ENSSFAP00005025324;;;;;ENSSFAP00005001987;;;;;;ENSSFAP00005005142;ENSSFAP00005002493;;;ENSSFAP00005046873;;;ENSSFAP00005009034;;ENSSFAP00005003790;ENSSFAP00005003648;;;;ENSSFAP00005041829;ENSSFAP00005029267;ENSSFAP00005040013;;;;ENSSFAP00005039107;ENSSFAP00005027400;ENSSFAP00005033885;;;ENSSFAP00005006782;ENSSFAP00005032799;;ENSSFAP00005000884;;;;;;ENSSFAP00005030908;ENSSFAP00005031873;;;;ENSSFAP00005031993;ENSSFAP00005010733;;;;ENSSFAP00005025748;;;;ENSSFAP00005002413;;;;;;;ENSSFAP00005026172;;;;;;;;;;;;ENSSFAP00005018259;ENSSFAP00005018416;;;;;ENSSFAP00005046010;;;;;;;;;;;;;;;;;ENSSFAP00005015881;ENSSFAP00005046031;;;;ENSSFAP00005035773;ENSSFAP00005030754;;;ENSSFAP00005054188;ENSSFAP00005019893;;;;;;;ENSSFAP00005038163;;;;;;;;;;;;;ENSSFAP00005052186;;;ENSSFAP00005032546;;ENSSFAP00005053365;ENSSFAP00005047467;ENSSFAP00005055327;;;;;;;;;;;;ENSSFAP00005043345;;;;ENSSFAP00005024139;;;ENSSFAP00005053865;ENSSFAP00005009043;;;;ENSSFAP00005025882;;;;;;;;ENSSFAP00005000871;;;;;ENSSFAP00005004774;;;ENSSFAP00005014326;;;;;ENSSFAP00005020911;ENSSFAP00005039737;;;ENSSFAP00005011236;;;;;ENSSFAP00005029891;ENSSFAP00005029888;;;;;;;;;;;;ENSSFAP00005026352;;;;ENSSFAP00005002482;;ENSSFAP00005025321;;;ENSSFAP00005003029;;;ENSSFAP00005044229;;;ENSSFAP00005041256;ENSSFAP00005044492;;;ENSSFAP00005051606;ENSSFAP00005051613;;;;;;;;;ENSSFAP00005012199;;;;;;;;;ENSSFAP00005048218;;;;;ENSSFAP00005016464;ENSSFAP00005055362;;;ENSSFAP00005026840;ENSSFAP00005048840;;ENSSFAP00005047045;;ENSSFAP00005051376;;ENSSFAP00005001500;ENSSFAP00005039969;ENSSFAP00005039972;ENSSFAP00005053361;ENSSFAP00005053403;;ENSSFAP00005013496;;;;;;ENSSFAP00005002429;;;ENSSFAP00005003728;ENSSFAP00005003741;ENSSFAP00005015149;ENSSFAP00005015609;;ENSSFAP00005015935;;;;;;;ENSSFAP00005037587;ENSSFAP00005036489;;ENSSFAP00005007095
Actinopteri;Carangiformes;Echeneis_naucrates;;;;;;;;ENSENLP00000033193;ENSENLP00000032490;;;;;;;ENSENLP00000026391;ENSENLP00000001064;;;ENSENLP00000021180;;;;ENSENLP00000028750;ENSENLP00000038749;;;;;ENSENLP00000006199;;;;;;ENSENLP00000018794;;ENSENLP00000006619;;;ENSENLP00000014001;ENSENLP00000033052;;;;;;;;ENSENLP00000026866;ENSENLP00000030744;;;;ENSENLP00000052423;;;;;ENSENLP00000039321;;;ENSENLP00000049037;;;;;;;;ENSENLP00000037357;;;;;;;;;;;;ENSENLP00000016687;;;;;;ENSENLP00000037818;;;;;;;;;;ENSENLP00000044356;;;;;;;ENSENLP00000001749;ENSENLP00000053121;;;;ENSENLP00000027625;ENSENLP00000009716;;;ENSENLP00000022856;ENSENLP00000018721;;;;;;;ENSENLP00000009817;;;;;;;;;;;;;ENSENLP00000009748;;;ENSENLP00000025218;;ENSENLP00000026063;ENSENLP00000025893;ENSENLP00000048577;;;;;;;;;;;;;ENSENLP00000031283;;;ENSENLP00000008116;;ENSENLP00000053900;;;ENSENLP00000054687;;;ENSENLP00000007948;;;;;;;ENSENLP00000004019;ENSENLP00000049785;;;;;ENSENLP00000017194;;;;ENSENLP00000026648;ENSENLP00000043142;;;ENSENLP00000001360;ENSENLP00000016141;;;ENSENLP00000015784;;;;;ENSENLP00000017490;;;;ENSENLP00000047579;;ENSENLP00000010854;;ENSENLP00000004435;ENSENLP00000040913;;;;ENSENLP00000037668;;;;ENSENLP00000001082;ENSENLP00000024983;ENSENLP00000025316;;;ENSENLP00000016120;;;ENSENLP00000040250;;;ENSENLP00000012416;;;;ENSENLP00000034326;ENSENLP00000034417;;;;;;;;;ENSENLP00000015631;;;;;;;;;ENSENLP00000005313;;;;;ENSENLP00000045582;ENSENLP00000045433;ENSENLP00000045815;;ENSENLP00000042198;ENSENLP00000033326;;ENSENLP00000024785;ENSENLP00000009684;ENSENLP00000009733;ENSENLP00000016906;;ENSENLP00000031347;ENSENLP00000031352;ENSENLP00000006888;ENSENLP00000006815;;ENSENLP00000027383;;ENSENLP00000000855;;ENSENLP00000053515;;ENSENLP00000010988;;;ENSENLP00000042008;ENSENLP00000042015;ENSENLP00000004120;;;ENSENLP00000004031;;;ENSENLP00000040454;;;;ENSENLP00000009057;ENSENLP00000015819;ENSENLP00000014417;
Actinopteri;Carangiformes;Seriola_dumerili;;;;;ENSSDUP00000008918;;;;;ENSSDUP00000008052;;;;;ENSSDUP00000029844;;;;;ENSSDUP00000012969;;;;ENSSDUP00000012886;ENSSDUP00000014771;ENSSDUP00000021037;;;;ENSSDUP00000032058;ENSSDUP00000005695;ENSSDUP00000025204;;;;ENSSDUP00000030566;;ENSSDUP00000027705;;;ENSSDUP00000015208;ENSSDUP00000010508;;;;;;;;ENSSDUP00000005672;ENSSDUP00000030760;;;;ENSSDUP00000005462;;;;ENSSDUP00000010829;;;;;ENSSDUP00000020228;;;;;;;;;;;;;;;;;;;ENSSDUP00000025379;;;;;;ENSSDUP00000013146;;;;;;;;;;;ENSSDUP00000032660;;;;;;ENSSDUP00000019215;ENSSDUP00000011805;;;;ENSSDUP00000028975;ENSSDUP00000032131;;;ENSSDUP00000027475;ENSSDUP00000027098;;;;;;;;;;;;;;;;;;;;ENSSDUP00000003273;;;ENSSDUP00000000926;ENSSDUP00000024923;ENSSDUP00000022855;ENSSDUP00000018382;ENSSDUP00000013119;;;;;;;;;;;;ENSSDUP00000012109;;;;ENSSDUP00000009090;;;ENSSDUP00000022134;;ENSSDUP00000023805;;;;ENSSDUP00000032330;;;;;;ENSSDUP00000008528;ENSSDUP00000005933;;;;;ENSSDUP00000023738;;;ENSSDUP00000021302;ENSSDUP00000022659;ENSSDUP00000014242;;;ENSSDUP00000015778;ENSSDUP00000018351;;;ENSSDUP00000018190;;;;;ENSSDUP00000023737;;;;ENSSDUP00000009396;ENSSDUP00000010810;ENSSDUP00000009421;;;;;;ENSSDUP00000007073;ENSSDUP00000007135;;;ENSSDUP00000029801;ENSSDUP00000029790;;ENSSDUP00000009120;ENSSDUP00000000501;;ENSSDUP00000033027;;;ENSSDUP00000029419;;;;ENSSDUP00000021842;;;ENSSDUP00000024767;ENSSDUP00000000289;;;;;;;;;;ENSSDUP00000014845;;;;;;;ENSSDUP00000031511;ENSSDUP00000004469;;;;;ENSSDUP00000002968;ENSSDUP00000002899;ENSSDUP00000005757;;ENSSDUP00000019168;ENSSDUP00000030880;;ENSSDUP00000018818;ENSSDUP00000010237;ENSSDUP00000010290;;ENSSDUP00000019514;ENSSDUP00000002149;ENSSDUP00000002112;ENSSDUP00000029327;ENSSDUP00000029312;;ENSSDUP00000000258;;ENSSDUP00000009795;ENSSDUP00000024778;;ENSSDUP00000009037;ENSSDUP00000009070;;;ENSSDUP00000000998;ENSSDUP00000001012;ENSSDUP00000032937;;;ENSSDUP00000032944;;;ENSSDUP00000020314;;;;ENSSDUP00000010175;ENSSDUP00000010474;;ENSSDUP00000019728
Actinopteri;Characiformes;Astyanax_mexicanus;ENSAMXP00000033852;;;;;;;ENSAMXP00000050134;;ENSAMXP00000046346;ENSAMXP00000031851;;;;ENSAMXP00000015947;ENSAMXP00000036267;;;;ENSAMXP00000002223;;;;ENSAMXP00000028650;ENSAMXP00000043280;;;;;ENSAMXP00000046958;ENSAMXP00000030492;ENSAMXP00000050526;ENSAMXP00000012797;;;ENSAMXP00000042540;;ENSAMXP00000004599;;ENSAMXP00000040031;ENSAMXP00000047425;ENSAMXP00000048237;;;;;ENSAMXP00000003574;;;ENSAMXP00000018432;ENSAMXP00000021690;ENSAMXP00000048145;;;ENSAMXP00000047844;;;;ENSAMXP00000032164;;;;ENSAMXP00000051153;;;ENSAMXP00000014422;;;;;;;;;;;;;;;;;ENSAMXP00000016443;;;;;;ENSAMXP00000011084;;;;;;;;;;ENSAMXP00000008161;;;;;;;ENSAMXP00000048880;ENSAMXP00000048102;;;;ENSAMXP00000013399;ENSAMXP00000020340;;;ENSAMXP00000042451;ENSAMXP00000019646;;;;;;ENSAMXP00000019862;ENSAMXP00000040666;ENSAMXP00000032238;;;;;;;;;;;;ENSAMXP00000042945;;;ENSAMXP00000020776;;ENSAMXP00000017852;ENSAMXP00000016977;ENSAMXP00000002069;;;;;;;;;;;;;ENSAMXP00000037915;;;;ENSAMXP00000008858;;ENSAMXP00000002108;ENSAMXP00000051323;;;;;ENSAMXP00000013216;;;;;;ENSAMXP00000048583;ENSAMXP00000034768;;;;ENSAMXP00000030325;ENSAMXP00000004172;;;ENSAMXP00000034591;;ENSAMXP00000010251;;;ENSAMXP00000054567;ENSAMXP00000040090;;;ENSAMXP00000048972;;;;;ENSAMXP00000002382;;;;ENSAMXP00000045363;;;;;;;;ENSAMXP00000013063;ENSAMXP00000013168;;;ENSAMXP00000043839;ENSAMXP00000045118;ENSAMXP00000050075;ENSAMXP00000051596;ENSAMXP00000004556;;ENSAMXP00000027189;;;ENSAMXP00000051838;;;ENSAMXP00000033756;;;;ENSAMXP00000021241;ENSAMXP00000005883;;;;;;;;;ENSAMXP00000045561;;;;;;;;;ENSAMXP00000027768;;;;;ENSAMXP00000009290;ENSAMXP00000009266;ENSAMXP00000010613;;;;;ENSAMXP00000055015;ENSAMXP00000007865;ENSAMXP00000038932;ENSAMXP00000041483;;ENSAMXP00000001458;ENSAMXP00000049884;ENSAMXP00000004459;ENSAMXP00000034405;;ENSAMXP00000005327;ENSAMXP00000010143;;;ENSAMXP00000043778;ENSAMXP00000033723;ENSAMXP00000014280;;;ENSAMXP00000038579;ENSAMXP00000029165;ENSAMXP00000043829;;ENSAMXP00000020652;;;ENSAMXP00000001136;;;;ENSAMXP00000006797;ENSAMXP00000013632;ENSAMXP00000048435;;
Actinopteri;Characiformes;Pygocentrus_nattereri;;ENSPNAP00000014369;;;;;;ENSPNAP00000036546;;ENSPNAP00000026045;;ENSPNAP00000032068;;;ENSPNAP00000004237;ENSPNAP00000030396;;;;ENSPNAP00000009410;;;;ENSPNAP00000000564;ENSPNAP00000029791;ENSPNAP00000029950;;;;ENSPNAP00000025153;ENSPNAP00000006360;ENSPNAP00000001778;ENSPNAP00000002979;;;ENSPNAP00000027899;;ENSPNAP00000024541;;ENSPNAP00000031082;ENSPNAP00000013583;ENSPNAP00000036204;;;;;ENSPNAP00000028817;;;ENSPNAP00000005698;ENSPNAP00000027264;;;;ENSPNAP00000016644;;;;ENSPNAP00000029869;;;;ENSPNAP00000033145;;;ENSPNAP00000015065;;;;;;;;;;;;;;;;;ENSPNAP00000037772;;;;;;ENSPNAP00000034435;;;;;;;;;;;ENSPNAP00000008113;;;;;;ENSPNAP00000027945;ENSPNAP00000029045;;;;ENSPNAP00000019379;ENSPNAP00000013959;;;ENSPNAP00000024783;ENSPNAP00000017659;;;;;;ENSPNAP00000008244;ENSPNAP00000021590;;;;;;;;;;;;ENSPNAP00000023457;ENSPNAP00000003735;;;ENSPNAP00000025388;ENSPNAP00000014537;ENSPNAP00000016240;ENSPNAP00000003220;ENSPNAP00000010188;;;;;;;;;;;;ENSPNAP00000022583;;;;;ENSPNAP00000018271;;ENSPNAP00000011554;ENSPNAP00000004701;;;;;ENSPNAP00000021798;;;;;;ENSPNAP00000024148;;ENSPNAP00000033857;ENSPNAP00000010930;;ENSPNAP00000021266;ENSPNAP00000021209;ENSPNAP00000022280;;ENSPNAP00000014447;ENSPNAP00000012554;ENSPNAP00000015777;;;ENSPNAP00000012146;ENSPNAP00000033765;;;ENSPNAP00000019846;;;;;ENSPNAP00000031899;;;;ENSPNAP00000022328;;;;;;;;ENSPNAP00000025171;ENSPNAP00000030288;;;ENSPNAP00000005050;ENSPNAP00000026121;ENSPNAP00000004758;ENSPNAP00000004741;ENSPNAP00000007526;;ENSPNAP00000003093;;;ENSPNAP00000030364;;;;ENSPNAP00000005821;ENSPNAP00000026287;;ENSPNAP00000013398;ENSPNAP00000031659;ENSPNAP00000004546;;;;;;;;;ENSPNAP00000025116;;;;;;;;ENSPNAP00000035380;;;;;ENSPNAP00000029491;ENSPNAP00000010111;ENSPNAP00000015439;;;;;ENSPNAP00000035272;ENSPNAP00000010790;ENSPNAP00000010827;ENSPNAP00000024634;;ENSPNAP00000031729;ENSPNAP00000013415;ENSPNAP00000013410;ENSPNAP00000031754;;ENSPNAP00000026509;ENSPNAP00000027447;;ENSPNAP00000020852;;ENSPNAP00000031933;ENSPNAP00000013707;;;ENSPNAP00000032408;ENSPNAP00000014385;;ENSPNAP00000030345;;ENSPNAP00000011679;;ENSPNAP00000026899;;;;ENSPNAP00000017043;ENSPNAP00000016008;ENSPNAP00000015937;ENSPNAP00000037525;
Actinopteri;Cichliformes;Amphilophus_citrinellus;;;;;ENSACIP00000014475;;;ENSACIP00000013196;;ENSACIP00000013575;ENSACIP00000010719;;;;ENSACIP00000023332;;ENSACIP00000013263;;;ENSACIP00000017856;;;;ENSACIP00000005560;ENSACIP00000026109;;;;;ENSACIP00000030398;;;;;;ENSACIP00000023718;;ENSACIP00000015233;;;ENSACIP00000024464;ENSACIP00000007077;;;;;;;;ENSACIP00000002132;ENSACIP00000028462;;;;ENSACIP00000011452;ENSACIP00000002320;;;;ENSACIP00000003931;;;ENSACIP00000019391;;;;;;;;ENSACIP00000006793;;;;;;;;;;;;ENSACIP00000006457;;;;;;;ENSACIP00000029606;;;;;;;;;ENSACIP00000025598;;;;;;;ENSACIP00000004085;ENSACIP00000026674;ENSACIP00000005726;;;ENSACIP00000021661;ENSACIP00000005644;;;ENSACIP00000000999;ENSACIP00000008545;;;;;;;;;;;;;;;;;;;ENSACIP00000005626;ENSACIP00000005530;;;ENSACIP00000023355;ENSACIP00000009989;ENSACIP00000024809;ENSACIP00000028599;ENSACIP00000010978;;;;;;;;;;;;ENSACIP00000002150;;;;;ENSACIP00000005967;;ENSACIP00000006195;ENSACIP00000029118;;;;;ENSACIP00000011862;;;;;;ENSACIP00000010213;ENSACIP00000002170;;;;;ENSACIP00000031660;;;;ENSACIP00000027641;ENSACIP00000026115;;;ENSACIP00000031194;ENSACIP00000031049;;;ENSACIP00000001418;;;;;ENSACIP00000024988;;;;ENSACIP00000027814;;;;ENSACIP00000018422;ENSACIP00000029195;;;;ENSACIP00000006858;;;;ENSACIP00000013220;;ENSACIP00000014523;;;ENSACIP00000019490;;;ENSACIP00000020203;;;ENSACIP00000008937;;;;ENSACIP00000000803;ENSACIP00000000672;;;;;;ENSACIP00000028535;;;ENSACIP00000015808;;;;;;;;;ENSACIP00000023271;;;;;ENSACIP00000012063;ENSACIP00000012129;ENSACIP00000009454;;ENSACIP00000007123;;;ENSACIP00000025160;ENSACIP00000024868;ENSACIP00000024852;;ENSACIP00000014381;ENSACIP00000000200;ENSACIP00000026045;ENSACIP00000003716;ENSACIP00000022186;;ENSACIP00000009049;;ENSACIP00000026714;;;ENSACIP00000008924;ENSACIP00000008958;;;ENSACIP00000018119;ENSACIP00000018218;ENSACIP00000009385;;;ENSACIP00000014697;;;ENSACIP00000013812;;;;ENSACIP00000004828;ENSACIP00000004891;;ENSACIP00000005843
