Gene 1	Gene 2	id %	som %	E-value
CLC2DL5 (XP_015128575.1)	CLC2DL4 (XP_025008540.1)	77%	82%	3e-113
LOC101747821 (XP_015128239.1)	CD69L (XP_015156303.2)	88%	92%	9e-127
LOC112532987 (XP_025009230.1)	LOC112529922 (XP_025009234.1)	33%	55%	8e-07
LOC112532883 (XP_025008760.1)	LOC112532881 (XP_025008747.1)	52%	57%	2e-75
CPA2 (XP_015138595.1)	CPA5 (NP_001239185.1)	59%	79%	0.0
CPA5 (NP_001239185.1)	CPA1 (NP_989915.1)	63%	79%	0.0
LOC101750035 (XP_025008958.1)	LOC107055493 (XP_025008998.1)	68%	73%	2e-37
LOC107055493 (XP_025008998.1)	LOC101747803 (XP_025009003.1)	89%	90%	7e-164
LOC101747803 (XP_025009003.1)	LOC107053233 (XP_025008970.1)	54%	61%	5e-58
LOC107053233 (XP_025008970.1)	LOC112532918 (XP_025008979.1)	46%	52%	2e-59
LOC112532918 (XP_025008979.1)	LOC107055494 (XP_025008989.1)	100%	100%	0.0
LOC107055494 (XP_025008989.1)	LOC100858111 (XP_025008994.1)	45%	51%	4e-51
LOC107054205 (XP_015147628.1)	LOC101748467 (XP_025009020.1)	99%	99%	2e-177
LOC101748467 (XP_025009020.1)	LOC107054228 (XP_015147764.1)	98%	98%	9e-173
SEMA3D (XP_015150788.1)	SEMA3A (XP_015150663.1)	54%	74%	0.0
SEMA3A (XP_015150663.1)	SEMA3E (NP_989573.1)	47%	69%	0.0
LAMB1 (XP_415943.3)	LAMB4 (XP_025002406.1)	41%	59%	0.0
MAPK12 (XP_001233062.2)	MAPK11 (NP_001006227.1)	63%	82%	0.0
SPAM1 (XP_004937577.1)	HYAL6 (NP_001295181.1)	49%	67%	1e-148
CAV1 (NP_001099134.1)	CAV2 (NP_001007087.1)	41%	63%	6e-27
FOXP2 (XP_025007327.1)	LOC107052882 (XP_015139118.1)	40%	61%	3e-18
SLC38A1 (XP_015136794.1)	SLC38A2 (NP_001292368.1)	55%	73%	1e-164
SLC38A2 (NP_001292368.1)	SLC38A4 (XP_025003551.1)	52%	66%	8e-104
PTPRB (XP_015138429.1)	PTPRR (XP_001235188.3)	41%	57%	1e-47
LOC107052588 (XP_025007638.1)	PTPRQ (XP_015138820.1)	30%	45%	8e-17
MYF6 (XP_015137402.2)	MYF5 (NP_001025534.1)	52%	62%	2e-47
EPYC (NP_001004382.1)	KERA (XP_015139185.1)	27%	46%	2e-22
KERA (XP_015139185.1)	LUM (NP_001263286.1)	38%	58%	3e-78
LUM (NP_001263286.1)	DCN (NP_001025918.1)	35%	53%	2e-44
MGP (NP_990375.1)	OC3 (NP_001188315.1)	29%	48%	1e-12
CBX7 (XP_015144186.1)	CBX6 (XP_015144165.2)	66%	82%	2e-35
CSF2RB (XP_015143698.1)	CRCBL (XP_004937831.3)	97%	97%	0.0
LOC112532681 (XP_025007653.1)	BPIFCB (XP_004937862.1)	47%	65%	4e-68
LOC107049050 (XP_429547.2)	LOC418086 (XP_004937888.2)	91%	94%	7e-149
