Chromosome	Gene	Strand	CDS	Start	Stop	Product
NC_006088.5	LOC112532827	-	XP_025008417.1	8713	5320	inosine-5'-monophosphate dehydrogenase 1-like
NC_006088.5	LOC112532835	-	XP_025008468.1	30477	28813	uncharacterized protein LOC112532835 isoform X1
NC_006088.5	CLC2DL5	+	XP_015128575.1	31406	33428	C-type lectin domain family 2 member D isoform X1
NC_006088.5	CLC2DL4	+	XP_025008540.1	48272	54331	C-type lectin domain family 2 member B
NC_006088.5	LOC112532873	-	XP_025008594.1	66178	65640	uncharacterized protein LOC112532873
NC_006088.5	DHRS4	-	NP_001264054.1	71606	68789	dehydrogenase/reductase SDR family member 4
NC_006088.5	CARMIL3	+	XP_015128455.2	72052	90420	capping protein, Arp2/3 and myosin-I linker protein 3 isoform X8
NC_006088.5	LOC107049847	-	XP_025008592.1	195846	194796	C-type lectin domain family 2 member B-like
NC_006088.5	LOC107049475	-	XP_025008519.1	199893	20934	serine/arginine repetitive matrix protein 1-like isoform X2
NC_006088.5	LOC770705	+	XP_025008507.1	210092	214336	uncharacterized protein LOC770705
NC_006088.5	LOC101747821	+	XP_015128239.1	218319	219414	C-type lectin domain family 2 member D
NC_006088.5	CD69L	+	XP_015156303.2	241216	242279	C-type lectin domain family 2 member B
NC_006088.5	LOC107055489	-	XP_025008575.1	259384	258486	C-type lectin domain family 2 member B-like isoform X1
NC_006088.5	LOC112532874	+	XP_025008600.1	278809	283651	uncharacterized protein LOC112532874
NC_006088.5	LOC112532969	-	XP_025009077.1	294544	291605	uncharacterized protein LOC112532969
NC_006088.5	LOC112532872	+	XP_025008531.1	295277	300372	serine/arginine repetitive matrix protein 1-like
NC_006088.5	CLC2DL3	+	NP_001264787.1	301460	302531	C-type lectin domain family 2 member D-like
NC_006088.5	LOC430443	-	XP_428001.3	314681	309896	guanylyl cyclase-activating protein 1-like isoform X2
NC_006088.5	GOLGB1	+	XP_015145945.1	324427	356069	golgin subfamily B member 1 isoform X1
NC_006088.5	HCLS1	+	XP_025006821.1	359506	370080	hematopoietic lineage cell-specific protein isoform X1
NC_006088.5	OR9Q1	-	XP_004937440.1	374174	373195	olfactory receptor 2A1/2A42
NC_006088.5	NME6	-	XP_424474.1	387602	385536	nucleoside diphosphate kinase 6
NC_006088.5	RABL2L	+	NP_001265041.1	387736	391295	rab-like protein 2B
NC_006088.5	ACR	-	XP_003640366.3	395009	392734	acrosin
NC_006088.5	ARSA	-	XP_424471.3	401415	397107	arylsulfatase A isoform X1
NC_006088.5	ACRL	-	XP_015140802.1	404983	403386	acrosin
NC_006088.5	SHANK3	+	XP_025008646.1	435536	703182	LOW QUALITY PROTEIN: SH3 and multiple ankyrin repeat domains protein 3
NC_006088.5	LOC112532875	-	XP_025008649.1	688397	687100	insulin receptor substrate 4-like
NC_006088.5	LOC112532876	-	XP_025008650.1	709900	708963	uncharacterized protein LOC112532876
NC_006088.5	LOC107050884	-	XP_025008653.1	718646	713914	C-Jun-amino-terminal kinase-interacting protein 2-like
