Gene 1	Gene 2	id %	som %	E-value
TNFRSF18 (XP_016858211.1)	TNFRSF4 (XP_016857721.1)	39%	50%	3e-11
ATAD3C (NP_001034300.2)	ATAD3B (XP_005244863.1)	79%	82%	0.0
ATAD3B (XP_005244863.1)	ATAD3A (XP_024303866.1)	90%	92%	0.0
SLC2A7 (XP_011539126.1)	SLC2A5 (NP_001315548.1)	61%	76%	6e-164
CTNNBIP1 (NP_001012329.1)	LZIC (NP_001303904.1)	44%	57%	4e-14
FBXO44 (XP_005263594.1)	FBXO6 (NP_060908.1)	81%	86%	9e-70
NPPA (NP_006163.1)	NPPB (NP_002512.1)	54%	66%	5e-09
TNFRSF8 (NP_001234.3)	TNFRSF1B (XP_011540362.1)	27%	36%	8e-17
AADACL4 (NP_001013652.1)	AADACL3 (NP_001096640.2)	55%	72%	8e-170
PRAMEF12 (NP_001074299.2)	PRAMEF1 (NP_075389.2)	54%	68%	3e-164
PRAMEF4 (NP_001009611.2)	PRAMEF10 (NP_001034450.3)	50%	63%	2e-143
PRAMEF6 (NP_001010889.1)	PRAMEF27 (NP_001287820.1)	97%	97%	0.0
PRAMEF13 (NP_001278309.1)	PRAMEF18 (NP_001093320.2)	61%	73%	0.0
PRAMEF33 (NP_001278310.1)	PRAMEF15 (NP_001091846.1)	50%	63%	1e-145
PRAMEF14 (NP_001019832.2)	PRAMEF19 (NP_001093260.3)	61%	72%	0.0
PRAMEF17 (NP_001093321.1)	PRAMEF20 (NP_001093322.2)	53%	65%	1e-155
CTRC (XP_011538852.1)	CELA2A (NP_254275.1)	60%	77%	8e-67
CELA2A (NP_254275.1)	CELA2B (NP_056933.3)	88%	94%	7e-180
CLCNKA (NP_004061.3)	CLCNKB (NP_000076.2)	91%	95%	0.0
PADI1 (XP_016856592.1)	PADI3 (XP_011539874.1)	50%	65%	1e-130
PADI3 (XP_011539874.1)	PADI4 (XP_011539453.1)	44%	60%	5e-108
PADI4 (XP_011539453.1)	PADI6 (NP_997304.3)	39%	60%	6e-88
AKR7A3 (XP_011539348.1)	AKR7A2 (NP_001307908.1)	71%	77%	2e-133
