Gene 1	Gene 2	id %	som %	E-value
ND4 (NP_059340.1)	ND5 (NP_059341.1)	23%	42%	2e-11
ildr1a (NP_956687.1)	LOC100332762 (XP_021331589.1)	31%	43%	8e-24
zgc:163025 (NP_001083027.2)	f7 (NP_571894.2)	48%	64%	3e-133
f7 (NP_571894.2)	f7i (NP_775335.1)	46%	63%	4e-148
f7i (NP_775335.1)	f10 (NP_958870.3)	30%	46%	4e-59
f10 (NP_958870.3)	prozb (NP_001313449.1)	44%	59%	5e-46
gas6 (NP_956272.1)	pros1 (NP_001070791.1)	41%	56%	3e-163
LOC100149425 (XP_021331593.1)	zgc:92518 (NP_001002361.2)	52%	67%	6e-71
adamts1 (XP_021331599.1)	adamts5 (NP_001289160.1)	45%	60%	0.0
atp1a1a.4 (NP_571764.1)	atp1a1a.1 (NP_571761.1)	90%	95%	0.0
atp1a1a.1 (NP_571761.1)	atp1a1a.2 (NP_571762.1)	80%	91%	0.0
atp1a1a.2 (NP_571762.1)	atp1a1a.3 (NP_571763.1)	83%	91%	0.0
atp1a1a.3 (NP_571763.1)	atp1a1a.5 (NP_835200.1)	88%	95%	0.0
si:ch211-132g1.3 (XP_021331601.1)	LOC103911757 (XP_009303756.1)	40%	58%	8e-46
si:ch211-132g1.6 (XP_009303765.1)	si:ch211-132g1.4 (XP_009303771.1)	74%	83%	5e-107
si:ch211-132g1.4 (XP_009303771.1)	si:ch211-132g1.1 (XP_005168366.1)	62%	73%	1e-82
oxgr1a.1 (NP_001035473.1)	oxgr1a.3 (NP_001139100.1)	78%	88%	0.0
oxgr1a.3 (NP_001139100.1)	oxgr1a.2 (NP_001139097.1)	73%	86%	0.0
ggact.3 (XP_005168352.1)	ggact.2 (NP_001004544.1)	76%	89%	9e-86
ggact.2 (NP_001004544.1)	ggact.1 (NP_001071185.1)	69%	84%	2e-70
slitrk6 (NP_001292482.1)	slitrk1 (XP_005174686.1)	37%	56%	2e-143
mxa (NP_891987.2)	mxb (XP_009304072.1)	85%	92%	0.0
si:dkey-79f11.9 (XP_009304400.1)	si:dkey-79f11.7 (XP_009304386.1)	59%	78%	5e-119
si:dkey-79f11.7 (XP_009304386.1)	si:dkey-79f11.5 (XP_005170930.1)	61%	75%	8e-116
si:dkey-79f11.10 (XP_021331613.1)	si:dkeyp-9d4.2 (XP_009304423.1)	53%	70%	2e-108
zgc:153118 (XP_021331620.1)	LOC101883376 (XP_021331619.1)	67%	76%	1e-40
LOC101883376 (XP_021331619.1)	LOC103911895 (XP_009304673.1)	57%	71%	5e-99
ugt5b4 (NP_001074161.1)	ugt5b3 (NP_001170965.1)	90%	95%	0.0
ugt5b3 (NP_001170965.1)	ugt5b2 (NP_001170970.2)	82%	90%	0.0
ugt5b2 (NP_001170970.2)	ugt5b1 (XP_005170903.1)	82%	89%	0.0
LOC100536670 (XP_021331629.1)	fga (NP_001181918.1)	28%	48%	2e-23
si:dkey-31e10.1 (XP_021331640.1)	si:dkey-31e10.5 (XP_003197671.2)	94%	95%	4e-178
si:dkey-31e10.5 (XP_003197671.2)	si:dkey-31e10.6p (XP_009304617.1)	88%	93%	9e-148
si:dkey-26i13.7 (XP_001338467.5)	si:dkey-26i13.6 (XP_003197678.4)	87%	93%	0.0
si:dkey-26i13.6 (XP_003197678.4)	si:dkey-26i13.5 (XP_001338178.3)	93%	95%	0.0
si:dkey-26i13.5 (XP_001338178.3)	si:dkey-26i13.3 (XP_017212411.1)	87%	89%	0.0
si:dkey-26i13.3 (XP_017212411.1)	si:dkey-26i13.4 (XP_001338050.2)	82%	90%	0.0
LOC100329816 (XP_021331765.1)	LOC100332745 (XP_021331767.1)	99%	99%	0.0
LOC100332745 (XP_021331767.1)	LOC110438559 (XP_021331809.1)	99%	99%	6e-96
LOC110438559 (XP_021331809.1)	LOC108189345 (XP_021331760.1)	100%	100%	5e-97
si:ch73-380n15.2 (XP_021332002.1)	chrnb3a (NP_957514.1)	35%	52%	3e-99
chrna6 (NP_001036149.1)	chrnb2a (XP_021332008.1)	46%	64%	1e-148
fgfbp1b (XP_021332009.1)	fgfbp2b (XP_005170952.1)	32%	49%	2e-09
zgc:171517 (NP_001104643.1)	qdprb2 (XP_021332088.1)	87%	93%	4e-170
qdprb2 (XP_021332088.1)	qdprb2_1 (XP_021332094.1)	95%	97%	0.0
gucy1a3 (NP_001296458.1)	gucy1b3 (NP_001238874.1)	35%	53%	2e-85
si:ch211-15e22.3 (XP_005160048.1)	galnt7 (XP_005160043.1)	40%	58%	1e-129
zgc:152658 (NP_001070042.1)	zgc:194443 (XP_005160052.1)	85%	93%	2e-167
zgc:194443 (XP_005160052.1)	si:ch211-113e8.9 (XP_021332494.1)	60%	79%	7e-118
LOC793449 (XP_021333662.1)	LOC100330380 (XP_021331565.1)	48%	62%	6e-70
vwa10.1 (XP_021332508.1)	vwa10.2 (XP_685294.5)	60%	74%	0.0
LOC101885779 (XP_017211880.2)	wu:fc34e06 (XP_021332511.1)	56%	73%	1e-70
hmx4 (NP_001038836.2)	hmx1 (NP_001106998.1)	56%	64%	3e-36
scpp5 (XP_021330569.1)	scpp7 (NP_001138711.1)	41%	78%	1e-07
si:ch73-109d9.1 (XP_021332598.1)	si:ch73-109d9.3 (XP_005160142.1)	53%	71%	7e-26
si:ch73-109d9.3 (XP_005160142.1)	si:ch73-109d9.2 (NP_001231707.1)	40%	61%	5e-24
si:dkey-9i23.4 (NP_001139080.1)	si:dkey-9i23.5 (NP_001139081.1)	89%	94%	3e-130
LOC799879 (XP_009291809.1)	LOC799643 (XP_017211382.2)	84%	86%	0.0
LOC799643 (XP_017211382.2)	zgc:111983 (NP_001017803.1)	59%	73%	3e-122
LOC110439861 (XP_021332694.1)	si:ch73-90k17.1 (XP_009291927.1)	24%	40%	3e-15
pkn1a (XP_005160108.1)	map2k7 (XP_005160106.1)	24%	47%	3e-17
mhc1zea (XP_005171057.1)	mhc1zda (XP_005171048.1)	80%	87%	0.0
mhc1zda (XP_005171048.1)	mhc1zca (XP_021330605.1)	86%	91%	1e-137
mhc1zca (XP_021330605.1)	mhc1zba (NP_001103588.1)	74%	82%	4e-142
si:ch211-281g13.5 (XP_005160166.1)	zgc:163136 (XP_021330683.1)	88%	93%	0.0
zgc:163136 (XP_021330683.1)	si:ch211-281g13.4 (XP_005160175.1)	76%	85%	0.0
si:ch73-190m4.1 (XP_017211386.1)	herc3 (NP_001139096.1)	36%	55%	2e-179
zgc:194101 (NP_001122275.1)	si:ch211-217k17.12 (XP_705441.2)	63%	72%	2e-57
si:ch211-217k17.12 (XP_705441.2)	si:ch211-217k17.11 (XP_001339274.1)	63%	72%	4e-56
