Chromosome	Gene	Strand	CDS	Start	Stop	Product
NC_007897.1	ND1	+	YP_514819.1	2801	3778	NADH dehydrogenase subunit 1
NC_007897.1	ND2	+	YP_514820.1	4001	5041	NADH dehydrogenase subunit 2
NC_007897.1	COX1	+	YP_514821.1	5402	6952	cytochrome c oxidase subunit I
NC_007897.1	COX2	+	YP_514822.1	7100	7783	cytochrome c oxidase subunit II
NC_007897.1	ATP8	+	YP_514823.1	7865	8032	ATP synthase F0 subunit 8
NC_007897.1	ATP6	+	YP_514824.1	8023	8706	ATP synthase F0 subunit 6
NC_007897.1	COX3	+	YP_514825.1	8712	9495	cytochrome c oxidase subunit III
NC_007897.1	ND3	+	YP_514826.1	9565	9915	NADH dehydrogenase subunit 3
NC_007897.1	ND4L	+	YP_514827.1	9988	10284	NADH dehydrogenase subunit 4L
NC_007897.1	ND4	+	YP_514828.1	10278	11655	NADH dehydrogenase subunit 4
NC_007897.1	ND5	+	YP_514829.1	11863	13680	NADH dehydrogenase subunit 5
NC_007897.1	CYTB	+	YP_514830.1	13689	14831	cytochrome b
NC_007897.1	ND6	-	YP_514831.1	15503	14989	NADH dehydrogenase subunit 6
NC_044998.1	DCBLD2	+	XP_030141554.2	31472	65139	discoidin, CUB and LCCL domain-containing protein 2
NC_044998.1	LOC100221041	-	XP_030141610.1	80145	69096	cell cycle control protein 50C-like
NC_044998.1	FILIP1L	+	XP_012425558.2	218384	295301	filamin A-interacting protein 1-like isoform X1
NC_044998.1	CMSS1	-	XP_030141634.1	299316	81454	protein CMSS1 isoform X1
NC_044998.1	TBC1D23	+	XP_032606894.1	300423	329110	TBC1 domain family member 23 isoform X3
NC_044998.1	NIT2	+	XP_030135321.2	333763	343154	omega-amidase NIT2
NC_044998.1	TOMM70	-	XP_002194182.1	368934	348138	mitochondrial import receptor subunit TOM70
NC_044998.1	LNP1	+	XP_012425552.1	371695	380414	leukemia NUP98 fusion partner 1
NC_044998.1	TMEM45A	+	XP_030135675.2	403782	410268	transmembrane protein 45A
NC_044998.1	TFG	+	XP_030135826.2	437055	451791	protein TFG isoform X1
NC_044998.1	ABI3BP	-	XP_030136303.2	580445	454208	target of Nesh-SH3
NC_044998.1	IMPG2	-	XP_032605789.1	652541	613591	interphotoreceptor matrix proteoglycan 2
NC_044998.1	SENP7	-	XP_030136802.2	688431	658301	sentrin-specific protease 7 isoform X3
NC_044998.1	LOC100219101	+	XP_002190031.4	690638	693202	putative protein FAM172B
NC_044998.1	TXNL4B	-	XP_030137526.1	695740	694527	thioredoxin-like protein 4B
NC_044998.1	TRMT10C	+	XP_030137178.2	698096	699376	tRNA methyltransferase 10 homolog C
NC_044998.1	PCNP	+	XP_032605947.1	701018	708357	PEST proteolytic signal-containing nuclear protein isoform X2
NC_044998.1	ZBTB11	-	XP_030137836.2	727342	713414	zinc finger and BTB domain-containing protein 11
NC_044998.1	RPL24	-	NP_001232573.1	733580	730000	60S ribosomal protein L24
NC_044998.1	CEP97	+	XP_030137900.2	733906	746922	centrosomal protein of 97 kDa isoform X1
NC_044998.1	NXPE3	+	XP_002193337.3	757805	772076	NXPE family member 3
NC_044998.1	NFKBIZ	+	XP_030138518.2	791163	797421	NF-kappa-B inhibitor zeta isoform X2
NC_044998.1	ZPLD1	+	XP_002193257.3	935515	956087	zona pellucida-like domain-containing protein 1 isoform X1
NC_044998.1	ALCAM	+	XP_032606068.1	1872852	1902298	CD166 antigen isoform X1
NC_044998.1	CBLB	-	XP_030139424.2	2045727	1929553	E3 ubiquitin-protein ligase CBL-B isoform X1
NC_044998.1	BBX	+	XP_030140634.2	2530723	2587341	HMG box transcription factor BBX isoform X2
NC_044998.1	CD47	-	XP_030141472.1	2638686	2621481	leukocyte surface antigen CD47 isoform X2
NC_044998.1	IFT57	-	XP_002192561.3	2668206	2654776	intraflagellar transport protein 57 homolog
NC_044998.1	HHLA2	+	XP_032606442.1	2671965	2679248	HERV-H LTR-associating protein 2 isoform X3
NC_044998.1	MYH15	-	XP_030141858.1	2724568	2681778	myosin-15
NC_044998.1	CIP2A	-	XP_030142096.2	2770663	2745015	protein CIP2A
NC_044998.1	SH2D1B	-	XP_030142180.2	2781131	2772838	SH2 domain-containing protein 1B
NC_044998.1	LOC101233451	+	XP_004175261.1	2826564	2831513	T-cell receptor-associated transmembrane adapter 1
NC_044998.1	HJURP	-	XP_030142291.2	2853965	2835150	Holliday junction recognition protein
NC_044998.1	GUCA1C	-	XP_002188598.2	2899891	2866442	guanylyl cyclase-activating protein 3
NC_044998.1	C1H3orf85	+	XP_030142633.2	2962010	2972442	uncharacterized protein C3orf85 homolog
NC_044998.1	LOC116808546	-	XP_032605025.1	3365920	3364516	proline-rich protein 2-like
NC_044998.1	NECTIN3	+	XP_030142893.2	3365921	3419413	nectin-3
NC_044998.1	CD96	+	XP_032606895.1	3514239	3542794	T-cell surface protein tactile isoform X2
NC_044998.1	PLCXD2	+	XP_032606928.1	3550495	3564314	PI-PLC X domain-containing protein 2
NC_044998.1	PHLDB2	+	XP_032607013.1	3632010	3684973	pleckstrin homology-like domain family B member 2 isoform X1
NC_044998.1	ABHD10	+	XP_002188298.1	3688959	3695666	mycophenolic acid acyl-glucuronide esterase, mitochondrial
NC_044998.1	TAGLN3	+	XP_030126127.1	3705836	3715970	transgelin-3 isoform X1
NC_044998.1	TMPRSS7	+	XP_030143989.2	3734752	3762454	transmembrane protease serine 7
NC_044998.1	LOC100228717	+	XP_002188242.4	3764138	3786494	suppressor of tumorigenicity 14 protein-like isoform X1
NC_044998.1	C1H3orf52	+	XP_030144678.2	3789832	3797827	TPA-induced transmembrane protein
NC_044998.1	LOC115497877	+	XP_030144390.2	3815532	3824605	OX-2 membrane glycoprotein-like
NC_044998.1	LOC100221949	+	XP_030145142.2	3834765	3839549	OX-2 membrane glycoprotein
NC_044998.1	LTN1	-	XP_002190030.3	3896978	3867160	E3 ubiquitin-protein ligase listerin
NC_044998.1	RWDD2B	-	XP_012425526.3	3901577	3899454	RWD domain-containing protein 2B isoform X2
NC_044998.1	USP16	+	XP_030145425.2	3903927	3920453	ubiquitin carboxyl-terminal hydrolase 16 isoform X1
NC_044998.1	CCT8	-	XP_002189745.1	3932772	3922719	T-complex protein 1 subunit theta isoform X2
NC_044998.1	MAP3K7CL	+	XP_002189661.2	3946255	3972149	MAP3K7 C-terminal-like protein isoform X2
NC_044998.1	BACH1	+	XP_012425537.2	4005156	4016518	transcription regulator protein BACH1 isoform X1
NC_044998.1	PAXBP1	-	XP_030146600.1	4046683	4025232	PAX3- and PAX7-binding protein 1 isoform X2
NC_044998.1	IL18BP	-	XP_030147774.2	4054249	4050757	interleukin-18-binding protein isoform X2
NC_044998.1	RNF121	-	XP_030122947.2	4065201	4056567	RING finger protein 121 isoform X5
NC_044998.1	NUMA1	-	XP_030147364.2	4087445	4072385	nuclear mitotic apparatus protein 1 isoform X4
NC_044998.1	LAMTOR1	-	XP_030147478.1	4095388	4091753	ragulator complex protein LAMTOR1
NC_044998.1	TOMT	+	NP_001268956.2	4099726	4101056	transmembrane O-methyltransferase
NC_044998.1	ANAPC15	-	XP_030111628.1	4102884	4101492	anaphase-promoting complex subunit 15
NC_044998.1	LOC100220024	+	XP_030111742.2	4104508	4106089	folate receptor gamma
NC_044998.1	INPPL1	+	XP_030111830.2	4109062	4121233	phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 isoform X1
NC_044998.1	PHOX2A	-	XP_030112041.2	4127480	4124078	paired mesoderm homeobox protein 2A
NC_044998.1	CLPB	-	XP_032608414.1	4185688	4131006	caseinolytic peptidase B protein homolog isoform X1
NC_044998.1	ARAP1	+	XP_032608588.1	4222780	4246235	arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 isoform X4
NC_044998.1	PDE2A	+	XP_030112942.1	4262897	4298949	cGMP-dependent 3',5'-cyclic phosphodiesterase isoform X4
NC_044998.1	ARRB1	+	XP_030113047.1	4303641	4314944	beta-arrestin-1 isoform X1
NC_044998.1	WDR73	-	XP_030113286.2	4325183	4319521	WD repeat-containing protein 73 isoform X1
NC_044998.1	LOC100221052	+	XP_030113557.2	4370766	4376897	transforming growth factor beta activator LRRC32-like
NC_044998.1	EMSY	-	XP_030114693.1	4455415	4416911	BRCA2-interacting transcriptional repressor EMSY isoform X16
NC_044998.1	THAP12	+	XP_030114918.2	4460010	4471247	52 kDa repressor of the inhibitor of the protein kinase
NC_044998.1	WNT11	+	XP_030115171.1	4569280	4594072	protein Wnt-11 isoform X1
NC_044998.1	UVRAG	-	XP_002187819.3	4763350	4685951	UV radiation resistance-associated gene protein isoform X1
NC_044998.1	DGAT2	-	XP_030115698.1	4797907	4774839	diacylglycerol O-acyltransferase 2 isoform X1
NC_044998.1	MOGAT2	-	XP_002187643.3	4841073	4817177	2-acylglycerol O-acyltransferase 2
NC_044998.1	MAP6	+	XP_030115998.1	4853484	4879562	microtubule-associated protein 6
NC_044998.1	LOC100232594	-	XP_030133417.2	4902882	4898452	somatotropin
NC_044998.1	APP	+	XP_030116128.2	4922011	5057695	amyloid-beta precursor protein isoform X1
NC_044998.1	GABPA	-	XP_012425535.1	5092278	5072303	GA-binding protein alpha chain
NC_044998.1	ATP5PF	+	XP_012425534.1	5097363	5100650	ATP synthase-coupling factor 6, mitochondrial isoform X1
NC_044998.1	JAM2	-	XP_030116755.2	5135567	5105429	junctional adhesion molecule B isoform X1
NC_044998.1	MRPL39	+	XP_030117047.2	5143544	5154592	39S ribosomal protein L39, mitochondrial
NC_044998.1	NCAM2	-	XP_002186903.4	6244654	5980973	neural cell adhesion molecule 2 isoform X1
NC_044998.1	TMPRSS15	+	XP_032605068.1	7204311	7262237	LOW QUALITY PROTEIN: enteropeptidase
NC_044998.1	CHODL	-	XP_030117310.2	7291339	7266383	chondrolectin isoform X1
NC_044998.1	C1H21orf91	+	XP_030117501.1	7425224	7442985	protein EURL homolog
NC_044998.1	LOC115492635	+	XP_030117606.2	7447320	7454201	nuclear mitotic apparatus protein 1
NC_044998.1	CXADR	-	XP_030117821.1	7511250	7480273	coxsackievirus and adenovirus receptor isoform X2
NC_044998.1	LOC115492903	-	XP_032600771.1	7908430	7805428	uncharacterized protein LOC115492903
NC_044998.1	USP25	-	XP_030118383.2	8195190	8107417	ubiquitin carboxyl-terminal hydrolase 25 isoform X1
NC_044998.1	NRIP1	+	XP_030118685.2	8477310	8480798	nuclear receptor-interacting protein 1
NC_044998.1	LOC100226157	+	XP_030118710.2	8588806	8670807	SAM domain-containing protein SAMSN-1 isoform X1
NC_044998.1	HSPA13	+	XP_030118728.2	8699867	8705899	heat shock 70 kDa protein 13
NC_044998.1	LIPI	+	XP_030118743.2	8725814	8740549	lipase member I isoform X2
NC_044998.1	ROBO2	+	XP_032606918.1	8787262	9796494	roundabout homolog 2 isoform X3
NC_044998.1	LOC116808964	-	XP_032606941.1	9507364	9504531	uncharacterized protein LOC116808964
NC_044998.1	ROBO1	-	XP_030118767.2	10671049	10071778	roundabout homolog 1 isoform X3
NC_044998.1	GBE1	-	XP_030118841.2	11459968	11325423	1,4-alpha-glucan-branching enzyme isoform X1
NC_044998.1	LOC100225263	+	XP_032607698.1	12195684	12196769	LOW QUALITY PROTEIN: pre-mRNA-splicing factor 38A-like
NC_044998.1	CADM2	+	XP_030118917.1	12454301	13041430	cell adhesion molecule 2 isoform X1
NC_044998.1	LOC115493382	+	XP_032602150.1	13247194	13280272	uncharacterized protein LOC115493382 isoform X2
NC_044998.1	VGLL3	-	XP_030119007.2	13383336	13361616	transcription cofactor vestigial-like protein 3 isoform X2
NC_044998.1	CHMP2B	+	XP_002194951.1	13442969	13452515	charged multivesicular body protein 2b
NC_044998.1	POU1F1	-	XP_030119037.2	13466952	13457595	LOW QUALITY PROTEIN: pituitary-specific positive transcription factor 1
NC_044998.1	HTR1F	+	XP_030119104.1	13703588	13704691	5-hydroxytryptamine receptor 1F
NC_044998.1	LOC105759805	-	XP_030119121.2	13733960	13728460	cell surface glycoprotein CD200 receptor 1-B
NC_044998.1	PDZK1	+	XP_030119046.2	13756966	13763433	Na(+)/H(+) exchange regulatory cofactor NHE-RF3
NC_044998.1	GPR89B	-	XP_002194601.1	13781128	13765074	Golgi pH regulator B isoform X1
NC_044998.1	GJA8	-	XP_030119151.2	13791214	13790022	gap junction alpha-8 protein
NC_044998.1	GJA5	+	XP_030119163.1	13842784	13843896	gap junction alpha-5 protein
NC_044998.1	ACP6	+	XP_030119229.2	13862331	13866690	lysophosphatidic acid phosphatase type 6 isoform X3
NC_044998.1	BCL9	-	XP_030119202.2	13884003	13873622	B-cell CLL/lymphoma 9 protein isoform X2
NC_044998.1	POGLUT1	+	XP_030119242.2	13963939	13976395	protein O-glucosyltransferase 1
NC_044998.1	TIMMDC1	+	XP_004176317.2	13978698	13984849	complex I assembly factor TIMMDC1, mitochondrial
NC_044998.1	CD80	-	XP_012425480.3	14010288	13991109	T-lymphocyte activation antigen CD80 isoform X1
NC_044998.1	ADPRH	+	XP_032602197.1	14026934	14034917	ADP-ribosylarginine hydrolase isoform X1
NC_044998.1	IGSF3	-	XP_030119273.2	14127964	14038662	immunoglobulin superfamily member 3 isoform X2
NC_044998.1	CD101	-	XP_030119280.2	14251100	14236073	immunoglobulin superfamily member 2 isoform X1
NC_044998.1	PTGFRN	-	XP_030119313.2	14327742	14265746	prostaglandin F2 receptor negative regulator
NC_044998.1	CD2	-	XP_030119326.2	14384252	14374823	T-cell surface antigen CD2
NC_044998.1	LOC100222365	-	XP_012425496.1	14406578	14398083	uncharacterized protein LOC100222365
NC_044998.1	ILDR2	-	XP_030119361.2	14481133	14445618	immunoglobulin-like domain-containing receptor 2 isoform X4
NC_044998.1	MAEL	+	XP_030119383.2	14491415	14501890	protein maelstrom homolog
NC_044998.1	DUSP27	+	XP_030119379.2	14523730	14533479	inactive dual specificity phosphatase 27
NC_044998.1	GPA33	-	XP_030119386.2	14558021	14508507	cell surface A33 antigen isoform X1
NC_044998.1	POU2F1	+	XP_030119432.1	14559142	14661086	POU domain, class 2, transcription factor 1 isoform X3
NC_044998.1	CD247	-	XP_030119489.2	14720081	14674312	T-cell surface glycoprotein CD3 zeta chain isoform X1
NC_044998.1	CREG1	-	XP_002190994.5	14734139	14729892	protein CREG1 isoform X1
NC_044998.1	RCSD1	+	XP_030119524.2	14742276	14769800	capZ-interacting protein isoform X1
NC_044998.1	MPZL1	+	XP_030143583.1	14778190	14809925	myelin protein zero-like protein 1 isoform X2
NC_044998.1	MPC2	-	XP_002192887.1	14823207	14816479	mitochondrial pyruvate carrier 2
NC_044998.1	DCAF6	+	XP_030119551.2	14823972	14896835	DDB1- and CUL4-associated factor 6 isoform X2
NC_044998.1	GABRR3	+	XP_030119649.2	14925579	14953353	gamma-aminobutyric acid receptor subunit rho-3 isoform X2
NC_044998.1	RIOX2	+	XP_030119685.2	14959358	14967699	ribosomal oxygenase 2 isoform X1
NC_044998.1	CRYBG3	-	XP_030119661.2	15049106	14970030	very large A-kinase anchor protein
NC_044998.1	ARL6	-	XP_030119723.1	15076854	15062709	ADP-ribosylation factor-like protein 6 isoform X1
NC_044998.1	LOC100218462	-	XP_032602295.1	15460694	15090885	ephrin type-A receptor 6 isoform X3
NC_044998.1	NSUN3	-	XP_030119775.2	16190868	16176806	tRNA (cytosine(34)-C(5))-methyltransferase, mitochondrial isoform X3
NC_044998.1	STX19	+	XP_030119837.2	16215469	16216347	syntaxin-19
NC_044998.1	ARL13B	-	XP_004176313.2	16223988	16195388	ADP-ribosylation factor-like protein 13B isoform X1
NC_044998.1	PROS1	+	XP_030119798.2	16227391	16246366	vitamin K-dependent protein S isoform X2
NC_044998.1	EPHA3	-	XP_030119843.2	16612342	16436701	ephrin type-A receptor 3 isoform X2
NC_044998.1	C1H3orf38	-	XP_002190058.4	16920573	16916547	uncharacterized protein C3orf38 homolog isoform X1
NC_044998.1	ZNF654	-	XP_030119853.2	16953708	16926949	zinc finger protein 654
NC_044998.1	CGGBP1	+	XP_030119878.1	16956642	16957145	CGG triplet repeat-binding protein 1
NC_044998.1	N6AMT1	-	XP_012425469.2	16969708	16966278	methyltransferase N6AMT1 isoform X1
NC_044998.1	LOC116808556	-	XP_032605088.1	17420543	17416095	treacle protein-like
NC_044998.1	ADAMTS5	+	XP_004176316.3	17542993	17576113	A disintegrin and metalloproteinase with thrombospondin motifs 5
NC_044998.1	ADAMTS1	+	XP_030119879.2	17603122	17608487	A disintegrin and metalloproteinase with thrombospondin motifs 1
NC_044998.1	GDPD5	-	XP_030119900.1	17693068	17633287	glycerophosphodiester phosphodiesterase domain-containing protein 5 isoform X2
NC_044998.1	SERPINH1	+	XP_030119906.2	17759235	17763989	serpin H1 isoform X1
NC_044998.1	RPS3	-	NP_001232278.1	17772625	17768571	40S ribosomal protein S3
NC_044998.1	FCHSD2	-	XP_030119959.2	17903243	17784996	F-BAR and double SH3 domains protein 2 isoform X3
NC_044998.1	P2RY2	+	XP_030119980.2	17928589	17929665	P2Y purinoceptor 2
NC_044998.1	P2RY6	+	XP_030120005.2	17957252	17958241	P2Y purinoceptor 6
NC_044998.1	ARHGEF17	+	XP_030120032.2	17962142	17992564	rho guanine nucleotide exchange factor 17
NC_044998.1	RELT	+	XP_030120061.2	17997095	17999240	tumor necrosis factor receptor superfamily member 19L
NC_044998.1	FAM168A	-	XP_030122758.1	18063890	18005997	protein FAM168A isoform X1
NC_044998.1	PLEKHB1	+	XP_030120045.2	18132949	18136490	pleckstrin homology domain-containing family B member 1
NC_044998.1	RAB6A	-	NP_001232399.1	18183729	18154980	ras-related protein Rab-6A
NC_044998.1	MRPL48	+	XP_032602390.1	18183730	18191567	39S ribosomal protein L48, mitochondrial isoform X1
NC_044998.1	LOC100219445	-	XP_030120108.1	18193011	18192767	cytochrome c oxidase assembly factor 4 homolog, mitochondrial
NC_044998.1	PAAF1	+	XP_030120087.1	18193607	18202704	proteasomal ATPase-associated factor 1 isoform X1
NC_044998.1	DNAJB13	+	XP_030122093.2	18203208	18207012	dnaJ homolog subfamily B member 13 isoform X1
NC_044998.1	HUNK	-	XP_030120121.2	18298518	18257490	hormonally up-regulated neu tumor-associated kinase isoform X2
NC_044998.1	SCAF4	+	XP_030120132.2	18311195	18339445	SR-related and CTD-associated factor 4 isoform X1
NC_044998.1	SOD1	-	NP_001232083.1	18344936	18341980	superoxide dismutase [Cu-Zn]
NC_044998.1	TIAM1	+	XP_032602400.1	18440578	18509036	T-lymphoma invasion and metastasis-inducing protein 1 isoform X1
NC_044998.1	LOC100229020	+	XP_030120208.2	18543326	18543985	claudin-8
NC_044998.1	GRIK1	+	XP_030120234.2	18620639	18723204	glutamate receptor ionotropic, kainate 1 isoform X1
NC_044998.1	SLCO2B1	+	XP_030120295.2	18746451	18768581	solute carrier organic anion transporter family member 2B1
NC_044998.1	TPBGL	+	XP_032602448.1	18814052	18815116	trophoblast glycoprotein-like
NC_044998.1	PGM2L1	-	XP_030120326.2	18846097	18824797	glucose 1,6-bisphosphate synthase isoform X2
NC_044998.1	KCNE3	-	XP_030120375.1	18853871	18853570	potassium voltage-gated channel subfamily E member 3
NC_044998.1	LIPT2	-	XP_002187818.2	18857965	18856330	putative lipoyltransferase 2, mitochondrial
NC_044998.1	POLD3	+	XP_030120387.1	18864750	18894242	DNA polymerase delta subunit 3 isoform X1
NC_044998.1	CHRDL2	-	XP_002187614.2	18928955	18907773	chordin-like protein 2
NC_044998.1	RNF169	+	XP_032602474.1	18935775	18952429	E3 ubiquitin-protein ligase RNF169
NC_044998.1	SPCS2	+	XP_002187525.1	18957835	18961296	signal peptidase complex subunit 2
NC_044998.1	NEU3	+	XP_030120532.1	18963235	18964645	sialidase-3 isoform X6
NC_044998.1	P4HA3	+	XP_030133978.2	18965294	18970869	LOW QUALITY PROTEIN: prolyl 4-hydroxylase subunit alpha-3
NC_044998.1	PPME1	-	XP_002187228.1	18991867	18977498	protein phosphatase methylesterase 1
NC_044998.1	C2CD3	+	XP_030120425.1	18992224	19030668	C2 domain-containing protein 3 isoform X1
NC_044998.1	UCP3	+	XP_030120568.1	19032456	19034678	mitochondrial uncoupling protein 3 isoform X1
NC_044998.1	LOC116807788	+	XP_032602518.1	19035501	19050073	uncharacterized protein LOC116807788 isoform X3
NC_044998.1	LOC115496044	-	XP_030134094.2	19052966	19051821	uncharacterized protein KIAA1522-like
NC_044998.1	SYNJ1	+	XP_030120701.1	19093205	19138264	synaptojanin-1 isoform X12
NC_044998.1	CFAP298	+	XP_030132290.1	19142001	19149410	UPF0769 protein C21orf59 homolog isoform X1
NC_044998.1	EVA1C	-	XP_030120761.1	19173755	19154161	protein eva-1 homolog C isoform X3
NC_044998.1	LOC100224236	+	XP_030120778.1	19203675	19246533	nucleolar pre-ribosomal-associated protein 1 isoform X1
NC_044998.1	COL8A1	+	XP_032602558.1	19579553	19587946	collagen alpha-1(VIII) chain isoform X1
NC_044998.1	ST3GAL6	-	XP_032602569.1	19615522	19591106	type 2 lactosamine alpha-2,3-sialyltransferase isoform X1
NC_044998.1	CPOX	+	XP_002190683.1	19665921	19674628	oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial
NC_044998.1	TTF2	-	XP_030121009.2	19701804	19684079	transcription termination factor 2 isoform X1
NC_044998.1	GPR161	-	XP_030121060.1	19710841	19704638	G-protein coupled receptor 161 isoform X1
NC_044998.1	TIPRL	+	XP_004177153.3	19714769	19721343	TIP41-like protein
NC_044998.1	SFT2D2	+	XP_002193892.2	19724579	19730208	vesicle transport protein SFT2B
NC_044998.1	TBX19	+	XP_030121143.1	19742873	19755838	T-box transcription factor TBX19
NC_044998.1	LOC100227529	-	XP_002190097.2	19872836	19869385	monocyte chemotactic protein 1B
NC_044998.1	DPT	-	XP_002193672.1	19970690	19945248	dermatopontin
NC_044998.1	ATP1B1	+	XP_030121272.1	20090261	20103605	sodium/potassium-transporting ATPase subunit beta-1
NC_044998.1	NME7	-	XP_002189874.2	20193225	20104790	nucleoside diphosphate kinase 7 isoform X2
NC_044998.1	BLZF1	+	XP_002189852.1	20194954	20200448	golgin-45
NC_044998.1	CCDC181	-	XP_012425439.2	20208080	20202964	coiled-coil domain-containing protein 181
NC_044998.1	SLC19A2	-	XP_002189769.3	20227063	20217253	thiamine transporter 1
NC_044998.1	F5	-	XP_030121288.2	20267340	20234978	coagulation factor V isoform X1
NC_044998.1	ATG3	-	XP_030121362.1	20297405	20274311	ubiquitin-like-conjugating enzyme ATG3
