Chromosome	Gene_id	Strand	Protein_id	Start	Stop	Transcript_id	Gene_name
1	ENSGALG00000054818	-	ENSGALP00000067081	8713	5275	ENSGALT00000097423	no_data
1	ENSGALG00000053455	+	ENSGALP00000070698	9885	11564	ENSGALT00000104861	no_data
1	ENSGALG00000045540	+	ENSGALP00000062267	9885	33428	ENSGALT00000085567	no_data
1	ENSGALG00000042023	-	ENSGALP00000064694	42406	39728	ENSGALT00000087980	no_data
1	ENSGALG00000029624	-	ENSGALP00000051044	71606	68789	ENSGALT00000078711	DHRS4
1	ENSGALG00000038527	+	ENSGALP00000052659	75379	90530	ENSGALT00000078781	CARMIL3
1	ENSGALG00000046962	+	ENSGALP00000066313	75379	170365	ENSGALT00000098025	no_data
1	ENSGALG00000051297	+	ENSGALP00000045356	53990	243055	ENSGALT00000075758	no_data
1	ENSGALG00000042611	-	ENSGALP00000063782	197262	194796	ENSGALT00000086265	no_data
1	ENSGALG00000048560	-	ENSGALP00000072638	203836	202287	ENSGALT00000104082	no_data
1	ENSGALG00000048857	-	ENSGALP00000069745	232286	230050	ENSGALT00000104150	no_data
1	ENSGALG00000053510	-	ENSGALP00000071395	259384	258486	ENSGALT00000091667	no_data
1	ENSGALG00000050315	+	ENSGALP00000069701	219162	302531	ENSGALT00000090989	CLC2DL3
1	ENSGALG00000050833	-	ENSGALP00000067846	287165	285439	ENSGALT00000099458	no_data
1	ENSGALG00000031626	-	ENSGALP00000056358	291825	306748	ENSGALT00000065662	no_data
1	ENSGALG00000051677	+	ENSGALP00000071764	291825	313208	ENSGALT00000093224	no_data
1	ENSGALG00000041494	+	ENSGALP00000073519	324427	356069	ENSGALT00000105426	GOLGB1
1	ENSGALG00000039682	+	ENSGALP00000054505	361082	370080	ENSGALT00000053187	HCLS1
1	ENSGALG00000038044	-	ENSGALP00000052495	387602	385536	ENSGALT00000082348	NME6
1	ENSGALG00000032458	+	ENSGALP00000070299	387736	391295	ENSGALT00000105424	RABL2A
1	ENSGALG00000047768	-	ENSGALP00000045610	395009	392734	ENSGALT00000071424	no_data
1	ENSGALG00000035824	-	ENSGALP00000055724	401415	397107	ENSGALT00000048685	ARSA
1	ENSGALG00000034366	-	ENSGALP00000055921	404956	403386	ENSGALT00000059027	no_data
1	ENSGALG00000051055	-	ENSGALP00000065870	719486	713914	ENSGALT00000093633	MAPK8IP2
1	ENSGALG00000052929	+	ENSGALP00000073136	719486	730882	ENSGALT00000097472	no_data
1	ENSGALG00000050267	+	ENSGALP00000072094	813699	830335	ENSGALT00000103461	CALU
1	ENSGALG00000048059	+	ENSGALP00000066084	813699	865882	ENSGALT00000093981	no_data
1	ENSGALG00000053846	+	ENSGALP00000068444	874782	881605	ENSGALT00000098259	no_data
1	ENSGALG00000054163	-	ENSGALP00000072970	902833	898752	ENSGALT00000104330	no_data
1	ENSGALG00000047166	+	ENSGALP00000068509	931050	933900	ENSGALT00000100062	no_data
1	ENSGALG00000048258	-	ENSGALP00000070883	943543	941392	ENSGALT00000094054	no_data
1	ENSGALG00000054512	+	ENSGALP00000068408	946777	950037	ENSGALT00000093817	no_data
1	ENSGALG00000054297	+	ENSGALP00000068066	1045168	1071292	ENSGALT00000101348	no_data
1	ENSGALG00000033149	+	ENSGALP00000050609	1103415	1107035	ENSGALT00000050474	GCC1
1	ENSGALG00000043771	-	ENSGALP00000045134	1128264	1110499	ENSGALT00000050431	DENND6B
1	ENSGALG00000029341	+	ENSGALP00000047318	1163846	1201181	ENSGALT00000048920	PPP6R2
1	ENSGALG00000043178	-	ENSGALP00000051233	1274409	1216304	ENSGALT00000064156	SBF1
1	ENSGALG00000041965	+	ENSGALP00000055096	1274409	1284116	ENSGALT00000080022	MIOX
1	ENSGALG00000041528	-	ENSGALP00000049076	1291087	1284845	ENSGALT00000080406	LMF2
1	ENSGALG00000054793	+	ENSGALP00000071023	1291724	1300691	ENSGALT00000097738	NCAPH2
1	ENSGALG00000046885	-	ENSGALP00000067964	1301688	1300937	ENSGALT00000091305	SCO2
1	ENSGALG00000039982	+	ENSGALP00000049860	1305401	1312928	ENSGALT00000068201	IRF5
1	ENSGALG00000039420	-	ENSGALP00000050947	1333027	1323753	ENSGALT00000057435	TNPO3
1	ENSGALG00000036114	+	ENSGALP00000048984	1339503	1347245	ENSGALT00000068986	SMO
1	ENSGALG00000032868	+	ENSGALP00000051440	1374711	1391419	ENSGALT00000068060	AHCYL2
