Chromosome	Gene_id	Strand	Protein_id	Start	Stop	Transcript_id	Gene_name
1	ENSDARG00000099104	-	ENSDARP00000135555	11753	6682	ENSDART00000164359	rpl24
1	ENSDARG00000102407	+	ENSDARP00000130314	11998	15963	ENSDART00000166393	cep97
1	ENSDARG00000102097	+	ENSDARP00000130393	11998	23112	ENSDART00000172454	nfkbiz
1	ENSDARG00000099640	+	ENSDARP00000131820	27836	34247	ENSDART00000162928	eed
1	ENSDARG00000104071	+	ENSDARP00000131338	36849	39035	ENSDART00000169685	hikeshi
1	ENSDARG00000102746	-	ENSDARP00000139614	43398	39824	ENSDART00000168091	tmem39a
1	ENSDARG00000103929	-	ENSDARP00000130985	49690	45514	ENSDART00000168428	ildr1a
1	ENSDARG00000101073	-	ENSDARP00000156707	64827	60981	ENSDART00000180269	si:zfos-1011f11.2
1	ENSDARG00000100223	-	ENSDARP00000135435	71473	67046	ENSDART00000165650	gpa33a
1	ENSDARG00000100782	+	ENSDARP00000135415	109844	117618	ENSDART00000165402	f7l
1	ENSDARG00000034862	+	ENSDARP00000018993	119976	124755	ENSDART00000013209	f7
1	ENSDARG00000075827	+	ENSDARP00000023791	127264	133723	ENSDART00000003463	f7i
1	ENSDARG00000088581	+	ENSDARP00000106731	136087	141441	ENSDART00000124837	f10
1	ENSDARG00000076900	+	ENSDARP00000064060	144302	151685	ENSDART00000064061	prozb
1	ENSDARG00000013802	-	ENSDARP00000009441	156373	152318	ENSDART00000018741	pcid2
1	ENSDARG00000100181	+	ENSDARP00000141981	158034	182258	ENSDART00000168760	lamp1a
1	ENSDARG00000029936	-	ENSDARP00000131713	191794	185332	ENSDART00000164091	grtp1a
1	ENSDARG00000041589	-	ENSDARP00000060967	206155	201109	ENSDART00000060968	adprhl1
1	ENSDARG00000041592	-	ENSDARP00000060970	213114	209229	ENSDART00000060971	dcun1d2b
1	ENSDARG00000075108	+	ENSDARP00000103522	218524	225137	ENSDART00000109529	tmco3
1	ENSDARG00000016304	+	ENSDARP00000022294	230363	241389	ENSDART00000003317	tfdp1b
1	ENSDARG00000058803	+	ENSDARP00000076182	245251	255949	ENSDART00000081743	grk1a
1	ENSDARG00000063385	+	ENSDARP00000099552	260091	295713	ENSDART00000111806	cenpe
1	ENSDARG00000007804	-	ENSDARP00000018668	338196	313229	ENSDART00000010092	gas6
1	ENSDARG00000068261	-	ENSDARP00000089398	353983	343708	ENSDART00000098627	pros1
1	ENSDARG00000063371	-	ENSDARP00000086956	411244	357827	ENSDART00000092524	rasa3
1	ENSDARG00000078751	+	ENSDARP00000126605	418957	442143	ENSDART00000152173	tpp2
1	ENSDARG00000016343	-	ENSDARP00000154629	470770	467665	ENSDART00000192527	zgc:92518
1	ENSDARG00000023678	-	ENSDARP00000123630	493216	474289	ENSDART00000144406	ercc5
1	ENSDARG00000011299	+	ENSDARP00000102207	496319	504044	ENSDART00000108579	blzf1
1	ENSDARG00000041575	-	ENSDARP00000114343	512178	509161	ENSDART00000144606	trmt10c
1	ENSDARG00000058962	+	ENSDARP00000076383	514088	517665	ENSDART00000081945	txnl4b
1	ENSDARG00000089799	-	ENSDARP00000114039	522604	518883	ENSDART00000147610	si:ch73-41e3.7
1	ENSDARG00000075325	+	ENSDARP00000154973	524821	530492	ENSDART00000184473	mrpl16
1	ENSDARG00000113329	-	ENSDARP00000151324	558258	552277	ENSDART00000184316	CU571081.1
1	ENSDARG00000041570	+	ENSDARP00000060943	580806	591263	ENSDART00000060944	mrpl39
1	ENSDARG00000058996	+	ENSDARP00000132646	594736	608055	ENSDART00000166731	jam2a
1	ENSDARG00000014313	-	ENSDARP00000005644	613186	611148	ENSDART00000004062	atp5pf
1	ENSDARG00000104279	-	ENSDARP00000136859	656691	621376	ENSDART00000166786	appa
1	ENSDARG00000103783	-	ENSDARP00000134426	669533	660676	ENSDART00000160564	cyyr1
1	ENSDARG00000103519	-	ENSDARP00000131839	669533	673165	ENSDART00000165894	adamts1
1	ENSDARG00000100307	-	ENSDARP00000131997	714624	691740	ENSDART00000161072	adamts5
1	ENSDARG00000115421	+	ENSDARP00000157105	965216	970633	ENSDART00000184660	n6amt1
1	ENSDARG00000101089	-	ENSDARP00000131447	999554	973469	ENSDART00000172235	gart
1	ENSDARG00000087646	-	ENSDARP00000112019	1402271	1363768	ENSDART00000130697	runx1
1	ENSDARG00000067781	+	ENSDARP00000088396	1600091	1614284	ENSDART00000097626	urp2
1	ENSDARG00000099108	-	ENSDARP00000144458	1600091	1619155	ENSDART00000176787	clic6
1	ENSDARG00000001870	+	ENSDARP00000048827	1689850	1706063	ENSDART00000048828	atp1a1a.4
1	ENSDARG00000002791	+	ENSDARP00000075490	1712345	1731350	ENSDART00000081047	atp1a1a.1
1	ENSDARG00000007739	+	ENSDARP00000024210	1789418	1796733	ENSDART00000006449	atp1a1a.2
1	ENSDARG00000039131	+	ENSDARP00000094626	1805367	1815541	ENSDART00000103850	atp1a1a.3
1	ENSDARG00000040252	+	ENSDARP00000013042	1838232	1849424	ENSDART00000006013	atp1a1a.5
1	ENSDARG00000089477	-	ENSDARP00000127057	1885514	1874774	ENSDART00000131675	si:ch211-132g1.3
1	ENSDARG00000095102	+	ENSDARP00000126919	1904476	1909483	ENSDART00000142874	si:ch211-132g1.4
1	ENSDARG00000075505	+	ENSDARP00000103129	1941297	2000192	ENSDART00000110331	si:ch211-132g1.7
1	ENSDARG00000010376	+	ENSDARP00000009841	2025085	2027100	ENSDART00000008332	slc5a3a
1	ENSDARG00000033684	-	ENSDARP00000041935	2049299	2048314	ENSDART00000041936	oxgr1a.1
1	ENSDARG00000040247	-	ENSDARP00000058877	2061417	2060432	ENSDART00000058878	oxgr1a.3
1	ENSDARG00000078743	-	ENSDARP00000104269	2075527	2074515	ENSDART00000109983	oxgr1a.2
1	ENSDARG00000018460	+	ENSDARP00000107016	2129458	2214195	ENSDART00000122626	mbnl2
1	ENSDARG00000040246	+	ENSDARP00000058876	2222366	2240119	ENSDART00000058877	rap2ab
1	ENSDARG00000040245	+	ENSDARP00000058875	2260447	2298679	ENSDART00000058876	kpnb3
1	ENSDARG00000095179	-	ENSDARP00000121093	2334173	2331972	ENSDART00000144500	si:ch211-235f1.3
1	ENSDARG00000074381	+	ENSDARP00000113717	2321384	2443772	ENSDART00000142944	farp1
1	ENSDARG00000070579	-	ENSDARP00000126618	2448550	2448096	ENSDART00000152555	ggact.3
1	ENSDARG00000038248	-	ENSDARP00000055778	2452176	2451605	ENSDART00000055779	ggact.2
1	ENSDARG00000070581	-	ENSDARP00000094571	2457467	2455323	ENSDART00000103795	ggact.1
1	ENSDARG00000103156	+	ENSDARP00000107768	2713205	3035936	ENSDART00000126093	gpc6a
1	ENSDARG00000103647	-	ENSDARP00000136633	3295043	3100246	ENSDART00000157572	gpc5a
1	ENSDARG00000098769	+	ENSDARP00000139445	4150592	4153084	ENSDART00000163793	slitrk6
1	ENSDARG00000078308	+	ENSDARP00000052422	5275815	5276720	ENSDART00000052423	spry2
1	ENSDARG00000033928	-	ENSDARP00000094499	5394545	5363573	ENSDART00000103724	ndfip2
1	ENSDARG00000031164	+	ENSDARP00000040203	5402681	5419055	ENSDART00000040204	tuba8l2
1	ENSDARG00000037777	+	ENSDARP00000055046	5425362	5433680	ENSDART00000055047	stk16
1	ENSDARG00000030350	-	ENSDARP00000100110	5455437	5449881	ENSDART00000114035	mnx2b
1	ENSDARG00000016706	+	ENSDARP00000024082	5485897	5503524	ENSDART00000022307	atic
1	ENSDARG00000006526	-	ENSDARP00000094530	5542975	5505061	ENSDART00000103755	fn1b
1	ENSDARG00000077688	+	ENSDARP00000097989	5576221	5587130	ENSDART00000109756	cpo
1	ENSDARG00000096546	-	ENSDARP00000125533	5745418	5608346	ENSDART00000150863	nrp2a
1	ENSDARG00000092671	-	ENSDARP00000137122	5982464	5798748	ENSDART00000168117	pard3ba
1	ENSDARG00000063297	+	ENSDARP00000086756	6137596	6158408	ENSDART00000092324	abcb6a
1	ENSDARG00000027078	+	ENSDARP00000036344	6162090	6168855	ENSDART00000037036	cnppd1
1	ENSDARG00000017537	+	ENSDARP00000008617	6171812	6182355	ENSDART00000024358	prkag3a
1	ENSDARG00000063270	+	ENSDARP00000086709	6190020	6210232	ENSDART00000092277	retreg2
1	ENSDARG00000018008	-	ENSDARP00000116491	6190020	6218790	ENSDART00000141653	mdh1b
1	ENSDARG00000043247	+	ENSDARP00000112332	6244003	6272068	ENSDART00000127329	gtf3c3
1	ENSDARG00000113848	+	ENSDARP00000146559	6307305	6327908	ENSDART00000183870	LO018629.1
1	ENSDARG00000063253	+	ENSDARP00000140374	6307305	6365419	ENSDART00000166620	hecw2b
1	ENSDARG00000073857	-	ENSDARP00000103603	6494153	6405423	ENSDART00000109356	klf7a
1	ENSDARG00000070558	+	ENSDARP00000120471	6640465	6646259	ENSDART00000147638	si:ch211-93g23.2
1	ENSDARG00000025754	+	ENSDARP00000094476	6648729	6662702	ENSDART00000103701	ube2f
1	ENSDARG00000063207	+	ENSDARP00000086551	6648729	6925103	ENSDART00000092118	erbb4a
1	ENSDARG00000013741	+	ENSDARP00000018694	7518603	7538707	ENSDART00000016139	lancl1
1	ENSDARG00000017441	+	ENSDARP00000018197	7546416	7553918	ENSDART00000015732	mylz3
1	ENSDARG00000037713	+	ENSDARP00000113543	7557004	7560669	ENSDART00000146682	pcnp
1	ENSDARG00000021688	-	ENSDARP00000094364	7570133	7563019	ENSDART00000103588	mxa
1	ENSDARG00000004953	-	ENSDARP00000100431	7582773	7574449	ENSDART00000110696	mxb
1	ENSDARG00000074050	-	ENSDARP00000079638	7659567	7634518	ENSDART00000085203	efnb2b
1	ENSDARG00000018319	-	ENSDARP00000014072	7673106	7662876	ENSDART00000013264	arglu1b
1	ENSDARG00000098730	+	ENSDARP00000150261	7679604	7682897	ENSDART00000190070	en1b
1	ENSDARG00000079779	-	ENSDARP00000101722	7889642	7847945	ENSDART00000110154	radil
1	ENSDARG00000089090	-	ENSDARP00000143384	7917060	7908284	ENSDART00000177068	mmd2b
1	ENSDARG00000093857	-	ENSDARP00000117665	7917060	7925212	ENSDART00000146090	si:dkey-79f11.10
1	ENSDARG00000095673	-	ENSDARP00000121495	7917060	7947091	ENSDART00000138187	si:dkey-79f11.8
1	ENSDARG00000099359	+	ENSDARP00000137461	7956744	7961036	ENSDART00000159655	CR855320.1
1	ENSDARG00000092361	-	ENSDARP00000147640	7969612	7967814	ENSDART00000188909	si:dkey-79f11.7
1	ENSDARG00000103767	+	ENSDARP00000132484	7988183	7989208	ENSDART00000167552	CR855320.2
1	ENSDARG00000075791	-	ENSDARP00000150705	7997553	7994570	ENSDART00000185901	si:dkey-79f11.5
1	ENSDARG00000107486	-	ENSDARP00000143438	8012137	8004025	ENSDART00000177051	CR855320.3
1	ENSDARG00000029720	-	ENSDARP00000121002	8019361	8017425	ENSDART00000143881	si:dkeyp-9d4.2
1	ENSDARG00000100166	-	ENSDARP00000134723	8101176	8024029	ENSDART00000161938	si:dkeyp-9d4.3
1	ENSDARG00000062929	-	ENSDARP00000085941	8140761	8131566	ENSDART00000091508	si:dkeyp-9d4.4
1	ENSDARG00000074212	+	ENSDARP00000103022	8110562	8163167	ENSDART00000112160	SLC5A10
1	ENSDARG00000022668	-	ENSDARP00000122058	8192150	8167637	ENSDART00000136654	grapb
1	ENSDARG00000099708	+	ENSDARP00000130716	8304904	8398249	ENSDART00000168631	cacna1hb
1	ENSDARG00000025034	-	ENSDARP00000107652	8428706	8418727	ENSDART00000121823	syngr3b
1	ENSDARG00000078474	+	ENSDARP00000121803	8442071	8507230	ENSDART00000143547	myo15ab
1	ENSDARG00000063003	+	ENSDARP00000086116	8509116	8516461	ENSDART00000091683	alkbh5
1	ENSDARG00000002377	+	ENSDARP00000094402	8525232	8530516	ENSDART00000103626	mief2
1	ENSDARG00000015803	+	ENSDARP00000005452	8534995	8539643	ENSDART00000021504	smcr8b
1	ENSDARG00000037739	-	ENSDARP00000054980	8553067	8540088	ENSDART00000054981	zgc:112980
1	ENSDARG00000076176	-	ENSDARP00000104026	8566457	8555467	ENSDART00000114613	ptcd1
1	ENSDARG00000113858	+	ENSDARP00000147686	8579197	8586066	ENSDART00000186329	AL928650.4
1	ENSDARG00000100771	+	ENSDARP00000141635	8593589	8595097	ENSDART00000161791	si:ch211-160d14.15
1	ENSDARG00000079873	+	ENSDARP00000127033	8603122	8610478	ENSDART00000152367	SLC29A4
1	ENSDARG00000007443	-	ENSDARP00000094420	8646774	8638462	ENSDART00000103644	fbxl18
1	ENSDARG00000037746	-	ENSDARP00000054986	8651606	8649605	ENSDART00000054987	actb1
1	ENSDARG00000037747	+	ENSDARP00000094422	8662542	8668202	ENSDART00000054989	fscn1b
1	ENSDARG00000079361	-	ENSDARP00000126778	8691919	8674076	ENSDART00000152153	abcg2b
1	ENSDARG00000012458	+	ENSDARP00000011098	8694351	8701731	ENSDART00000025604	C1H3H16orf72
1	ENSDARG00000070543	-	ENSDARP00000094428	8907428	8765987	ENSDART00000103652	grin2ab
1	ENSDARG00000089873	-	ENSDARP00000122638	8963468	8962891	ENSDART00000136198	socs1b
