Classes;Orders;Species;0A;0B;1A;1B;2A;2B;3A;3B;4A;4B;5A;5B;6A;6B;7A;7B;8A;8B;9A;9B;10A;10B;11A;11B;12A;12B;13A;13B;14A;14B;15A;15B;16A;16B;17A;17B;18A;18B;19A;19B;20A;20B;21A;21B;22A;22B;23A;23B;24A;24B;25A;25B;26A;26B;27A;27B;28A;28B;29A;29B;30A;30B;31A;31B;32A;32B;33A;33B;34A;34B;35A;35B;36A;36B;37A;37B;38A;38B;39A;39B;40A;40B;41A;41B;42A;42B;43A;43B;44A;44B;45A;45B;46A;46B;47A;47B;48A;48B;49A;49B;50A;50B;51A;51B;52A;52B;53A;53B;54A;54B;55A;55B;56A;56B;57A;57B;58A;58B;59A;59B;60A;60B;61A;61B;62A;62B;63A;63B;64A;64B;65A;65B;66A;66B;67A;67B;68A;68B;69A;69B;70A;70B;71A;71B;72A;72B;73A;73B;74A;74B;75A;75B;76A;76B;77A;77B;78A;78B;79A;79B;80A;80B;81A;81B;82A;82B;83A;83B;84A;84B;85A;85B;86A;86B;87A;87B;88A;88B;89A;89B;90A;90B;91A;91B;92A;92B;93A;93B;94A;94B;95A;95B;96A;96B;97A;97B;98A;98B;99A;99B;100A;100B;101A;101B;102A;102B;103A;103B;104A;104B;105A;105B;106A;106B;107A;107B;108A;108B;109A;109B;110A;110B
Actinopteri;Anabantiformes;Anabas_testudineus;;;;;;;;;;;;ENSATEP00000029435;ENSATEP00000005488;;;ENSATEP00000015101;;;;ENSATEP00000025735;;;;ENSATEP00000027569;ENSATEP00000023449;;;;;;;;ENSATEP00000030895;;;ENSATEP00000017695;ENSATEP00000033870;ENSATEP00000007952;ENSATEP00000022747;;ENSATEP00000031847;ENSATEP00000025294;;;;;;;;;;;;ENSATEP00000032250;ENSATEP00000016123;;ENSATEP00000010310;ENSATEP00000010641;;;;;;;;;;;;;;;;;;;;ENSATEP00000010789;ENSATEP00000011538;;;ENSATEP00000029372;;;;;;;;;;ENSATEP00000033044;ENSATEP00000033231;ENSATEP00000011752;ENSATEP00000001315;;;ENSATEP00000025613;ENSATEP00000005961;;;ENSATEP00000007435;ENSATEP00000027470;;;;ENSATEP00000033683;;;;;;;;;;;;;;;;ENSATEP00000031855;;;;;;;;ENSATEP00000032032;ENSATEP00000032019;ENSATEP00000004367;;ENSATEP00000021859;;;ENSATEP00000032394;ENSATEP00000027417;;;;;ENSATEP00000015259;;ENSATEP00000015759;;;;;;ENSATEP00000009903;;;;;ENSATEP00000024960;;;;;ENSATEP00000018997;;;;;;ENSATEP00000036577;ENSATEP00000034036;;;;ENSATEP00000035452;ENSATEP00000035457;;;;;;ENSATEP00000007169;;;;ENSATEP00000026115;;;ENSATEP00000026552;ENSATEP00000027755;ENSATEP00000006116;ENSATEP00000006164;ENSATEP00000016593;ENSATEP00000016666;ENSATEP00000003026;;;ENSATEP00000025522;;;ENSATEP00000021088;ENSATEP00000019369;ENSATEP00000006985;ENSATEP00000006972;;ENSATEP00000025393;;ENSATEP00000015056;;;ENSATEP00000019699;;ENSATEP00000008118;;ENSATEP00000015722;ENSATEP00000015476;;ENSATEP00000017761;ENSATEP00000006249;ENSATEP00000008612;ENSATEP00000032022;ENSATEP00000031965;ENSATEP00000035772;
Actinopteri;Anabantiformes;Betta_splendens;;;;;ENSBSLP00000026355;;;;;;ENSBSLP00000049576;;;;;ENSBSLP00000052372;;;ENSBSLP00000003397;;;;;ENSBSLP00000041220;ENSBSLP00000036945;;;;;;;;ENSBSLP00000003028;ENSBSLP00000034124;ENSBSLP00000003149;ENSBSLP00000015874;ENSBSLP00000012903;ENSBSLP00000014712;ENSBSLP00000019959;;ENSBSLP00000020830;ENSBSLP00000036232;;;;;ENSBSLP00000046501;;;;;;;ENSBSLP00000047123;ENSBSLP00000010122;;;ENSBSLP00000023029;;;;;;;;;;;;;;;;;;;;ENSBSLP00000029024;;;;ENSBSLP00000051234;;;;;;;;;;ENSBSLP00000034966;ENSBSLP00000054003;;ENSBSLP00000053977;;ENSBSLP00000039213;;;;ENSBSLP00000047537;ENSBSLP00000047518;;;;;ENSBSLP00000010305;;;;;;;;;;;;;;;;ENSBSLP00000027402;;;;;;;;ENSBSLP00000046535;ENSBSLP00000046653;ENSBSLP00000003117;;ENSBSLP00000000873;;;;ENSBSLP00000032946;;;;;ENSBSLP00000041923;;ENSBSLP00000000783;;;;ENSBSLP00000001259;;ENSBSLP00000009819;;;ENSBSLP00000035816;;ENSBSLP00000008327;;;;;ENSBSLP00000014388;;;;;;ENSBSLP00000053822;ENSBSLP00000010231;;;;ENSBSLP00000030583;ENSBSLP00000030969;;;;;;ENSBSLP00000009829;;;;;;;ENSBSLP00000027716;ENSBSLP00000003751;ENSBSLP00000048902;ENSBSLP00000048874;ENSBSLP00000006940;ENSBSLP00000006947;ENSBSLP00000005132;;;ENSBSLP00000000585;;;ENSBSLP00000004803;ENSBSLP00000004837;ENSBSLP00000020995;ENSBSLP00000021064;;ENSBSLP00000048804;;ENSBSLP00000052291;;;ENSBSLP00000056935;;ENSBSLP00000049831;;ENSBSLP00000008179;ENSBSLP00000008123;;ENSBSLP00000051583;ENSBSLP00000008849;ENSBSLP00000024653;ENSBSLP00000002190;ENSBSLP00000002136;ENSBSLP00000015683;ENSBSLP00000053492
Actinopteri;Beloniformes;Oryzias_latipes;;;;;ENSORLP00000027453;ENSORLP00000044268;;;;;;ENSORLP00000029034;;;;ENSORLP00000005821;;;ENSORLP00000004882;;;;;ENSORLP00000027167;ENSORLP00000001949;;;;;;;;ENSORLP00000002542;;;ENSORLP00000028900;ENSORLP00000033049;ENSORLP00000010940;ENSORLP00000025525;;ENSORLP00000042184;ENSORLP00000014167;;;;;;;;;;;;;;;;ENSORLP00000033296;;;;;;;;;;;;;;;;;;;;ENSORLP00000029155;;;;;;;;;;;;;;ENSORLP00000043696;ENSORLP00000044297;ENSORLP00000037032;ENSORLP00000028806;;;ENSORLP00000039686;;;ENSORLP00000018370;;;;;;ENSORLP00000004950;;;;;;;;;;;;;;;;ENSORLP00000041292;;;;ENSORLP00000040266;;;;ENSORLP00000021195;ENSORLP00000021465;ENSORLP00000016916;;ENSORLP00000030756;;;ENSORLP00000036430;ENSORLP00000012482;;;;;ENSORLP00000007982;;ENSORLP00000027702;;ENSORLP00000029067;;ENSORLP00000020843;;ENSORLP00000012480;;;ENSORLP00000018073;;ENSORLP00000043551;;;;;ENSORLP00000000481;;;;;;ENSORLP00000009419;ENSORLP00000033351;ENSORLP00000015007;;;ENSORLP00000019691;ENSORLP00000030421;;;;;;ENSORLP00000021256;;;;ENSORLP00000004732;;;ENSORLP00000042837;ENSORLP00000001443;ENSORLP00000015142;ENSORLP00000015126;ENSORLP00000045619;ENSORLP00000032049;ENSORLP00000014652;;;ENSORLP00000042610;;;ENSORLP00000005768;ENSORLP00000005703;;;;ENSORLP00000039137;;ENSORLP00000005856;;;ENSORLP00000031493;;ENSORLP00000032505;;;;;ENSORLP00000027672;;ENSORLP00000038308;;ENSORLP00000029554;ENSORLP00000044739;ENSORLP00000041525
Actinopteri;Blenniiformes;Gouania_willdenowi;;;;;;;;;;;;;;;;ENSGWIP00000041927;;;;;;;;ENSGWIP00000041846;ENSGWIP00000036159;;;;;;;;ENSGWIP00000009404;;;ENSGWIP00000023078;ENSGWIP00000050735;ENSGWIP00000005714;ENSGWIP00000034397;;ENSGWIP00000018644;ENSGWIP00000041013;;;;;;;;;;;;ENSGWIP00000035614;ENSGWIP00000010934;;;ENSGWIP00000002779;;;;;;;;;;;;;;;;;;;;ENSGWIP00000016508;ENSGWIP00000050860;;;ENSGWIP00000016737;;;;;;;;;;;ENSGWIP00000052274;ENSGWIP00000017978;ENSGWIP00000052852;;;ENSGWIP00000003062;;;ENSGWIP00000001934;;;ENSGWIP00000036572;;ENSGWIP00000038345;ENSGWIP00000000896;;;;;;;;;;;;;;;;ENSGWIP00000050291;;;ENSGWIP00000012841;;ENSGWIP00000022636;;;ENSGWIP00000019764;;;;ENSGWIP00000053998;;;ENSGWIP00000022050;ENSGWIP00000053815;;;;;ENSGWIP00000039409;;ENSGWIP00000039105;;;;ENSGWIP00000001202;;;;;ENSGWIP00000033173;;ENSGWIP00000045429;;;;;;;;;;;ENSGWIP00000045816;ENSGWIP00000051036;ENSGWIP00000030339;;;ENSGWIP00000015180;ENSGWIP00000015077;;;;;;ENSGWIP00000022490;;;;ENSGWIP00000041188;;;ENSGWIP00000030842;ENSGWIP00000030265;ENSGWIP00000027687;ENSGWIP00000027689;ENSGWIP00000045784;ENSGWIP00000045505;ENSGWIP00000023060;;;ENSGWIP00000007078;;;ENSGWIP00000006359;ENSGWIP00000006360;;ENSGWIP00000019290;;ENSGWIP00000048204;;ENSGWIP00000042176;;;ENSGWIP00000031989;;ENSGWIP00000000874;;;ENSGWIP00000002986;;ENSGWIP00000055008;ENSGWIP00000014782;;;ENSGWIP00000052172;ENSGWIP00000029006;ENSGWIP00000028995
Actinopteri;Blenniiformes;Salarias_fasciatus;;;;;;;;;;;;ENSSFAP00005022914;;;;ENSSFAP00005055940;;;;ENSSFAP00005050125;;;;ENSSFAP00005053698;ENSSFAP00005006504;;;;;;;;ENSSFAP00005017335;;;ENSSFAP00005029586;ENSSFAP00005032533;ENSSFAP00005036828;ENSSFAP00005008951;;ENSSFAP00005026444;ENSSFAP00005012295;;;;;;;;;;;;ENSSFAP00005031397;ENSSFAP00005047652;;;ENSSFAP00005019448;;;;;;;;;;;ENSSFAP00005023130;;;;;;;;;ENSSFAP00005041984;ENSSFAP00005053616;;;;;;;;;;;;;;ENSSFAP00005020720;ENSSFAP00005049750;ENSSFAP00005054415;;;;;;;;;ENSSFAP00005056079;;ENSSFAP00005010714;ENSSFAP00005029681;;;;;;;;;;;;;;;;ENSSFAP00005003376;ENSSFAP00005030097;;ENSSFAP00005011035;ENSSFAP00005011163;ENSSFAP00005008833;;;ENSSFAP00005015212;ENSSFAP00005015171;;;ENSSFAP00005024310;;;ENSSFAP00005030908;ENSSFAP00005030878;;;;;ENSSFAP00005018259;;ENSSFAP00005019885;;ENSSFAP00005008050;;ENSSFAP00005035940;;ENSSFAP00005029908;;;ENSSFAP00005035163;;ENSSFAP00005018648;;ENSSFAP00005002819;;;;;;;;;ENSSFAP00005014143;ENSSFAP00005051846;ENSSFAP00005009039;;;ENSSFAP00005039700;ENSSFAP00005039699;;;;;;ENSSFAP00005041932;;;;ENSSFAP00005047059;;;ENSSFAP00005014487;ENSSFAP00005005944;ENSSFAP00005037909;ENSSFAP00005037916;ENSSFAP00005027356;ENSSFAP00005027539;ENSSFAP00005021999;;;ENSSFAP00005014959;;;;ENSSFAP00005039036;ENSSFAP00005033378;ENSSFAP00005033383;;ENSSFAP00005027284;;ENSSFAP00005055936;;;ENSSFAP00005021036;;ENSSFAP00005003215;;;ENSSFAP00005018588;;ENSSFAP00005033883;ENSSFAP00005030086;;ENSSFAP00005046191;ENSSFAP00005039072;;ENSSFAP00005027601
Actinopteri;Carangiformes;Echeneis_naucrates;;;;;;;;;;;;;;;;ENSENLP00000047743;;;;;;;;ENSENLP00000044649;ENSENLP00000035085;;;;;;;;ENSENLP00000044870;;ENSENLP00000011386;ENSENLP00000049163;ENSENLP00000028093;ENSENLP00000048340;ENSENLP00000026693;;ENSENLP00000013177;ENSENLP00000027190;;;;;;;;;;;;ENSENLP00000026776;;;ENSENLP00000013260;ENSENLP00000046160;;;;;;;;;;;;;;;;;;;;ENSENLP00000046138;ENSENLP00000044804;;;ENSENLP00000022700;;;;;;;;;;;ENSENLP00000031472;ENSENLP00000010987;ENSENLP00000054266;;;ENSENLP00000044356;;;ENSENLP00000038563;;;;;;ENSENLP00000001198;;;;;;;;;;;;;;;;ENSENLP00000008711;;;;;;;;ENSENLP00000024217;ENSENLP00000024174;ENSENLP00000000132;;ENSENLP00000000039;;;ENSENLP00000026848;ENSENLP00000047140;;;;;ENSENLP00000016687;;ENSENLP00000017199;;;;ENSENLP00000001389;;ENSENLP00000017308;;;ENSENLP00000036252;;ENSENLP00000026791;;;;;ENSENLP00000010568;;;;;;ENSENLP00000000590;ENSENLP00000032575;ENSENLP00000045832;;;ENSENLP00000036473;ENSENLP00000036470;;;;;;ENSENLP00000030600;;;;;;;ENSENLP00000002613;ENSENLP00000000819;ENSENLP00000028459;ENSENLP00000028441;ENSENLP00000030994;ENSENLP00000026017;ENSENLP00000037001;;;ENSENLP00000031119;ENSENLP00000010649;;ENSENLP00000001755;ENSENLP00000001727;ENSENLP00000036597;ENSENLP00000036590;;ENSENLP00000050105;;ENSENLP00000047726;;;ENSENLP00000044655;;;ENSENLP00000028873;ENSENLP00000026608;;;ENSENLP00000044475;ENSENLP00000052642;ENSENLP00000008092;ENSENLP00000029191;ENSENLP00000029194;ENSENLP00000027469;ENSENLP00000027554
Actinopteri;Carangiformes;Seriola_dumerili;;;;;ENSSDUP00000028006;ENSSDUP00000028021;;;;;;;;;;ENSSDUP00000026268;;;;ENSSDUP00000009768;;;;ENSSDUP00000008311;ENSSDUP00000031288;;;;;;;;ENSSDUP00000031684;;ENSSDUP00000002434;ENSSDUP00000011144;ENSSDUP00000002464;ENSSDUP00000020586;ENSSDUP00000001419;;ENSSDUP00000002479;ENSSDUP00000008541;;;;;;;;;;;;ENSSDUP00000005744;;;ENSSDUP00000001632;ENSSDUP00000001663;;;;;;;;;;;ENSSDUP00000016679;;;;;;;;;ENSSDUP00000032189;ENSSDUP00000011838;;;ENSSDUP00000023574;;;;;;;;;;;ENSSDUP00000029263;ENSSDUP00000018446;ENSSDUP00000019147;;ENSSDUP00000032660;;;;;;;;;;ENSSDUP00000023353;;;;;;;;;;;;;;;;ENSSDUP00000005396;;;;;;;;ENSSDUP00000021194;ENSSDUP00000021257;ENSSDUP00000018123;;ENSSDUP00000030023;;;ENSSDUP00000005672;ENSSDUP00000017306;;;;;ENSSDUP00000025379;;ENSSDUP00000026959;;;;ENSSDUP00000010778;;ENSSDUP00000024071;ENSSDUP00000021719;;ENSSDUP00000010520;;ENSSDUP00000004746;;ENSSDUP00000011269;;;ENSSDUP00000011082;;;;;;ENSSDUP00000025745;ENSSDUP00000031667;ENSSDUP00000014224;;;ENSSDUP00000003040;ENSSDUP00000003092;;;;;;ENSSDUP00000013351;;;;;;;ENSSDUP00000001581;ENSSDUP00000001966;ENSSDUP00000025178;ENSSDUP00000025154;ENSSDUP00000023473;ENSSDUP00000023497;ENSSDUP00000005632;;;ENSSDUP00000000363;;ENSSDUP00000009656;ENSSDUP00000002449;ENSSDUP00000002422;ENSSDUP00000000852;ENSSDUP00000000831;;ENSSDUP00000005903;;ENSSDUP00000026221;;;ENSSDUP00000024355;;;ENSSDUP00000004473;;ENSSDUP00000001300;;ENSSDUP00000026285;ENSSDUP00000026388;ENSSDUP00000013313;;ENSSDUP00000021676;ENSSDUP00000007428;ENSSDUP00000007410
Actinopteri;Characiformes;Astyanax_mexicanus;;ENSAMXP00000050375;;;;ENSAMXP00000041355;;;;;;ENSAMXP00000051475;;;;ENSAMXP00000004332;;;;ENSAMXP00000054743;;;;ENSAMXP00000014006;ENSAMXP00000050135;;;;;;;;ENSAMXP00000011789;;ENSAMXP00000006449;ENSAMXP00000050105;ENSAMXP00000043415;ENSAMXP00000008750;ENSAMXP00000019303;;ENSAMXP00000007862;ENSAMXP00000033974;;;;;;;;;;;;ENSAMXP00000018418;ENSAMXP00000001164;;ENSAMXP00000047815;ENSAMXP00000050727;;;;;;;;;;;;;;;;;;;;ENSAMXP00000028805;;;;;;;;;;;;;;;;ENSAMXP00000034785;ENSAMXP00000021780;;;ENSAMXP00000008161;;;ENSAMXP00000049318;ENSAMXP00000044518;ENSAMXP00000028173;;;ENSAMXP00000006008;ENSAMXP00000000502;;;;;;;;;;;;;;;;ENSAMXP00000019163;;;;;;;;ENSAMXP00000006048;ENSAMXP00000006051;ENSAMXP00000042582;;ENSAMXP00000054203;ENSAMXP00000014125;;ENSAMXP00000018432;ENSAMXP00000045239;;;;;ENSAMXP00000016443;;;;ENSAMXP00000049367;;;;ENSAMXP00000041121;;;ENSAMXP00000021404;;ENSAMXP00000038619;;;;;;;;;;;ENSAMXP00000048487;ENSAMXP00000037608;ENSAMXP00000052172;;;ENSAMXP00000049622;ENSAMXP00000007439;;;;;;ENSAMXP00000018697;;;;;;;ENSAMXP00000018396;;ENSAMXP00000003676;ENSAMXP00000003702;ENSAMXP00000039017;ENSAMXP00000052919;ENSAMXP00000006614;;;ENSAMXP00000041836;;ENSAMXP00000025620;;;;ENSAMXP00000005893;;ENSAMXP00000001969;;ENSAMXP00000004320;;;ENSAMXP00000054057;;ENSAMXP00000003793;;;ENSAMXP00000039725;ENSAMXP00000026664;ENSAMXP00000026665;ENSAMXP00000037068;ENSAMXP00000048318;ENSAMXP00000004832;ENSAMXP00000039351;ENSAMXP00000031229;ENSAMXP00000043927
Actinopteri;Characiformes;Pygocentrus_nattereri;;;;;ENSPNAP00000001119;ENSPNAP00000023423;;;;;;ENSPNAP00000031385;;ENSPNAP00000020476;;ENSPNAP00000008068;;;ENSPNAP00000020851;ENSPNAP00000035607;;;;ENSPNAP00000024678;;ENSPNAP00000016036;;;;;;;ENSPNAP00000010108;;ENSPNAP00000023450;ENSPNAP00000015466;ENSPNAP00000034371;ENSPNAP00000022104;ENSPNAP00000027760;;ENSPNAP00000011654;ENSPNAP00000018275;;;;;;;;;;;;ENSPNAP00000005608;ENSPNAP00000028193;;;;;;;;;;;;;;ENSPNAP00000002312;;;;;;;;;ENSPNAP00000029984;;;;ENSPNAP00000037760;;;;;;;;;;;ENSPNAP00000013513;ENSPNAP00000001449;ENSPNAP00000007389;;ENSPNAP00000008113;;;;;ENSPNAP00000037478;;ENSPNAP00000002610;;ENSPNAP00000028417;ENSPNAP00000008765;;;;;;ENSPNAP00000031351;;;;;;;;;;ENSPNAP00000019222;;;;;;;;ENSPNAP00000024006;ENSPNAP00000001999;ENSPNAP00000012951;;ENSPNAP00000036436;;;ENSPNAP00000005698;ENSPNAP00000014215;;;;;ENSPNAP00000037772;;ENSPNAP00000011415;;;;ENSPNAP00000016490;;ENSPNAP00000037936;;;ENSPNAP00000012138;;ENSPNAP00000033905;;ENSPNAP00000022037;;;ENSPNAP00000030145;;;ENSPNAP00000015355;;;ENSPNAP00000003841;ENSPNAP00000030139;ENSPNAP00000004497;;;ENSPNAP00000004355;ENSPNAP00000004367;;;;;;ENSPNAP00000015691;;;;;;;ENSPNAP00000015818;;ENSPNAP00000006740;ENSPNAP00000027271;ENSPNAP00000006123;ENSPNAP00000010997;ENSPNAP00000027753;ENSPNAP00000027740;ENSPNAP00000006845;ENSPNAP00000027320;;ENSPNAP00000011782;ENSPNAP00000035823;ENSPNAP00000035427;ENSPNAP00000002822;ENSPNAP00000024586;ENSPNAP00000037774;ENSPNAP00000022425;;ENSPNAP00000008127;;;ENSPNAP00000023806;;ENSPNAP00000011303;;;ENSPNAP00000008305;ENSPNAP00000017871;ENSPNAP00000017883;ENSPNAP00000034219;ENSPNAP00000017064;ENSPNAP00000016190;ENSPNAP00000033617;ENSPNAP00000024219;ENSPNAP00000024196
Actinopteri;Cichliformes;Amphilophus_citrinellus;;;;;;;;;;;;;;;;ENSACIP00000012261;;;;ENSACIP00000026149;;;;ENSACIP00000028197;ENSACIP00000017149;;;;;;;;ENSACIP00000024442;;;;ENSACIP00000004536;ENSACIP00000026819;ENSACIP00000019776;;ENSACIP00000009311;ENSACIP00000031475;;;;;;;;;;;;ENSACIP00000002861;;;;ENSACIP00000009175;;;;;;;;;;;;;;;;;;;;ENSACIP00000000743;ENSACIP00000007129;;;ENSACIP00000001726;;;;;;;;;;;ENSACIP00000022680;ENSACIP00000030734;ENSACIP00000000289;;;ENSACIP00000025598;;;;ENSACIP00000009475;;ENSACIP00000025579;;;ENSACIP00000014438;;;;;;ENSACIP00000028194;;;;;;;;;;ENSACIP00000025067;;;;;;;;ENSACIP00000004558;ENSACIP00000005369;ENSACIP00000005551;;ENSACIP00000011894;;;ENSACIP00000002132;ENSACIP00000028436;;;;;ENSACIP00000006457;;ENSACIP00000007006;;;;ENSACIP00000017812;;ENSACIP00000024452;;;ENSACIP00000008322;;ENSACIP00000000914;;;;;ENSACIP00000006003;;;;;;ENSACIP00000014525;ENSACIP00000012198;ENSACIP00000025335;;;ENSACIP00000029760;ENSACIP00000029673;;;;;;ENSACIP00000008047;;;ENSACIP00000002544;ENSACIP00000005760;;;ENSACIP00000006034;ENSACIP00000006084;ENSACIP00000005971;ENSACIP00000005996;ENSACIP00000021071;ENSACIP00000021012;ENSACIP00000020846;ENSACIP00000020823;;ENSACIP00000021714;;;ENSACIP00000028389;ENSACIP00000028407;;;;;;ENSACIP00000012213;;;ENSACIP00000030428;;ENSACIP00000019738;;ENSACIP00000003136;;;ENSACIP00000009727;ENSACIP00000022316;ENSACIP00000029045;ENSACIP00000021064;ENSACIP00000020969;ENSACIP00000009464;
